1,花本 夏樹,花本 夏樹.1,2,林 恵祐,林 恵祐.1,3,山崎 善庸,山崎 善庸.1,4,高木 圭大,高木 圭大.1,5,広次 修,広次 修.1,6,横田 貴満,横田 貴満.1
2.0,3.0,17.9,1.0,3.0,73.6,1.0,2.0,225.9,1.0,2.0,173.1,1.0,2.0,63.7,1.0,2.0,153.0
2.0,4.0,18.6,1.0,4.0,63.6,1.0,4.0,245.2,1.0,3.0,266.3,1.0,3.0,121.7,1.0,3.0,308.8
2.0,5.0,10.1,1.0,5.0,31.9,1.0,5.0,143.4,1.0,5.0,84.6,1.0,4.0,89.1,1.0,4.0,337.4
2.0,6.0,15.1,1.0,6.0,37.3,1.0,6.0,187.9,1.0,6.0,100.8,1.0,6.0,47.6,1.0,5.0,136.2
3.0,2.0,28.0,3.0,1.0,195.3,2.0,1.0,247.6,2.0,1.0,285.3,2.0,1.0,107.4,2.0,1.0,238.1
3.0,4.0,37.0,3.0,4.0,319.1,2.0,4.0,470.8,2.0,3.0,610.0,2.0,3.0,336.5,2.0,3.0,778.8
3.0,5.0,26.2,3.0,5.0,266.3,2.0,5.0,325.0,2.0,5.0,224.3,2.0,4.0,255.3,2.0,4.0,651.7
3.0,6.0,35.2,3.0,6.0,284.0,2.0,6.0,383.3,2.0,6.0,325.8,2.0,6.0,128.3,2.0,5.0,281.4
4.0,2.0,31.9,4.0,1.0,219.1,4.0,1.0,402.0,3.0,1.0,540.7,3.0,1.0,287.3,3.0,1.0,616.0
4.0,3.0,53.3,4.0,3.0,362.0,4.0,2.0,520.3,3.0,2.0,814.6,3.0,2.0,578.6,3.0,2.0,1168.0
4.0,5.0,31.5,4.0,5.0,225.1,4.0,5.0,451.9,3.0,5.0,411.4,3.0,4.0,631.7,3.0,4.0,1076.0
4.0,6.0,38.0,4.0,6.0,280.1,4.0,6.0,501.3,3.0,6.0,547.9,3.0,6.0,268.6,3.0,5.0,573.2
5.0,2.0,17.2,5.0,1.0,80.0,5.0,1.0,224.3,5.0,1.0,94.4,4.0,1.0,123.9,4.0,1.0,450.3
5.0,3.0,28.4,5.0,3.0,218.0,5.0,2.0,372.9,5.0,2.0,160.1,4.0,2.0,239.0,4.0,2.0,598.2
5.0,4.0,38.1,5.0,4.0,224.3,5.0,4.0,507.5,5.0,3.0,277.6,4.0,3.0,418.3,4.0,3.0,897.3
5.0,6.0,17.7,5.0,6.0,103.4,5.0,6.0,275.1,5.0,6.0,80.6,4.0,6.0,113.0,4.0,5.0,344.9
6.0,2.0,36.6,6.0,1.0,124.3,6.0,1.0,343.9,6.0,1.0,139.2,6.0,1.0,66.6,5.0,1.0,146.8
6.0,3.0,46.7,6.0,3.0,347.8,6.0,2.0,592.5,6.0,2.0,246.6,6.0,2.0,97.5,5.0,2.0,232.7
6.0,4.0,69.2,6.0,4.0,349.8,6.0,4.0,865.9,6.0,3.0,437.5,6.0,3.0,193.1,5.0,3.0,369.6
6.0,5.0,30.4,6.0,5.0,157.7,6.0,5.0,367.4,6.0,5.0,124.3,6.0,4.0,120.6,5.0,4.0,307.2
