1,溝口　海義也,溝口　海義也.1,2,本村 大,本村 大.1,3,川崎 公靖,川崎 公靖.1,4,岡本　翔太郎,岡本　翔太郎.1,5,近藤　雄一郎,近藤　雄一郎.1,6,松本 真広,松本 真広.1
2.0,3.0,8.1,1.0,3.0,77.5,1.0,2.0,75.1,1.0,2.0,65.4,1.0,2.0,344.8,1.0,2.0,573.6
2.0,4.0,9.3,1.0,4.0,98.9,1.0,4.0,71.6,1.0,3.0,79.6,1.0,3.0,440.7,1.0,3.0,689.0
2.0,5.0,22.8,1.0,5.0,193.1,1.0,5.0,126.6,1.0,5.0,56.2,1.0,4.0,326.1,1.0,4.0,493.4
2.0,6.0,33.6,1.0,6.0,265.8,1.0,6.0,158.1,1.0,6.0,72.8,1.0,6.0,541.0,1.0,5.0,1375.0
3.0,2.0,8.0,3.0,1.0,199.9,2.0,1.0,172.0,2.0,1.0,156.9,2.0,1.0,642.5,2.0,1.0,961.9
3.0,4.0,7.4,3.0,4.0,434.0,2.0,4.0,373.0,2.0,3.0,364.3,2.0,3.0,1259.0,2.0,3.0,2075.0
3.0,5.0,20.1,3.0,5.0,629.5,2.0,5.0,579.4,2.0,5.0,291.7,2.0,4.0,933.1,2.0,4.0,1712.0
3.0,6.0,23.9,3.0,6.0,825.2,2.0,6.0,509.6,2.0,6.0,275.2,2.0,6.0,1386.0,2.0,5.0,3085.0
4.0,2.0,11.6,4.0,1.0,266.5,4.0,1.0,174.9,3.0,1.0,197.8,3.0,1.0,856.1,3.0,1.0,1332.0
4.0,3.0,13.1,4.0,3.0,514.9,4.0,2.0,384.7,3.0,2.0,437.3,3.0,2.0,1451.0,3.0,2.0,2127.0
4.0,5.0,20.5,4.0,5.0,704.6,4.0,5.0,430.7,3.0,5.0,459.6,3.0,4.0,1342.0,3.0,4.0,2026.0
4.0,6.0,24.4,4.0,6.0,800.1,4.0,6.0,474.3,3.0,6.0,429.6,3.0,6.0,2075.0,3.0,5.0,3141.0
5.0,2.0,51.4,5.0,1.0,644.9,5.0,1.0,402.8,5.0,1.0,79.8,4.0,1.0,392.7,4.0,1.0,698.8
5.0,3.0,54.5,5.0,3.0,905.9,5.0,2.0,709.0,5.0,2.0,190.3,4.0,2.0,754.3,4.0,2.0,1495.0
5.0,4.0,44.4,5.0,4.0,1022.0,5.0,4.0,744.4,5.0,3.0,278.1,4.0,3.0,967.4,4.0,3.0,2050.0
5.0,6.0,85.5,5.0,6.0,1979.0,5.0,6.0,873.6,5.0,6.0,104.6,4.0,6.0,641.3,4.0,5.0,1607.0
6.0,2.0,91.0,6.0,1.0,871.4,6.0,1.0,531.7,6.0,1.0,151.7,6.0,1.0,1149.0,5.0,1.0,2127.0
6.0,3.0,75.3,6.0,3.0,1585.0,6.0,2.0,557.7,6.0,2.0,274.4,6.0,2.0,1881.0,5.0,2.0,3057.0
6.0,4.0,72.6,6.0,4.0,1451.0,6.0,4.0,803.8,6.0,3.0,425.9,6.0,3.0,2153.0,5.0,3.0,3261.0
6.0,5.0,146.8,6.0,5.0,3230.0,6.0,5.0,1133.0,6.0,5.0,254.4,6.0,4.0,1070.0,5.0,4.0,1686.0
