1,桑原 啓,桑原 啓.1,2,小松 卓司,小松 卓司.1,3,篠原 飛翔,篠原 飛翔.1,4,仲谷 颯仁,仲谷 颯仁.1,5,渡邉 優美,渡邉 優美.1,6,土井 歩夢,土井 歩夢.1
2.0,3.0,32.2,1.0,3.0,58.7,1.0,2.0,90.8,1.0,2.0,40.3,1.0,2.0,146.2,1.0,2.0,1662.0
2.0,4.0,20.7,1.0,4.0,33.7,1.0,4.0,41.8,1.0,3.0,45.5,1.0,3.0,136.6,1.0,3.0,2018.0
2.0,5.0,34.4,1.0,5.0,49.9,1.0,5.0,57.0,1.0,5.0,28.3,1.0,4.0,83.1,1.0,4.0,1207.0
2.0,6.0,233.5,1.0,6.0,367.9,1.0,6.0,348.9,1.0,6.0,135.2,1.0,6.0,336.4,1.0,5.0,1239.0
3.0,2.0,43.8,3.0,1.0,124.2,2.0,1.0,129.4,2.0,1.0,61.3,2.0,1.0,220.1,2.0,1.0,2479.0
3.0,4.0,21.0,3.0,4.0,75.8,2.0,4.0,65.8,2.0,3.0,66.4,2.0,3.0,280.3,2.0,3.0,2436.0
3.0,5.0,33.2,3.0,5.0,102.9,2.0,5.0,99.6,2.0,5.0,42.0,2.0,4.0,121.7,2.0,4.0,1766.0
3.0,6.0,236.7,3.0,6.0,617.0,2.0,6.0,523.3,2.0,6.0,235.5,2.0,6.0,732.1,2.0,5.0,2243.0
4.0,2.0,19.9,4.0,1.0,55.0,4.0,1.0,44.4,3.0,1.0,58.3,3.0,1.0,239.9,3.0,1.0,2109.0
4.0,3.0,21.8,4.0,3.0,70.5,4.0,2.0,52.4,3.0,2.0,67.0,3.0,2.0,282.6,3.0,2.0,2018.0
4.0,5.0,16.9,4.0,5.0,43.9,4.0,5.0,29.0,3.0,5.0,33.1,3.0,4.0,113.7,3.0,4.0,2355.0
4.0,6.0,132.8,4.0,6.0,286.0,4.0,6.0,175.1,3.0,6.0,196.5,3.0,6.0,499.3,3.0,5.0,1859.0
5.0,2.0,54.8,5.0,1.0,142.8,5.0,1.0,103.9,5.0,1.0,27.6,4.0,1.0,66.5,4.0,1.0,1456.0
5.0,3.0,55.0,5.0,3.0,178.8,5.0,2.0,130.9,5.0,2.0,29.0,4.0,2.0,65.0,4.0,2.0,1587.0
5.0,4.0,37.7,5.0,4.0,80.6,5.0,4.0,57.6,5.0,3.0,29.8,4.0,3.0,74.3,4.0,3.0,2243.0
5.0,6.0,228.6,5.0,6.0,603.8,5.0,6.0,365.1,5.0,6.0,73.3,4.0,6.0,172.9,4.0,5.0,776.4
6.0,2.0,743.7,6.0,1.0,1062.0,6.0,1.0,1197.0,6.0,1.0,432.1,6.0,1.0,826.3,5.0,1.0,1702.0
6.0,3.0,759.7,6.0,3.0,1039.0,6.0,2.0,1177.0,6.0,2.0,492.3,6.0,2.0,1103.0,5.0,2.0,2569.0
6.0,4.0,533.2,6.0,4.0,1002.0,6.0,4.0,846.1,6.0,3.0,501.1,6.0,3.0,866.9,5.0,3.0,1962.0
6.0,5.0,706.5,6.0,5.0,1031.0,6.0,5.0,877.7,6.0,5.0,267.6,6.0,4.0,460.2,5.0,4.0,841.1
