1,眞鳥 章太,眞鳥 章太.1,2,冨田 秀幸,冨田 秀幸.1,3,金田 大輔,金田 大輔.1,4,村越 篤,村越 篤.1,5,木場　雄二郎,木場　雄二郎.1,6,富永 修一,富永 修一.1
2.0,3.0,36.4,1.0,3.0,201.0,1.0,2.0,91.9,1.0,2.0,35.7,1.0,2.0,573.2,1.0,2.0,400.4
2.0,4.0,12.8,1.0,4.0,93.6,1.0,4.0,38.2,1.0,3.0,43.5,1.0,3.0,564.3,1.0,3.0,412.2
2.0,5.0,68.7,1.0,5.0,284.8,1.0,5.0,102.5,1.0,5.0,63.9,1.0,4.0,369.2,1.0,4.0,188.5
2.0,6.0,37.9,1.0,6.0,186.3,1.0,6.0,62.3,1.0,6.0,26.3,1.0,6.0,390.0,1.0,5.0,599.9
3.0,2.0,33.1,3.0,1.0,380.1,2.0,1.0,245.3,2.0,1.0,80.9,2.0,1.0,1026.0,2.0,1.0,535.8
3.0,4.0,15.6,3.0,4.0,367.0,2.0,4.0,183.3,2.0,3.0,152.0,2.0,3.0,1236.0,2.0,3.0,889.5
3.0,5.0,52.0,3.0,5.0,885.2,2.0,5.0,454.8,2.0,5.0,180.7,2.0,4.0,832.1,2.0,4.0,355.4
3.0,6.0,34.0,3.0,6.0,475.2,2.0,6.0,239.1,2.0,6.0,83.3,2.0,6.0,864.0,2.0,5.0,1456.0
4.0,2.0,10.9,4.0,1.0,127.8,4.0,1.0,39.7,3.0,1.0,54.1,3.0,1.0,663.9,3.0,1.0,464.2
4.0,3.0,14.7,4.0,3.0,342.0,4.0,2.0,87.3,3.0,2.0,92.1,3.0,2.0,1031.0,3.0,2.0,758.7
4.0,5.0,30.5,4.0,5.0,434.0,4.0,5.0,48.0,3.0,5.0,57.4,3.0,4.0,557.3,3.0,4.0,278.2
4.0,6.0,13.2,4.0,6.0,171.0,4.0,6.0,34.4,3.0,6.0,37.7,3.0,6.0,564.3,3.0,5.0,955.4
5.0,2.0,120.1,5.0,1.0,656.6,5.0,1.0,204.5,5.0,1.0,93.6,4.0,1.0,384.2,4.0,1.0,170.8
5.0,3.0,133.3,5.0,3.0,1020.0,5.0,2.0,359.0,5.0,2.0,157.9,4.0,2.0,584.4,4.0,2.0,256.1
5.0,4.0,83.4,5.0,4.0,691.8,5.0,4.0,116.8,5.0,3.0,124.6,4.0,3.0,547.2,4.0,3.0,238.5
5.0,6.0,109.2,5.0,6.0,758.7,5.0,6.0,134.8,5.0,6.0,60.2,4.0,6.0,264.7,4.0,5.0,329.5
6.0,2.0,73.6,6.0,1.0,477.7,6.0,1.0,165.3,6.0,1.0,44.6,6.0,1.0,542.2,5.0,1.0,656.6
6.0,3.0,98.7,6.0,3.0,775.0,6.0,2.0,298.9,6.0,2.0,75.5,6.0,2.0,719.4,5.0,2.0,986.7
6.0,4.0,44.4,6.0,4.0,295.0,6.0,4.0,86.7,6.0,3.0,67.0,6.0,3.0,847.8,5.0,3.0,1037.0
6.0,5.0,125.8,6.0,5.0,935.6,6.0,5.0,172.6,6.0,5.0,72.2,6.0,4.0,385.8,5.0,4.0,441.5
