1,土屋　実沙希,土屋　実沙希.1,2,藤堂 里香,藤堂 里香.1,3,武藤 綾子,武藤 綾子.1,4,刑部　亜里紗,刑部　亜里紗.1,5,中谷 朋子,中谷 朋子.1,6,角 ひとみ,角 ひとみ.1
2.0,3.0,16.6,1.0,3.0,51.4,1.0,2.0,228.3,1.0,2.0,40.4,1.0,2.0,93.1,1.0,2.0,1549.0
2.0,4.0,10.0,1.0,4.0,31.9,1.0,4.0,161.4,1.0,3.0,81.1,1.0,3.0,157.6,1.0,3.0,1889.0
2.0,5.0,14.9,1.0,5.0,42.7,1.0,5.0,195.4,1.0,5.0,24.3,1.0,4.0,58.3,1.0,4.0,1571.0
2.0,6.0,85.9,1.0,6.0,181.2,1.0,6.0,665.9,1.0,6.0,85.2,1.0,6.0,188.3,1.0,5.0,1499.0
3.0,2.0,29.1,3.0,1.0,134.5,2.0,1.0,299.6,2.0,1.0,67.8,2.0,1.0,188.5,2.0,1.0,1602.0
3.0,4.0,21.8,3.0,4.0,176.5,2.0,4.0,304.1,2.0,3.0,179.8,2.0,3.0,440.6,2.0,3.0,2151.0
3.0,5.0,30.5,3.0,5.0,210.4,2.0,5.0,339.1,2.0,5.0,76.3,2.0,4.0,201.4,2.0,4.0,1993.0
3.0,6.0,127.8,3.0,6.0,523.9,2.0,6.0,738.0,2.0,6.0,205.6,2.0,6.0,506.9,2.0,5.0,2680.0
4.0,2.0,11.2,4.0,1.0,64.5,4.0,1.0,252.4,3.0,1.0,211.9,3.0,1.0,346.3,3.0,1.0,1923.0
4.0,3.0,20.5,4.0,3.0,160.5,4.0,2.0,346.3,3.0,2.0,313.1,3.0,2.0,622.7,3.0,2.0,2615.0
4.0,5.0,10.3,4.0,5.0,93.0,4.0,5.0,267.3,3.0,5.0,234.3,3.0,4.0,443.0,3.0,4.0,2574.0
4.0,6.0,57.1,4.0,6.0,295.6,4.0,6.0,671.3,3.0,6.0,531.6,3.0,6.0,763.9,3.0,5.0,2999.0
5.0,2.0,24.1,5.0,1.0,118.2,5.0,1.0,309.3,5.0,1.0,25.6,4.0,1.0,59.4,4.0,1.0,1329.0
5.0,3.0,40.0,5.0,3.0,264.3,5.0,2.0,453.4,5.0,2.0,50.0,4.0,2.0,121.6,4.0,2.0,1720.0
5.0,4.0,18.0,5.0,4.0,148.5,5.0,4.0,345.9,5.0,3.0,105.2,4.0,3.0,239.1,4.0,3.0,2137.0
5.0,6.0,80.9,5.0,6.0,496.1,5.0,6.0,697.1,5.0,6.0,53.5,4.0,6.0,122.6,4.0,5.0,958.8
6.0,2.0,309.6,6.0,1.0,749.9,6.0,1.0,1739.0,6.0,1.0,211.6,6.0,1.0,475.9,5.0,1.0,1602.0
6.0,3.0,331.9,6.0,3.0,1302.0,6.0,2.0,1668.0,6.0,2.0,302.7,6.0,2.0,1006.0,5.0,2.0,2386.0
6.0,4.0,243.0,6.0,4.0,947.7,6.0,4.0,1694.0,6.0,3.0,548.6,6.0,3.0,1197.0,5.0,3.0,2477.0
6.0,5.0,275.2,6.0,5.0,1061.0,6.0,5.0,1499.0,6.0,5.0,168.9,6.0,4.0,402.1,5.0,4.0,1151.0
