1,鈴木 賢一,鈴木 賢一.1,2,下河 雅史,下河 雅史.1,3,益田 啓司,益田 啓司.1,4,藤山 雅弘,藤山 雅弘.1,5,佐藤 旭,佐藤 旭.1,6,松尾 祭,松尾 祭.1
2.0,3.0,13.2,1.0,3.0,30.6,1.0,2.0,15.1,1.0,2.0,233.8,1.0,2.0,330.1,1.0,2.0,733.5
2.0,4.0,30.0,1.0,4.0,57.8,1.0,4.0,21.2,1.0,3.0,136.5,1.0,3.0,249.6,1.0,3.0,468.9
2.0,5.0,41.3,1.0,5.0,72.7,1.0,5.0,22.4,1.0,5.0,192.5,1.0,4.0,531.0,1.0,4.0,961.8
2.0,6.0,60.0,1.0,6.0,104.8,1.0,6.0,34.9,1.0,6.0,204.2,1.0,6.0,459.8,1.0,5.0,992.2
3.0,2.0,9.6,3.0,1.0,42.0,2.0,1.0,34.5,2.0,1.0,299.7,2.0,1.0,610.1,2.0,1.0,1071.0
3.0,4.0,13.6,3.0,4.0,74.6,2.0,4.0,47.8,2.0,3.0,184.1,2.0,3.0,334.8,2.0,3.0,569.5
3.0,5.0,18.7,3.0,5.0,74.3,2.0,5.0,42.5,2.0,5.0,298.2,2.0,4.0,634.7,2.0,4.0,1240.0
3.0,6.0,27.8,3.0,6.0,96.8,2.0,6.0,57.9,2.0,6.0,313.1,2.0,6.0,708.7,2.0,5.0,1282.0
4.0,2.0,51.3,4.0,1.0,130.1,4.0,1.0,50.5,3.0,1.0,143.2,3.0,1.0,249.3,3.0,1.0,420.8
4.0,3.0,39.4,4.0,3.0,135.5,4.0,2.0,63.2,3.0,2.0,151.6,3.0,2.0,255.4,3.0,2.0,425.5
4.0,5.0,72.8,4.0,5.0,260.3,4.0,5.0,53.0,3.0,5.0,154.2,3.0,4.0,353.7,3.0,4.0,736.4
4.0,6.0,93.8,4.0,6.0,289.5,4.0,6.0,60.9,3.0,6.0,165.2,3.0,6.0,297.8,3.0,5.0,472.4
5.0,2.0,84.2,5.0,1.0,248.3,5.0,1.0,64.0,5.0,1.0,262.9,4.0,1.0,566.1,4.0,1.0,1096.0
5.0,3.0,65.1,5.0,3.0,201.6,5.0,2.0,73.5,5.0,2.0,279.2,4.0,2.0,556.1,4.0,2.0,1291.0
5.0,4.0,139.5,5.0,4.0,392.7,5.0,4.0,83.2,5.0,3.0,243.2,4.0,3.0,526.6,4.0,3.0,1035.0
5.0,6.0,151.7,5.0,6.0,412.5,5.0,6.0,64.4,5.0,6.0,262.9,4.0,6.0,502.7,4.0,5.0,1193.0
6.0,2.0,177.0,6.0,1.0,391.1,6.0,1.0,97.9,6.0,1.0,393.5,6.0,1.0,760.1,5.0,1.0,1156.0
6.0,3.0,130.2,6.0,3.0,265.5,6.0,2.0,116.1,6.0,2.0,418.0,6.0,2.0,782.2,5.0,2.0,1156.0
6.0,4.0,177.3,6.0,4.0,492.2,6.0,4.0,126.6,6.0,3.0,295.0,6.0,3.0,453.1,5.0,3.0,581.8
6.0,5.0,223.3,6.0,5.0,587.2,6.0,5.0,96.2,6.0,5.0,385.5,6.0,4.0,748.1,5.0,4.0,1318.0
