1,山川　美由紀,山川　美由紀.1,2,蜂須 瑞生,蜂須 瑞生.1,3,小池 礼乃,小池 礼乃.1,4,真子　奈津実,真子　奈津実.1,5,永井 聖美,永井 聖美.1,6,小野 桜,小野 桜.1
2.0,3.0,11.9,1.0,3.0,30.2,1.0,2.0,72.0,1.0,2.0,54.6,1.0,2.0,112.6,1.0,2.0,364.1
2.0,4.0,12.7,1.0,4.0,25.7,1.0,4.0,102.9,1.0,3.0,135.2,1.0,3.0,219.2,1.0,3.0,830.1
2.0,5.0,15.3,1.0,5.0,30.4,1.0,5.0,99.9,1.0,5.0,56.1,1.0,4.0,137.2,1.0,4.0,457.5
2.0,6.0,25.2,1.0,6.0,40.7,1.0,6.0,131.3,1.0,6.0,66.1,1.0,6.0,130.2,1.0,5.0,501.1
3.0,2.0,21.1,3.0,1.0,66.4,2.0,1.0,103.7,2.0,1.0,75.1,2.0,1.0,170.1,2.0,1.0,448.4
3.0,4.0,34.5,3.0,4.0,99.4,2.0,4.0,168.4,2.0,3.0,177.3,2.0,3.0,386.9,2.0,3.0,1149.0
3.0,5.0,33.7,3.0,5.0,107.4,2.0,5.0,168.1,2.0,5.0,82.1,2.0,4.0,205.5,2.0,4.0,418.7
3.0,6.0,55.2,3.0,6.0,141.6,2.0,6.0,213.5,2.0,6.0,85.4,2.0,6.0,199.3,2.0,5.0,621.6
4.0,2.0,24.1,4.0,1.0,51.3,4.0,1.0,210.5,3.0,1.0,237.3,3.0,1.0,434.2,3.0,1.0,1358.0
4.0,3.0,52.4,4.0,3.0,107.9,4.0,2.0,238.4,3.0,2.0,299.8,3.0,2.0,574.0,3.0,2.0,1641.0
4.0,5.0,32.5,4.0,5.0,59.4,4.0,5.0,279.1,3.0,5.0,350.5,3.0,4.0,762.1,3.0,4.0,1628.0
4.0,6.0,41.5,4.0,6.0,63.2,4.0,6.0,337.1,3.0,6.0,367.5,3.0,6.0,663.4,3.0,5.0,1675.0
5.0,2.0,35.0,5.0,1.0,75.5,5.0,1.0,204.5,5.0,1.0,61.8,4.0,1.0,143.7,4.0,1.0,583.5
5.0,3.0,61.6,5.0,3.0,152.5,5.0,2.0,259.5,5.0,2.0,72.2,4.0,2.0,157.8,4.0,2.0,441.5
5.0,4.0,50.5,5.0,4.0,94.3,5.0,4.0,358.9,5.0,3.0,222.7,4.0,3.0,537.8,4.0,3.0,1577.0
5.0,6.0,58.1,5.0,6.0,96.0,5.0,6.0,356.5,5.0,6.0,60.2,4.0,6.0,140.0,4.0,5.0,541.7
6.0,2.0,94.7,6.0,1.0,142.0,6.0,1.0,492.6,6.0,1.0,117.8,6.0,1.0,227.1,5.0,1.0,546.5
6.0,3.0,195.7,6.0,3.0,310.3,6.0,2.0,615.0,6.0,2.0,123.5,6.0,2.0,257.7,5.0,2.0,635.3
6.0,4.0,110.4,6.0,4.0,137.2,6.0,4.0,705.6,6.0,3.0,379.8,6.0,3.0,629.8,5.0,3.0,1376.0
6.0,5.0,126.6,6.0,5.0,174.9,6.0,5.0,628.9,6.0,5.0,124.0,6.0,4.0,244.3,5.0,4.0,501.8
