1,百武 翔,百武 翔.1,2,竹上 真司,竹上 真司.1,3,中辻 崇人,中辻 崇人.1,4,河合 三弘,河合 三弘.1,5,中村 辰也,中村 辰也.1,6,岡部 大輔,岡部 大輔.1
2.0,3.0,56.0,1.0,3.0,202.2,1.0,2.0,33.2,1.0,2.0,462.3,1.0,2.0,422.6,1.0,2.0,1865.0
2.0,4.0,117.8,1.0,4.0,492.7,1.0,4.0,11.9,1.0,3.0,145.8,1.0,3.0,122.2,1.0,3.0,749.4
2.0,5.0,134.1,1.0,5.0,492.3,1.0,5.0,11.1,1.0,5.0,216.6,1.0,4.0,306.5,1.0,4.0,1759.0
2.0,6.0,229.0,1.0,6.0,982.2,1.0,6.0,25.6,1.0,6.0,351.7,1.0,6.0,256.2,1.0,5.0,1199.0
3.0,2.0,27.8,3.0,1.0,219.4,2.0,1.0,76.0,2.0,1.0,931.2,2.0,1.0,830.4,2.0,1.0,2346.0
3.0,4.0,16.6,3.0,4.0,313.6,2.0,4.0,77.7,2.0,3.0,457.6,2.0,3.0,562.0,2.0,3.0,1713.0
3.0,5.0,13.0,3.0,5.0,318.9,2.0,5.0,85.3,2.0,5.0,820.1,2.0,4.0,1154.0,2.0,4.0,2737.0
3.0,6.0,31.6,3.0,6.0,717.6,2.0,6.0,155.6,2.0,6.0,997.1,2.0,6.0,980.6,2.0,5.0,2776.0
4.0,2.0,129.4,4.0,1.0,911.1,4.0,1.0,20.2,3.0,1.0,96.8,3.0,1.0,88.3,3.0,1.0,588.3
4.0,3.0,52.5,4.0,3.0,582.0,4.0,2.0,63.6,3.0,2.0,227.6,3.0,2.0,269.6,3.0,2.0,1054.0
4.0,5.0,88.3,4.0,5.0,1130.0,4.0,5.0,11.4,3.0,5.0,53.4,3.0,4.0,84.3,3.0,4.0,567.4
4.0,6.0,141.4,4.0,6.0,1397.0,4.0,6.0,19.7,3.0,6.0,76.7,3.0,6.0,80.1,3.0,5.0,406.9
5.0,2.0,134.2,5.0,1.0,987.1,5.0,1.0,18.9,5.0,1.0,290.1,4.0,1.0,431.3,4.0,1.0,2283.0
5.0,3.0,45.0,5.0,3.0,644.8,5.0,2.0,65.6,5.0,2.0,586.6,4.0,2.0,955.2,4.0,2.0,2443.0
5.0,4.0,109.1,5.0,4.0,1474.0,5.0,4.0,14.4,5.0,3.0,147.9,4.0,3.0,199.6,4.0,3.0,990.4
5.0,6.0,111.4,5.0,6.0,1496.0,5.0,6.0,15.6,5.0,6.0,263.3,4.0,6.0,392.3,4.0,5.0,1237.0
6.0,2.0,422.9,6.0,1.0,1913.0,6.0,1.0,66.2,6.0,1.0,806.7,6.0,1.0,463.7,5.0,1.0,1214.0
6.0,3.0,162.4,6.0,3.0,1665.0,6.0,2.0,166.4,6.0,2.0,837.5,6.0,2.0,1037.0,5.0,2.0,2346.0
6.0,4.0,349.2,6.0,4.0,2474.0,6.0,4.0,50.4,6.0,3.0,314.5,6.0,3.0,241.4,5.0,3.0,506.2
6.0,5.0,246.5,6.0,5.0,2214.0,6.0,5.0,39.3,6.0,5.0,434.7,6.0,4.0,550.5,5.0,4.0,1221.0
