1,繁野谷　圭介,繁野谷　圭介.1,2,岩崎 正哉,岩崎 正哉.1,3,都築 正治,都築 正治.1,4,金山 立樹,金山 立樹.1,5,三原 司,三原 司.1,6,藤田 美代,藤田 美代.1
2.0,3.0,4.6,1.0,3.0,19.6,1.0,2.0,58.7,1.0,2.0,75.1,1.0,2.0,331.9,1.0,2.0,779.1
2.0,4.0,7.4,1.0,4.0,26.6,1.0,4.0,82.4,1.0,3.0,135.3,1.0,3.0,507.4,1.0,3.0,971.5
2.0,5.0,14.3,1.0,5.0,49.9,1.0,5.0,150.6,1.0,5.0,103.5,1.0,4.0,428.3,1.0,4.0,1455.0
2.0,6.0,26.6,1.0,6.0,80.6,1.0,6.0,212.1,1.0,6.0,168.0,1.0,6.0,720.9,1.0,5.0,2309.0
3.0,2.0,8.3,3.0,1.0,54.1,2.0,1.0,82.8,2.0,1.0,120.0,2.0,1.0,474.2,2.0,1.0,1316.0
3.0,4.0,12.9,3.0,4.0,98.4,2.0,4.0,122.4,2.0,3.0,263.5,2.0,3.0,983.5,2.0,3.0,2069.0
3.0,5.0,22.9,3.0,5.0,180.4,2.0,5.0,229.2,2.0,5.0,201.6,2.0,4.0,852.0,2.0,4.0,1919.0
3.0,6.0,38.6,3.0,6.0,239.6,2.0,6.0,347.1,2.0,6.0,295.8,2.0,6.0,1410.0,2.0,5.0,2897.0
4.0,2.0,18.0,4.0,1.0,101.9,4.0,1.0,160.4,3.0,1.0,308.5,3.0,1.0,817.1,3.0,1.0,1625.0
4.0,3.0,29.7,4.0,3.0,163.0,4.0,2.0,180.5,3.0,2.0,400.3,3.0,2.0,1189.0,3.0,2.0,2549.0
4.0,5.0,48.7,4.0,5.0,281.0,4.0,5.0,283.0,3.0,5.0,539.2,3.0,4.0,1274.0,3.0,4.0,3035.0
4.0,6.0,66.3,4.0,6.0,310.6,4.0,6.0,431.2,3.0,6.0,708.1,3.0,6.0,1601.0,3.0,5.0,4426.0
5.0,2.0,50.1,5.0,1.0,252.5,5.0,1.0,358.4,5.0,1.0,160.3,4.0,1.0,448.2,4.0,1.0,1896.0
5.0,3.0,69.3,5.0,3.0,477.7,5.0,2.0,422.0,5.0,2.0,212.1,4.0,2.0,596.7,4.0,2.0,2042.0
5.0,4.0,89.0,5.0,4.0,547.5,5.0,4.0,485.0,5.0,3.0,481.3,4.0,3.0,1134.0,4.0,3.0,3035.0
5.0,6.0,170.5,5.0,6.0,792.7,5.0,6.0,657.0,5.0,6.0,323.2,4.0,6.0,1098.0,4.0,5.0,3934.0
6.0,2.0,152.3,6.0,1.0,502.6,6.0,1.0,705.0,6.0,1.0,491.7,6.0,1.0,1489.0,5.0,1.0,4618.0
6.0,3.0,194.4,6.0,3.0,808.8,6.0,2.0,900.2,6.0,2.0,558.1,6.0,2.0,2260.0,5.0,2.0,3934.0
6.0,4.0,250.1,6.0,4.0,965.7,6.0,4.0,1244.0,6.0,3.0,1048.0,6.0,3.0,2795.0,5.0,3.0,4488.0
6.0,5.0,352.9,6.0,5.0,1118.0,6.0,5.0,1800.0,6.0,5.0,609.3,6.0,4.0,2138.0,5.0,4.0,3934.0
