1,井上 大輔,井上 大輔.1,2,塩田 雄一,塩田 雄一.1,3,小野 信樹,小野 信樹.1,4,室田 泰史,室田 泰史.1,5,香月 大輝,香月 大輝.1,6,松尾 昂明,松尾 昂明.1
2.0,3.0,39.1,1.0,3.0,172.2,1.0,2.0,229.0,1.0,2.0,56.6,1.0,2.0,968.1,1.0,2.0,33.6
2.0,4.0,18.2,1.0,4.0,111.1,1.0,4.0,146.5,1.0,3.0,89.3,1.0,3.0,597.2,1.0,3.0,55.2
2.0,5.0,165.0,1.0,5.0,406.9,1.0,5.0,577.9,1.0,5.0,140.1,1.0,4.0,906.0,1.0,4.0,22.3
2.0,6.0,19.3,1.0,6.0,106.4,1.0,6.0,105.4,1.0,6.0,20.9,1.0,6.0,620.7,1.0,5.0,73.2
3.0,2.0,44.1,3.0,1.0,339.4,2.0,1.0,380.9,2.0,1.0,126.0,2.0,1.0,1411.0,2.0,1.0,71.1
3.0,4.0,27.1,3.0,4.0,575.4,2.0,4.0,446.2,2.0,3.0,376.1,2.0,3.0,2708.0,2.0,3.0,205.1
3.0,5.0,168.9,3.0,5.0,1265.0,2.0,5.0,1031.0,2.0,5.0,482.3,2.0,4.0,1752.0,2.0,4.0,98.9
3.0,6.0,25.6,3.0,6.0,508.8,2.0,6.0,438.2,2.0,6.0,112.1,2.0,6.0,1812.0,2.0,5.0,236.9
4.0,2.0,15.0,4.0,1.0,206.2,4.0,1.0,212.1,3.0,1.0,204.4,3.0,1.0,1532.0,3.0,1.0,119.1
4.0,3.0,23.0,4.0,3.0,558.7,4.0,2.0,433.2,3.0,2.0,416.4,3.0,2.0,2681.0,3.0,2.0,231.9
4.0,5.0,87.3,4.0,5.0,1055.0,4.0,5.0,859.5,3.0,5.0,810.2,3.0,4.0,2483.0,3.0,4.0,138.8
4.0,6.0,8.5,4.0,6.0,249.7,4.0,6.0,172.2,3.0,6.0,171.6,3.0,6.0,2506.0,3.0,5.0,411.9
5.0,2.0,414.5,5.0,1.0,1289.0,5.0,1.0,1085.0,5.0,1.0,296.0,4.0,1.0,1090.0,4.0,1.0,26.9
5.0,3.0,501.2,5.0,3.0,2145.0,5.0,2.0,1340.0,5.0,2.0,521.7,4.0,2.0,1849.0,4.0,2.0,56.2
5.0,4.0,357.0,5.0,4.0,1875.0,5.0,4.0,1321.0,5.0,3.0,744.9,4.0,3.0,2216.0,4.0,3.0,91.6
5.0,6.0,292.4,5.0,6.0,1665.0,5.0,6.0,1277.0,5.0,6.0,234.4,4.0,6.0,793.4,4.0,5.0,88.1
6.0,2.0,16.0,6.0,1.0,177.9,6.0,1.0,154.5,6.0,1.0,20.2,6.0,1.0,755.4,5.0,1.0,178.1
6.0,3.0,23.5,6.0,3.0,460.0,6.0,2.0,310.0,6.0,2.0,44.9,6.0,2.0,1166.0,5.0,2.0,291.1
6.0,4.0,10.2,6.0,4.0,241.3,6.0,4.0,165.1,6.0,3.0,82.5,6.0,3.0,1764.0,5.0,3.0,367.3
6.0,5.0,72.5,6.0,5.0,996.9,6.0,5.0,717.0,6.0,5.0,74.8,6.0,4.0,657.3,5.0,4.0,222.1
