1,水摩 敦,水摩 敦.1,2,渡邉 睦広,渡邉 睦広.1,3,東 健介,東 健介.1,4,横田 貴満,横田 貴満.1,5,抹香 雄三,抹香 雄三.1,6,杉山 勝匡,杉山 勝匡.1
2.0,3.0,7.7,1.0,3.0,77.8,1.0,2.0,218.2,1.0,2.0,45.2,1.0,2.0,216.4,1.0,2.0,516.3
2.0,4.0,4.6,1.0,4.0,43.8,1.0,4.0,203.9,1.0,3.0,130.5,1.0,3.0,493.2,1.0,3.0,967.1
2.0,5.0,12.5,1.0,5.0,89.9,1.0,5.0,299.4,1.0,5.0,54.4,1.0,4.0,191.5,1.0,4.0,554.8
2.0,6.0,38.5,1.0,6.0,218.0,1.0,6.0,566.6,1.0,6.0,100.1,1.0,6.0,396.6,1.0,5.0,894.2
3.0,2.0,16.9,3.0,1.0,295.3,2.0,1.0,455.3,2.0,1.0,98.7,2.0,1.0,386.1,2.0,1.0,879.4
3.0,4.0,17.2,3.0,4.0,584.1,2.0,4.0,978.9,2.0,3.0,408.8,2.0,3.0,1250.0,2.0,3.0,1517.0
3.0,5.0,34.7,3.0,5.0,947.1,2.0,5.0,1260.0,2.0,5.0,171.1,2.0,4.0,577.8,2.0,4.0,1391.0
3.0,6.0,87.1,3.0,6.0,1275.0,2.0,6.0,1808.0,2.0,6.0,305.4,2.0,6.0,1123.0,2.0,5.0,1768.0
4.0,2.0,7.3,4.0,1.0,120.0,4.0,1.0,500.2,3.0,1.0,430.8,3.0,1.0,1074.0,3.0,1.0,1702.0
4.0,3.0,15.5,4.0,3.0,415.7,4.0,2.0,886.7,3.0,2.0,669.7,3.0,2.0,1988.0,3.0,2.0,2406.0
4.0,5.0,12.7,4.0,5.0,316.9,4.0,5.0,879.4,3.0,5.0,673.9,3.0,4.0,1461.0,3.0,4.0,2581.0
4.0,6.0,36.0,4.0,6.0,599.4,4.0,6.0,1641.0,3.0,6.0,1009.0,3.0,6.0,1861.0,3.0,5.0,2425.0
5.0,2.0,30.8,5.0,1.0,362.5,5.0,1.0,804.3,5.0,1.0,80.6,4.0,1.0,218.8,4.0,1.0,746.2
5.0,3.0,51.8,5.0,3.0,896.7,5.0,2.0,1397.0,5.0,2.0,127.7,4.0,2.0,365.4,4.0,2.0,1306.0
5.0,4.0,33.2,5.0,4.0,558.6,5.0,4.0,1240.0,5.0,3.0,295.5,4.0,3.0,806.3,4.0,3.0,2177.0
5.0,6.0,88.1,5.0,6.0,1226.0,5.0,6.0,1592.0,5.0,6.0,127.1,4.0,6.0,298.9,4.0,5.0,780.8
6.0,2.0,122.0,6.0,1.0,955.6,6.0,1.0,1495.0,6.0,1.0,229.8,6.0,1.0,802.3,5.0,1.0,1280.0
6.0,3.0,184.8,6.0,3.0,1539.0,6.0,2.0,2425.0,6.0,2.0,362.5,6.0,2.0,1416.0,5.0,2.0,2106.0
6.0,4.0,108.4,6.0,4.0,896.7,6.0,4.0,1788.0,6.0,3.0,706.6,6.0,3.0,1625.0,5.0,3.0,2353.0
6.0,5.0,165.1,6.0,5.0,1711.0,6.0,5.0,1758.0,6.0,5.0,232.9,6.0,4.0,605.1,5.0,4.0,925.2
