1,飯山 晃三,飯山 晃三.1,2,嶋田 貴支,嶋田 貴支.1,3,加藤 高史,加藤 高史.1,4,黒田 剛,黒田 剛.1,5,中辻 崇人,中辻 崇人.1,6,黄金井　力良,黄金井　力良.1
2.0,3.0,50.7,1.0,3.0,75.4,1.0,2.0,100.1,1.0,2.0,491.1,1.0,2.0,21.1,1.0,2.0,643.9
2.0,4.0,190.6,1.0,4.0,335.1,1.0,4.0,146.0,1.0,3.0,397.0,1.0,3.0,17.5,1.0,3.0,662.2
2.0,5.0,48.8,1.0,5.0,62.0,1.0,5.0,39.1,1.0,5.0,218.6,1.0,4.0,74.2,1.0,4.0,1176.0
2.0,6.0,127.1,1.0,6.0,147.4,1.0,6.0,105.8,1.0,6.0,582.0,1.0,6.0,29.6,1.0,5.0,375.1
3.0,2.0,54.0,3.0,1.0,136.3,2.0,1.0,118.0,2.0,1.0,641.4,2.0,1.0,38.0,2.0,1.0,757.2
3.0,4.0,104.8,3.0,4.0,321.3,2.0,4.0,213.2,2.0,3.0,550.7,2.0,3.0,33.3,2.0,3.0,673.1
3.0,5.0,26.5,3.0,5.0,75.3,2.0,5.0,61.2,2.0,5.0,321.3,2.0,4.0,119.6,2.0,4.0,1176.0
3.0,6.0,93.2,3.0,6.0,150.7,2.0,6.0,135.2,2.0,6.0,603.5,2.0,6.0,28.8,2.0,5.0,439.6
4.0,2.0,251.2,4.0,1.0,399.9,4.0,1.0,180.7,3.0,1.0,422.6,3.0,1.0,25.9,3.0,1.0,702.0
4.0,3.0,201.1,4.0,3.0,428.1,4.0,2.0,289.5,3.0,2.0,539.8,3.0,2.0,30.4,3.0,2.0,702.0
4.0,5.0,149.6,4.0,5.0,331.7,4.0,5.0,78.0,3.0,5.0,162.2,3.0,4.0,52.4,3.0,4.0,834.5
4.0,6.0,302.9,4.0,6.0,565.9,4.0,6.0,182.7,3.0,6.0,387.6,3.0,6.0,21.5,3.0,5.0,274.4
5.0,2.0,33.7,5.0,1.0,78.1,5.0,1.0,29.4,5.0,1.0,140.5,4.0,1.0,91.4,4.0,1.0,1777.0
5.0,3.0,25.2,5.0,3.0,57.4,5.0,2.0,37.0,5.0,2.0,169.6,4.0,2.0,111.9,4.0,2.0,1880.0
5.0,4.0,83.5,5.0,4.0,190.6,5.0,4.0,50.2,5.0,3.0,122.5,4.0,3.0,82.5,4.0,3.0,1220.0
5.0,6.0,51.4,5.0,6.0,78.1,5.0,6.0,31.1,5.0,6.0,87.2,4.0,6.0,55.8,4.0,5.0,335.1
6.0,2.0,254.3,6.0,1.0,456.8,6.0,1.0,271.7,6.0,1.0,641.4,6.0,1.0,30.6,5.0,1.0,201.4
6.0,3.0,220.4,6.0,3.0,277.7,6.0,2.0,267.2,6.0,2.0,778.8,6.0,2.0,28.6,5.0,2.0,210.5
6.0,4.0,386.6,6.0,4.0,834.5,6.0,4.0,308.6,6.0,3.0,531.0,6.0,3.0,27.2,5.0,3.0,166.3
6.0,5.0,168.4,6.0,5.0,201.1,6.0,5.0,99.7,6.0,5.0,204.2,6.0,4.0,56.4,5.0,4.0,259.2
