1,平野 和明,平野 和明.1,2,上之 晃弘,上之 晃弘.1,3,嶋田 有里,嶋田 有里.1,4,清水 攻二,清水 攻二.1,5,大神 康司,大神 康司.1,6,長尾 章平,長尾 章平.1
2.0,3.0,106.3,1.0,3.0,278.3,1.0,2.0,574.6,1.0,2.0,146.0,1.0,2.0,27.3,1.0,2.0,103.0
2.0,4.0,27.6,1.0,4.0,60.5,1.0,4.0,722.9,1.0,3.0,413.5,1.0,3.0,102.4,1.0,3.0,269.4
2.0,5.0,22.0,1.0,5.0,62.3,1.0,5.0,431.1,1.0,5.0,88.1,1.0,4.0,30.1,1.0,4.0,102.7
2.0,6.0,24.8,1.0,6.0,51.8,1.0,6.0,383.1,1.0,6.0,85.8,1.0,6.0,17.5,1.0,5.0,49.8
3.0,2.0,233.4,3.0,1.0,521.2,2.0,1.0,657.6,2.0,1.0,180.8,2.0,1.0,72.6,2.0,1.0,152.2
3.0,4.0,234.3,3.0,4.0,561.3,2.0,4.0,951.2,2.0,3.0,455.4,2.0,3.0,246.8,2.0,3.0,438.9
3.0,5.0,155.5,3.0,5.0,632.5,2.0,5.0,843.3,2.0,5.0,200.3,2.0,4.0,103.9,2.0,4.0,204.0
3.0,6.0,149.2,3.0,6.0,370.2,2.0,6.0,595.3,2.0,6.0,145.2,2.0,6.0,65.1,2.0,5.0,160.1
4.0,2.0,43.6,4.0,1.0,101.0,4.0,1.0,1046.0,3.0,1.0,587.6,3.0,1.0,308.5,3.0,1.0,410.7
4.0,3.0,180.9,4.0,3.0,361.0,4.0,2.0,1087.0,3.0,2.0,922.3,3.0,2.0,415.4,3.0,2.0,564.8
4.0,5.0,31.3,4.0,5.0,140.7,4.0,5.0,847.3,3.0,5.0,598.2,3.0,4.0,404.3,3.0,4.0,536.5
4.0,6.0,31.3,4.0,6.0,88.2,4.0,6.0,632.5,3.0,6.0,489.0,3.0,6.0,202.0,3.0,5.0,329.7
5.0,2.0,13.4,5.0,1.0,89.6,5.0,1.0,483.2,5.0,1.0,113.3,4.0,1.0,76.0,4.0,1.0,142.1
5.0,3.0,72.4,5.0,3.0,432.2,5.0,2.0,677.2,5.0,2.0,196.6,4.0,2.0,117.2,4.0,2.0,234.0
5.0,4.0,16.8,5.0,4.0,136.8,5.0,4.0,634.7,5.0,3.0,442.7,4.0,3.0,310.0,4.0,3.0,403.9
5.0,6.0,11.0,5.0,6.0,98.2,5.0,6.0,311.4,5.0,6.0,86.6,4.0,6.0,53.8,4.0,5.0,121.4
6.0,2.0,39.2,6.0,1.0,107.6,6.0,1.0,358.6,6.0,1.0,105.1,6.0,1.0,33.7,5.0,1.0,55.6
6.0,3.0,135.7,6.0,3.0,344.6,6.0,2.0,514.6,6.0,2.0,156.2,6.0,2.0,65.5,5.0,2.0,116.4
6.0,4.0,40.4,6.0,4.0,120.7,6.0,4.0,516.8,6.0,3.0,346.9,6.0,3.0,177.0,5.0,3.0,244.8
6.0,5.0,22.1,6.0,5.0,116.3,6.0,5.0,291.4,6.0,5.0,90.1,6.0,4.0,52.9,5.0,4.0,94.5
