1,小松 卓司,小松 卓司.1,2,松下 哲也,松下 哲也.1,3,江夏 満,江夏 満.1,4,岩崎 正哉,岩崎 正哉.1,5,檀 将太,檀 将太.1,6,青木　幸太郎,青木　幸太郎.1
2.0,3.0,20.9,1.0,3.0,27.6,1.0,2.0,19.5,1.0,2.0,146.2,1.0,2.0,1042.0,1.0,2.0,473.5
2.0,4.0,37.4,1.0,4.0,44.9,1.0,4.0,8.5,1.0,3.0,68.4,1.0,3.0,722.6,1.0,3.0,332.6
2.0,5.0,175.3,1.0,5.0,255.2,1.0,5.0,52.2,1.0,5.0,315.6,1.0,4.0,1253.0,1.0,4.0,611.8
2.0,6.0,89.6,1.0,6.0,111.4,1.0,6.0,21.2,1.0,6.0,159.5,1.0,6.0,1757.0,1.0,5.0,1984.0
3.0,2.0,13.9,3.0,1.0,39.6,2.0,1.0,41.9,2.0,1.0,222.7,2.0,1.0,1626.0,2.0,1.0,765.3
3.0,4.0,8.8,3.0,4.0,48.3,2.0,4.0,38.2,2.0,3.0,169.7,2.0,3.0,1595.0,2.0,3.0,641.1
3.0,5.0,63.2,3.0,5.0,202.4,2.0,5.0,133.3,2.0,5.0,600.2,2.0,4.0,2440.0,2.0,4.0,1130.0
3.0,6.0,26.0,3.0,6.0,105.6,2.0,6.0,72.3,2.0,6.0,363.2,2.0,6.0,2454.0,2.0,5.0,2397.0
4.0,2.0,42.8,4.0,1.0,110.2,4.0,1.0,13.2,3.0,1.0,56.3,3.0,1.0,775.3,3.0,1.0,315.2
4.0,3.0,22.9,4.0,3.0,93.2,4.0,2.0,26.9,3.0,2.0,94.0,3.0,2.0,1256.0,3.0,2.0,459.8
4.0,5.0,165.9,4.0,5.0,393.1,4.0,5.0,53.4,3.0,5.0,177.4,3.0,4.0,888.2,3.0,4.0,322.8
4.0,6.0,64.5,4.0,6.0,211.4,4.0,6.0,18.9,3.0,6.0,79.7,3.0,6.0,1329.0,3.0,5.0,1118.0
5.0,2.0,378.8,5.0,1.0,771.0,5.0,1.0,186.9,5.0,1.0,595.1,4.0,1.0,1686.0,4.0,1.0,803.8
5.0,3.0,218.0,5.0,3.0,705.4,5.0,2.0,264.0,5.0,2.0,814.9,4.0,2.0,2291.0,4.0,2.0,1006.0
5.0,4.0,406.6,5.0,4.0,964.6,5.0,4.0,165.1,5.0,3.0,369.3,4.0,3.0,1001.0,4.0,3.0,412.3
5.0,6.0,460.3,5.0,6.0,1097.0,5.0,6.0,194.6,5.0,6.0,646.1,4.0,6.0,1975.0,4.0,5.0,1772.0
6.0,2.0,202.3,6.0,1.0,493.2,6.0,1.0,64.0,6.0,1.0,282.3,6.0,1.0,2676.0,5.0,1.0,2984.0
6.0,3.0,119.0,6.0,3.0,392.4,6.0,2.0,113.9,6.0,2.0,411.1,6.0,2.0,2880.0,5.0,2.0,3215.0
6.0,4.0,189.4,6.0,4.0,604.6,6.0,4.0,55.6,6.0,3.0,176.7,6.0,3.0,2084.0,5.0,3.0,2074.0
6.0,5.0,502.7,6.0,5.0,1227.0,6.0,5.0,193.2,6.0,5.0,615.4,6.0,4.0,2544.0,5.0,4.0,2821.0
