1,中辻 博訓,中辻 博訓.1,2,林 祐介,林 祐介.1,3,桂林 寛,桂林 寛.1,4,中島 昂章,中島 昂章.1,5,大塚 雅治,大塚 雅治.1,6,中田 友也,中田 友也.1
2.0,3.0,5.5,1.0,3.0,68.7,1.0,2.0,89.5,1.0,2.0,115.3,1.0,2.0,341.5,1.0,2.0,1101.0
2.0,4.0,5.1,1.0,4.0,53.7,1.0,4.0,94.1,1.0,3.0,197.6,1.0,3.0,476.3,1.0,3.0,1704.0
2.0,5.0,13.8,1.0,5.0,167.1,1.0,5.0,175.8,1.0,5.0,242.7,1.0,4.0,650.5,1.0,4.0,1913.0
2.0,6.0,32.3,1.0,6.0,212.4,1.0,6.0,287.0,1.0,6.0,300.2,1.0,6.0,577.1,1.0,5.0,1902.0
3.0,2.0,7.5,3.0,1.0,193.2,2.0,1.0,198.5,2.0,1.0,234.4,2.0,1.0,560.3,2.0,1.0,1859.0
3.0,4.0,8.6,3.0,4.0,504.9,2.0,4.0,476.3,2.0,3.0,686.0,2.0,3.0,1042.0,2.0,3.0,4090.0
3.0,5.0,15.1,3.0,5.0,674.7,2.0,5.0,636.6,2.0,5.0,688.9,2.0,4.0,826.3,2.0,4.0,3990.0
3.0,6.0,38.4,3.0,6.0,1308.0,2.0,6.0,1029.0,2.0,6.0,994.6,2.0,6.0,1003.0,2.0,5.0,3146.0
4.0,2.0,11.0,4.0,1.0,195.9,4.0,1.0,288.8,3.0,1.0,370.1,3.0,1.0,908.9,3.0,1.0,3029.0
4.0,3.0,14.8,4.0,3.0,535.5,4.0,2.0,550.8,3.0,2.0,863.4,3.0,2.0,1374.0,3.0,2.0,4090.0
4.0,5.0,28.1,4.0,5.0,691.8,4.0,5.0,733.7,3.0,5.0,1273.0,3.0,4.0,2337.0,3.0,4.0,3990.0
4.0,6.0,43.3,4.0,6.0,959.6,4.0,6.0,1016.0,3.0,6.0,1507.0,3.0,6.0,2773.0,3.0,5.0,5546.0
5.0,2.0,39.4,5.0,1.0,640.3,5.0,1.0,492.0,5.0,1.0,496.5,4.0,1.0,788.5,4.0,1.0,2597.0
5.0,3.0,46.8,5.0,3.0,1148.0,5.0,2.0,719.1,5.0,2.0,620.9,4.0,2.0,1083.0,4.0,2.0,3339.0
5.0,4.0,57.7,5.0,4.0,929.6,5.0,4.0,976.8,5.0,3.0,1094.0,4.0,3.0,2241.0,4.0,3.0,4884.0
5.0,6.0,109.0,5.0,6.0,2272.0,5.0,6.0,1596.0,5.0,6.0,716.0,4.0,6.0,1298.0,4.0,5.0,3481.0
6.0,2.0,121.1,6.0,1.0,1335.0,6.0,1.0,1185.0,6.0,1.0,759.2,6.0,1.0,1308.0,5.0,1.0,3635.0
6.0,3.0,142.8,6.0,3.0,2084.0,6.0,2.0,2071.0,6.0,2.0,1164.0,6.0,2.0,1661.0,5.0,2.0,3942.0
6.0,4.0,145.6,6.0,4.0,1797.0,6.0,4.0,2320.0,6.0,3.0,1817.0,6.0,3.0,3116.0,5.0,3.0,4363.0
6.0,5.0,159.7,6.0,5.0,2460.0,6.0,5.0,2660.0,6.0,5.0,1079.0,6.0,4.0,1807.0,5.0,4.0,3481.0
