1,堤 昇,堤 昇.1,2,水摩 敦,水摩 敦.1,3,青木　幸太郎,青木　幸太郎.1,4,堤 啓輔,堤 啓輔.1,5,川上 清人,川上 清人.1,6,横田 貴満,横田 貴満.1
2.0,3.0,7.3,1.0,3.0,14.1,1.0,2.0,25.8,1.0,2.0,119.1,1.0,2.0,234.4,1.0,2.0,434.7
2.0,4.0,9.9,1.0,4.0,19.8,1.0,4.0,34.6,1.0,3.0,185.8,1.0,3.0,320.9,1.0,3.0,689.6
2.0,5.0,24.6,1.0,5.0,51.9,1.0,5.0,64.4,1.0,5.0,198.2,1.0,4.0,386.3,1.0,4.0,733.5
2.0,6.0,26.7,1.0,6.0,41.7,1.0,6.0,67.8,1.0,6.0,187.5,1.0,6.0,248.3,1.0,5.0,567.0
3.0,2.0,12.7,3.0,1.0,31.5,2.0,1.0,36.0,2.0,1.0,211.0,2.0,1.0,435.4,2.0,1.0,556.0
3.0,4.0,21.0,3.0,4.0,39.4,2.0,4.0,50.8,2.0,3.0,419.9,2.0,3.0,823.8,2.0,3.0,772.2
3.0,5.0,35.1,3.0,5.0,99.3,2.0,5.0,88.5,2.0,5.0,530.9,2.0,4.0,1028.0,2.0,4.0,996.5
3.0,6.0,44.0,3.0,6.0,86.4,2.0,6.0,81.7,2.0,6.0,373.6,2.0,6.0,599.6,2.0,5.0,1097.0
4.0,2.0,26.9,4.0,1.0,57.4,4.0,1.0,73.1,3.0,1.0,314.9,3.0,1.0,620.2,3.0,1.0,1000.0
4.0,3.0,42.7,4.0,3.0,79.5,4.0,2.0,83.7,3.0,2.0,382.5,3.0,2.0,857.7,3.0,2.0,983.8
4.0,5.0,65.5,4.0,5.0,213.5,4.0,5.0,102.5,3.0,5.0,471.3,3.0,4.0,1183.0,3.0,4.0,1437.0
4.0,6.0,60.7,4.0,6.0,164.4,4.0,6.0,109.8,3.0,6.0,409.7,3.0,6.0,1013.0,3.0,5.0,1637.0
5.0,2.0,72.1,5.0,1.0,203.4,5.0,1.0,169.6,5.0,1.0,459.4,4.0,1.0,790.2,4.0,1.0,1018.0
5.0,3.0,97.4,5.0,3.0,329.5,5.0,2.0,210.2,5.0,2.0,643.0,4.0,2.0,1249.0,4.0,2.0,1148.0
5.0,4.0,131.8,5.0,4.0,384.4,5.0,4.0,216.4,5.0,3.0,848.3,4.0,3.0,1594.0,4.0,3.0,1618.0
5.0,6.0,107.0,5.0,6.0,316.4,5.0,6.0,253.4,5.0,6.0,558.8,4.0,6.0,1115.0,4.0,5.0,1688.0
6.0,2.0,90.3,6.0,1.0,192.4,6.0,1.0,209.7,6.0,1.0,491.4,6.0,1.0,397.1,5.0,1.0,740.5
6.0,3.0,136.4,6.0,3.0,265.7,6.0,2.0,204.6,6.0,2.0,575.4,6.0,2.0,595.7,5.0,2.0,971.5
6.0,4.0,150.4,6.0,4.0,330.5,6.0,4.0,268.5,6.0,3.0,856.4,6.0,3.0,942.7,5.0,3.0,1351.0
6.0,5.0,164.9,6.0,5.0,386.3,6.0,5.0,364.3,6.0,5.0,722.8,6.0,4.0,989.2,5.0,4.0,1300.0
