1,酒見 峻介,酒見 峻介.1,2,冨成 謙児,冨成 謙児.1,3,武田 正紀,武田 正紀.1,4,山本 修一,山本 修一.1,5,鈴木 秀茉,鈴木 秀茉.1,6,松田 竜馬,松田 竜馬.1
2.0,3.0,24.6,1.0,3.0,64.1,1.0,2.0,210.4,1.0,2.0,22.4,1.0,2.0,343.4,1.0,2.0,394.3
2.0,4.0,9.7,1.0,4.0,27.4,1.0,4.0,153.4,1.0,3.0,60.3,1.0,3.0,550.0,1.0,3.0,659.2
2.0,5.0,37.4,1.0,5.0,75.1,1.0,5.0,314.2,1.0,5.0,33.0,1.0,4.0,219.5,1.0,4.0,180.6
2.0,6.0,27.0,1.0,6.0,72.4,1.0,6.0,245.2,1.0,6.0,17.5,1.0,6.0,306.4,1.0,5.0,639.0
3.0,2.0,37.6,3.0,1.0,202.3,2.0,1.0,297.6,2.0,1.0,58.1,2.0,1.0,568.1,2.0,1.0,574.1
3.0,4.0,28.3,3.0,4.0,251.6,2.0,4.0,300.1,2.0,3.0,196.0,2.0,3.0,1367.0,2.0,3.0,1213.0
3.0,5.0,74.8,3.0,5.0,582.9,2.0,5.0,607.5,2.0,5.0,129.0,2.0,4.0,608.1,2.0,4.0,463.6
3.0,6.0,61.1,3.0,6.0,497.9,2.0,6.0,526.5,2.0,6.0,66.5,2.0,6.0,783.0,2.0,5.0,1412.0
4.0,2.0,8.4,4.0,1.0,55.1,4.0,1.0,205.0,3.0,1.0,191.1,3.0,1.0,1044.0,3.0,1.0,1047.0
4.0,3.0,20.2,4.0,3.0,161.5,4.0,2.0,293.0,3.0,2.0,252.6,3.0,2.0,1831.0,3.0,2.0,1717.0
4.0,5.0,22.0,4.0,5.0,156.6,4.0,5.0,383.5,3.0,5.0,366.1,3.0,4.0,1453.0,3.0,4.0,1132.0
4.0,6.0,10.1,4.0,6.0,100.4,4.0,6.0,276.6,3.0,6.0,220.7,3.0,6.0,1783.0,3.0,5.0,2298.0
5.0,2.0,88.1,5.0,1.0,241.4,5.0,1.0,643.1,5.0,1.0,52.0,4.0,1.0,207.9,4.0,1.0,174.2
5.0,3.0,152.1,5.0,3.0,626.4,5.0,2.0,956.5,5.0,2.0,103.8,4.0,2.0,386.5,4.0,2.0,327.3
5.0,4.0,68.5,5.0,4.0,328.1,5.0,4.0,749.1,5.0,3.0,222.8,4.0,3.0,787.1,4.0,3.0,653.5
5.0,6.0,109.9,5.0,6.0,517.1,5.0,6.0,847.8,5.0,6.0,44.8,4.0,6.0,218.0,4.0,5.0,353.5
6.0,2.0,67.9,6.0,1.0,271.5,6.0,1.0,582.4,6.0,1.0,29.1,6.0,1.0,611.8,5.0,1.0,1117.0
6.0,3.0,119.2,6.0,3.0,724.8,6.0,2.0,1045.0,6.0,2.0,58.3,6.0,2.0,930.0,5.0,2.0,1688.0
6.0,4.0,38.9,6.0,4.0,238.3,6.0,4.0,644.4,6.0,3.0,141.5,6.0,3.0,1570.0,5.0,3.0,2206.0
6.0,5.0,140.1,6.0,5.0,781.0,6.0,5.0,1147.0,6.0,5.0,52.1,6.0,4.0,394.8,5.0,4.0,590.3
