1,宮武 英司,宮武 英司.1,2,鈴木 猛,鈴木 猛.1,3,松尾 宣邦,松尾 宣邦.1,4,中山 雄太,中山 雄太.1,5,赤峰 和也,赤峰 和也.1,6,植田 太一,植田 太一.1
2.0,3.0,43.6,1.0,3.0,184.1,1.0,2.0,200.3,1.0,2.0,29.2,1.0,2.0,930.2,1.0,2.0,151.4
2.0,4.0,22.2,1.0,4.0,93.7,1.0,4.0,60.4,1.0,3.0,24.5,1.0,3.0,1040.0,1.0,3.0,144.6
2.0,5.0,154.6,1.0,5.0,460.6,1.0,5.0,347.6,1.0,5.0,47.6,1.0,4.0,492.6,1.0,4.0,62.8
2.0,6.0,50.3,1.0,6.0,190.4,1.0,6.0,123.5,1.0,6.0,12.1,1.0,6.0,549.5,1.0,5.0,334.6
3.0,2.0,39.3,3.0,1.0,341.2,2.0,1.0,388.1,2.0,1.0,71.5,2.0,1.0,1881.0,2.0,1.0,324.5
3.0,4.0,19.4,3.0,4.0,430.2,2.0,4.0,406.6,2.0,3.0,168.1,2.0,3.0,2921.0,2.0,3.0,557.8
3.0,5.0,119.9,3.0,5.0,1447.0,2.0,5.0,1300.0,2.0,5.0,188.0,2.0,4.0,1734.0,2.0,4.0,242.3
3.0,6.0,36.9,3.0,6.0,590.4,2.0,6.0,536.2,2.0,6.0,55.8,2.0,6.0,1578.0,2.0,5.0,988.1
4.0,2.0,16.8,4.0,1.0,143.6,4.0,1.0,74.9,3.0,1.0,42.5,3.0,1.0,1548.0,3.0,1.0,261.3
4.0,3.0,16.5,4.0,3.0,340.1,4.0,2.0,223.0,3.0,2.0,139.7,3.0,2.0,2190.0,3.0,2.0,531.9
4.0,5.0,68.6,4.0,5.0,692.3,4.0,5.0,283.6,3.0,5.0,181.3,3.0,4.0,1520.0,3.0,4.0,183.7
4.0,6.0,12.8,4.0,6.0,189.4,4.0,6.0,87.1,3.0,6.0,46.3,3.0,6.0,1624.0,3.0,5.0,914.8
5.0,2.0,397.8,5.0,1.0,1300.0,5.0,1.0,919.9,5.0,1.0,57.5,4.0,1.0,481.9,4.0,1.0,40.6
5.0,3.0,353.8,5.0,3.0,2055.0,5.0,2.0,1734.0,5.0,2.0,115.8,4.0,2.0,740.0,4.0,2.0,92.1
5.0,4.0,224.5,5.0,4.0,1348.0,5.0,4.0,822.2,5.0,3.0,169.5,4.0,3.0,962.4,4.0,3.0,76.0
5.0,6.0,297.0,5.0,6.0,1520.0,5.0,6.0,785.4,5.0,6.0,35.4,4.0,6.0,331.3,4.0,5.0,126.2
6.0,2.0,70.5,6.0,1.0,407.1,6.0,1.0,214.4,6.0,1.0,11.1,6.0,1.0,717.7,5.0,1.0,787.2
6.0,3.0,62.4,6.0,3.0,678.2,6.0,2.0,422.6,6.0,2.0,24.4,6.0,2.0,1132.0,5.0,2.0,1077.0
6.0,4.0,30.9,6.0,4.0,310.3,6.0,4.0,162.4,6.0,3.0,26.2,6.0,3.0,1180.0,5.0,3.0,1053.0
6.0,5.0,238.2,6.0,5.0,1219.0,6.0,5.0,622.4,6.0,5.0,27.1,6.0,4.0,462.5,5.0,4.0,425.3
