1,山口 達也,山口 達也.1,2,門間 雄大,門間 雄大.1,3,塩田 雄一,塩田 雄一.1,4,嶋田 貴支,嶋田 貴支.1,5,宮地 秀祈,宮地 秀祈.1,6,玄馬 徹,玄馬 徹.1
2.0,3.0,7.7,1.0,3.0,85.2,1.0,2.0,158.2,1.0,2.0,65.0,1.0,2.0,343.4,1.0,2.0,795.8
2.0,4.0,6.5,1.0,4.0,74.0,1.0,4.0,146.0,1.0,3.0,99.4,1.0,3.0,460.0,1.0,3.0,1111.0
2.0,5.0,15.4,1.0,5.0,162.7,1.0,5.0,243.7,1.0,5.0,61.5,1.0,4.0,257.3,1.0,4.0,608.9
2.0,6.0,28.5,1.0,6.0,156.2,1.0,6.0,335.5,1.0,6.0,72.5,1.0,6.0,455.4,1.0,5.0,1395.0
3.0,2.0,11.4,3.0,1.0,238.1,2.0,1.0,301.8,2.0,1.0,181.3,2.0,1.0,751.0,2.0,1.0,1440.0
3.0,4.0,10.3,3.0,4.0,375.2,2.0,4.0,448.2,2.0,3.0,434.1,2.0,3.0,2139.0,2.0,3.0,2926.0
3.0,5.0,21.1,3.0,5.0,784.8,2.0,5.0,722.3,2.0,5.0,418.8,2.0,4.0,1472.0,2.0,4.0,2160.0
3.0,6.0,35.1,3.0,6.0,602.4,2.0,6.0,814.4,2.0,6.0,441.2,2.0,6.0,1829.0,2.0,5.0,2716.0
4.0,2.0,8.7,4.0,1.0,245.2,4.0,1.0,295.3,3.0,1.0,281.4,3.0,1.0,775.4,3.0,1.0,2234.0
4.0,3.0,12.4,4.0,3.0,524.4,4.0,2.0,510.2,3.0,2.0,574.9,3.0,2.0,2268.0,3.0,2.0,2889.0
4.0,5.0,14.7,4.0,5.0,675.0,4.0,5.0,634.4,3.0,5.0,520.2,3.0,4.0,1914.0,3.0,4.0,2577.0
4.0,6.0,20.9,4.0,6.0,610.5,4.0,6.0,717.7,3.0,6.0,672.0,3.0,6.0,2548.0,3.0,5.0,3571.0
5.0,2.0,38.1,5.0,1.0,553.8,5.0,1.0,534.9,5.0,1.0,104.2,4.0,1.0,318.7,4.0,1.0,759.8
5.0,3.0,52.3,5.0,3.0,1184.0,5.0,2.0,1080.0,5.0,2.0,253.0,4.0,2.0,900.0,4.0,2.0,1946.0
5.0,4.0,37.3,5.0,4.0,1010.0,5.0,4.0,1010.0,5.0,3.0,458.6,4.0,3.0,1206.0,4.0,3.0,2387.0
5.0,6.0,71.2,5.0,6.0,1383.0,5.0,6.0,1342.0,5.0,6.0,167.9,4.0,6.0,598.4,4.0,5.0,1326.0
6.0,2.0,101.0,6.0,1.0,701.1,6.0,1.0,1033.0,6.0,1.0,187.9,6.0,1.0,907.2,5.0,1.0,1882.0
6.0,3.0,115.5,6.0,3.0,1311.0,6.0,2.0,1558.0,6.0,2.0,480.0,6.0,2.0,1946.0,5.0,2.0,3065.0
6.0,4.0,78.4,6.0,4.0,1281.0,6.0,4.0,1387.0,6.0,3.0,708.8,6.0,3.0,2180.0,5.0,3.0,3489.0
6.0,5.0,130.0,6.0,5.0,1946.0,6.0,5.0,1930.0,6.0,5.0,314.1,6.0,4.0,963.1,5.0,4.0,1705.0
