1,一色 凌雅,一色 凌雅.1,2,市川 健太,市川 健太.1,3,山下 大輝,山下 大輝.1,4,浦野 海,浦野 海.1,5,山田 丈,山田 丈.1,6,小宮 涼雅,小宮 涼雅.1
2.0,3.0,24.6,1.0,3.0,43.0,1.0,2.0,35.3,1.0,2.0,197.8,1.0,2.0,160.1,1.0,2.0,1833.0
2.0,4.0,44.3,1.0,4.0,67.3,1.0,4.0,20.9,1.0,3.0,125.1,1.0,3.0,81.6,1.0,3.0,1849.0
2.0,5.0,47.0,1.0,5.0,70.7,1.0,5.0,16.7,1.0,5.0,144.9,1.0,4.0,170.2,1.0,4.0,2429.0
2.0,6.0,203.2,1.0,6.0,365.2,1.0,6.0,134.2,1.0,6.0,530.6,1.0,6.0,399.2,1.0,5.0,2429.0
3.0,2.0,17.5,3.0,1.0,54.4,2.0,1.0,48.0,2.0,1.0,255.5,2.0,1.0,199.6,2.0,1.0,2265.0
3.0,4.0,13.9,3.0,4.0,48.0,2.0,4.0,38.1,2.0,3.0,153.8,2.0,3.0,136.5,2.0,3.0,2036.0
3.0,5.0,14.6,3.0,5.0,43.5,2.0,5.0,32.3,2.0,5.0,187.2,2.0,4.0,269.2,2.0,4.0,2618.0
3.0,6.0,139.5,3.0,6.0,304.1,2.0,6.0,208.7,2.0,6.0,733.2,2.0,6.0,563.2,2.0,5.0,2688.0
4.0,2.0,53.3,4.0,1.0,152.2,4.0,1.0,30.3,3.0,1.0,100.3,3.0,1.0,81.0,3.0,1.0,1680.0
4.0,3.0,35.8,4.0,3.0,90.0,4.0,2.0,33.3,3.0,2.0,89.3,3.0,2.0,104.6,3.0,2.0,1884.0
4.0,5.0,52.6,4.0,5.0,117.9,4.0,5.0,15.6,3.0,5.0,55.9,3.0,4.0,84.9,3.0,4.0,1753.0
4.0,6.0,226.5,4.0,6.0,556.9,4.0,6.0,116.7,3.0,6.0,291.3,3.0,6.0,282.3,3.0,5.0,1957.0
5.0,2.0,66.2,5.0,1.0,128.9,5.0,1.0,26.8,5.0,1.0,143.7,4.0,1.0,198.4,4.0,1.0,2688.0
5.0,3.0,35.1,5.0,3.0,81.9,5.0,2.0,34.4,5.0,2.0,169.8,4.0,2.0,242.3,4.0,2.0,2762.0
5.0,4.0,67.8,5.0,4.0,146.4,5.0,4.0,22.4,5.0,3.0,87.3,4.0,3.0,115.8,4.0,3.0,2036.0
5.0,6.0,283.9,5.0,6.0,446.0,5.0,6.0,98.8,5.0,6.0,353.1,4.0,6.0,464.5,4.0,5.0,2552.0
6.0,2.0,594.7,6.0,1.0,978.7,6.0,1.0,473.3,6.0,1.0,1300.0,6.0,1.0,829.7,5.0,1.0,2344.0
6.0,3.0,487.0,6.0,3.0,937.8,6.0,2.0,523.7,6.0,2.0,1400.0,6.0,2.0,912.3,5.0,2.0,2344.0
6.0,4.0,678.8,6.0,4.0,1400.0,6.0,4.0,367.9,6.0,3.0,1013.0,6.0,3.0,674.3,5.0,3.0,2168.0
6.0,5.0,685.8,6.0,5.0,1152.0,6.0,5.0,318.0,6.0,5.0,1028.0,6.0,4.0,1072.0,5.0,4.0,2880.0
