1,武藤 綾子,武藤 綾子.1,2,田村 美和,田村 美和.1,3,本部　めぐみ,本部　めぐみ.1,4,森田 梨湖,森田 梨湖.1,5,笠野　友紀恵,笠野　友紀恵.1,6,大橋　栄里佳,大橋　栄里佳.1
2.0,3.0,11.9,1.0,3.0,28.3,1.0,2.0,24.1,1.0,2.0,287.5,1.0,2.0,192.8,1.0,2.0,107.6
2.0,4.0,69.8,1.0,4.0,137.1,1.0,4.0,54.3,1.0,3.0,186.3,1.0,3.0,153.3,1.0,3.0,88.2
2.0,5.0,24.9,1.0,5.0,47.7,1.0,5.0,27.4,1.0,5.0,270.3,1.0,4.0,551.9,1.0,4.0,435.1
2.0,6.0,17.4,1.0,6.0,35.4,1.0,6.0,19.9,1.0,6.0,216.2,1.0,6.0,128.6,1.0,5.0,148.7
3.0,2.0,12.3,3.0,1.0,64.6,2.0,1.0,47.6,2.0,1.0,516.9,2.0,1.0,295.1,2.0,1.0,185.5
3.0,4.0,31.9,3.0,4.0,314.9,2.0,4.0,214.7,2.0,3.0,616.0,2.0,3.0,503.4,2.0,3.0,358.6
3.0,5.0,13.9,3.0,5.0,198.6,2.0,5.0,124.1,2.0,5.0,746.2,2.0,4.0,1038.0,2.0,4.0,790.8
3.0,6.0,10.1,3.0,6.0,144.2,2.0,6.0,94.6,2.0,6.0,496.3,2.0,6.0,366.0,2.0,5.0,410.7
4.0,2.0,115.1,4.0,1.0,363.5,4.0,1.0,107.5,3.0,1.0,225.2,3.0,1.0,194.9,3.0,1.0,123.7
4.0,3.0,78.3,4.0,3.0,473.0,4.0,2.0,218.9,3.0,2.0,575.9,3.0,2.0,529.8,3.0,2.0,336.4
4.0,5.0,143.0,4.0,5.0,738.4,4.0,5.0,173.8,3.0,5.0,459.7,3.0,4.0,799.7,3.0,4.0,528.5
4.0,6.0,96.9,4.0,6.0,465.7,4.0,6.0,130.1,3.0,6.0,337.4,3.0,6.0,247.8,3.0,5.0,269.2
5.0,2.0,58.1,5.0,1.0,187.2,5.0,1.0,66.4,5.0,1.0,411.5,4.0,1.0,790.8,4.0,1.0,685.8
5.0,3.0,41.4,5.0,3.0,331.1,5.0,2.0,151.5,5.0,2.0,767.8,4.0,2.0,1139.0,4.0,2.0,1009.0
5.0,4.0,196.0,5.0,4.0,872.1,5.0,4.0,224.7,5.0,3.0,579.0,4.0,3.0,967.7,4.0,3.0,808.9
5.0,6.0,39.2,5.0,6.0,268.6,5.0,6.0,71.9,5.0,6.0,379.8,4.0,6.0,824.6,4.0,5.0,1018.0
6.0,2.0,37.5,6.0,1.0,128.7,6.0,1.0,47.2,6.0,1.0,342.9,6.0,1.0,164.0,5.0,1.0,233.9
6.0,3.0,28.4,6.0,3.0,245.2,6.0,2.0,115.4,6.0,2.0,648.1,6.0,2.0,329.0,5.0,2.0,478.4
6.0,4.0,126.0,6.0,4.0,621.5,6.0,4.0,166.4,6.0,3.0,477.3,6.0,3.0,247.8,5.0,3.0,338.0
6.0,5.0,48.6,6.0,5.0,297.6,6.0,5.0,76.9,6.0,5.0,489.4,6.0,4.0,634.5,5.0,4.0,963.3
