1,岩永 雅人,岩永 雅人.1,2,岡部 浩,岡部 浩.1,3,平池 仁志,平池 仁志.1,4,菅 章哉,菅 章哉.1,5,松本 博昭,松本 博昭.1,6,山本　稔太朗,山本　稔太朗.1
2.0,3.0,86.3,1.0,3.0,460.7,1.0,2.0,511.4,1.0,2.0,37.2,1.0,2.0,183.4,1.0,2.0,872.0
2.0,4.0,66.6,1.0,4.0,280.1,1.0,4.0,266.7,1.0,3.0,33.6,1.0,3.0,191.5,1.0,3.0,1087.0
2.0,5.0,106.4,1.0,5.0,396.7,1.0,5.0,416.1,1.0,5.0,10.5,1.0,4.0,50.8,1.0,4.0,329.8
2.0,6.0,182.0,1.0,6.0,748.9,1.0,6.0,731.5,1.0,6.0,16.4,1.0,6.0,82.4,1.0,5.0,426.8
3.0,2.0,119.4,3.0,1.0,671.0,2.0,1.0,737.2,2.0,1.0,90.0,2.0,1.0,338.3,2.0,1.0,1474.0
3.0,4.0,60.6,3.0,4.0,716.7,2.0,4.0,809.8,2.0,3.0,171.0,2.0,3.0,600.7,2.0,3.0,2489.0
3.0,5.0,83.9,3.0,5.0,1021.0,2.0,5.0,1119.0,2.0,5.0,69.3,2.0,4.0,270.7,2.0,4.0,1210.0
3.0,6.0,157.4,3.0,6.0,1645.0,2.0,6.0,1796.0,2.0,6.0,95.3,2.0,6.0,338.9,2.0,5.0,1576.0
4.0,2.0,40.0,4.0,1.0,322.3,4.0,1.0,290.9,3.0,1.0,86.5,3.0,1.0,416.7,3.0,1.0,1709.0
4.0,3.0,36.6,4.0,3.0,640.7,4.0,2.0,611.0,3.0,2.0,206.4,3.0,2.0,752.8,3.0,2.0,2457.0
4.0,5.0,17.8,4.0,5.0,395.8,4.0,5.0,312.7,3.0,5.0,73.6,3.0,4.0,280.7,3.0,4.0,1398.0
4.0,6.0,32.3,4.0,6.0,541.6,4.0,6.0,531.0,3.0,6.0,110.6,3.0,6.0,486.4,3.0,5.0,1879.0
5.0,2.0,90.5,5.0,1.0,505.5,5.0,1.0,614.3,5.0,1.0,9.0,4.0,1.0,29.1,4.0,1.0,252.9
5.0,3.0,84.8,5.0,3.0,1063.0,5.0,2.0,1028.0,5.0,2.0,21.9,4.0,2.0,79.7,4.0,2.0,587.6
5.0,4.0,34.2,5.0,4.0,537.5,5.0,4.0,463.0,5.0,3.0,29.5,4.0,3.0,108.1,4.0,3.0,743.0
5.0,6.0,64.7,5.0,6.0,864.0,5.0,6.0,935.2,5.0,6.0,7.8,4.0,6.0,27.1,4.0,5.0,199.1
6.0,2.0,250.4,6.0,1.0,1576.0,6.0,1.0,1635.0,6.0,1.0,25.3,6.0,1.0,118.2,5.0,1.0,443.8
6.0,3.0,269.0,6.0,3.0,2640.0,6.0,2.0,2665.0,6.0,2.0,50.5,6.0,2.0,263.4,5.0,2.0,911.2
6.0,4.0,109.7,6.0,4.0,1302.0,6.0,4.0,1401.0,6.0,3.0,73.2,6.0,3.0,314.3,5.0,3.0,1055.0
6.0,5.0,132.3,6.0,5.0,1466.0,6.0,5.0,1645.0,6.0,5.0,18.3,6.0,4.0,82.0,5.0,4.0,255.2
