1,渡邉　真奈美,渡邉　真奈美.1,2,嶋田 有里,嶋田 有里.1,3,永井 聖美,永井 聖美.1,4,喜井　つかさ,喜井　つかさ.1,5,佐々木　裕美,佐々木　裕美.1,6,大橋　栄里佳,大橋　栄里佳.1
2.0,3.0,22.6,1.0,3.0,39.0,1.0,2.0,38.7,1.0,2.0,102.9,1.0,2.0,271.2,1.0,2.0,683.4
2.0,4.0,30.3,1.0,4.0,48.2,1.0,4.0,20.8,1.0,3.0,58.8,1.0,3.0,196.2,1.0,3.0,805.4
2.0,5.0,63.0,1.0,5.0,92.3,1.0,5.0,38.7,1.0,5.0,74.4,1.0,4.0,196.5,1.0,4.0,829.0
2.0,6.0,82.2,1.0,6.0,130.3,1.0,6.0,74.8,1.0,6.0,134.8,1.0,6.0,327.6,1.0,5.0,1026.0
3.0,2.0,20.7,3.0,1.0,49.0,2.0,1.0,52.8,2.0,1.0,164.9,2.0,1.0,360.6,2.0,1.0,749.2
3.0,4.0,11.8,3.0,4.0,33.5,2.0,4.0,39.0,2.0,3.0,120.3,2.0,3.0,322.3,2.0,3.0,952.2
3.0,5.0,24.2,3.0,5.0,63.0,2.0,5.0,70.5,2.0,5.0,179.8,2.0,4.0,307.3,2.0,4.0,694.2
3.0,6.0,50.2,3.0,6.0,99.3,2.0,6.0,106.9,2.0,6.0,236.7,2.0,6.0,554.5,2.0,5.0,1328.0
4.0,2.0,35.2,4.0,1.0,94.6,4.0,1.0,30.0,3.0,1.0,61.3,3.0,1.0,215.9,3.0,1.0,763.6
4.0,3.0,19.7,4.0,3.0,65.9,4.0,2.0,43.2,3.0,2.0,99.6,3.0,2.0,309.7,3.0,2.0,878.5
4.0,5.0,34.1,4.0,5.0,105.4,4.0,5.0,29.8,3.0,5.0,64.1,3.0,4.0,157.9,3.0,4.0,577.1
4.0,6.0,62.9,4.0,6.0,137.4,4.0,6.0,55.6,3.0,6.0,113.5,3.0,6.0,325.2,3.0,5.0,861.3
5.0,2.0,107.8,5.0,1.0,213.8,5.0,1.0,86.9,5.0,1.0,85.9,4.0,1.0,184.6,4.0,1.0,929.9
5.0,3.0,65.7,5.0,3.0,150.1,5.0,2.0,112.7,5.0,2.0,139.9,4.0,2.0,303.8,4.0,2.0,711.6
5.0,4.0,75.1,5.0,4.0,194.0,5.0,4.0,59.7,5.0,3.0,82.4,4.0,3.0,167.6,4.0,3.0,771.0
5.0,6.0,139.4,5.0,6.0,332.2,5.0,6.0,114.7,5.0,6.0,95.6,4.0,6.0,224.6,4.0,5.0,670.7
6.0,2.0,222.3,6.0,1.0,291.9,6.0,1.0,198.4,6.0,1.0,258.1,6.0,1.0,467.7,5.0,1.0,1196.0
6.0,3.0,184.2,6.0,3.0,295.6,6.0,2.0,221.9,6.0,2.0,311.2,6.0,2.0,727.2,5.0,2.0,1403.0
6.0,4.0,199.1,6.0,4.0,277.2,6.0,4.0,143.8,6.0,3.0,270.3,6.0,3.0,560.0,5.0,3.0,1214.0
6.0,5.0,271.4,6.0,5.0,493.8,6.0,5.0,207.4,6.0,5.0,212.6,6.0,4.0,396.3,5.0,4.0,701.5
