1,檀 将太,檀 将太.1,2,抹香 雄三,抹香 雄三.1,3,梶山 涼斗,梶山 涼斗.1,4,後藤 陽介,後藤 陽介.1,5,津留　浩一郎,津留　浩一郎.1,6,菊池 宏志,菊池 宏志.1
2.0,3.0,19.8,1.0,3.0,20.7,1.0,2.0,86.3,1.0,2.0,81.2,1.0,2.0,279.9,1.0,2.0,1051.0
2.0,4.0,19.5,1.0,4.0,23.8,1.0,4.0,108.1,1.0,3.0,131.4,1.0,3.0,405.4,1.0,3.0,1845.0
2.0,5.0,43.8,1.0,5.0,48.8,1.0,5.0,154.0,1.0,5.0,159.1,1.0,4.0,366.0,1.0,4.0,1102.0
2.0,6.0,52.2,1.0,6.0,69.5,1.0,6.0,249.0,1.0,6.0,137.8,1.0,6.0,507.9,1.0,5.0,2318.0
3.0,2.0,33.5,3.0,1.0,36.4,2.0,1.0,81.9,2.0,1.0,88.1,2.0,1.0,321.7,2.0,1.0,1291.0
3.0,4.0,49.1,3.0,4.0,14.1,2.0,4.0,30.0,2.0,3.0,51.9,2.0,3.0,115.1,2.0,3.0,961.9
3.0,5.0,79.8,3.0,5.0,18.4,2.0,5.0,38.4,2.0,5.0,47.2,2.0,4.0,156.9,2.0,4.0,822.0
3.0,6.0,128.9,3.0,6.0,44.3,2.0,6.0,87.3,2.0,6.0,58.7,2.0,6.0,253.2,2.0,5.0,853.0
4.0,2.0,36.9,4.0,1.0,43.6,4.0,1.0,140.1,3.0,1.0,202.2,3.0,1.0,525.7,3.0,1.0,2102.0
4.0,3.0,55.3,4.0,3.0,20.8,4.0,2.0,53.2,3.0,2.0,70.9,3.0,2.0,173.8,3.0,2.0,1063.0
4.0,5.0,84.5,4.0,5.0,22.2,4.0,5.0,63.2,3.0,5.0,95.0,3.0,4.0,274.0,3.0,4.0,1532.0
4.0,6.0,101.8,4.0,6.0,48.1,4.0,6.0,131.2,3.0,6.0,143.9,3.0,6.0,463.6,3.0,5.0,1291.0
5.0,2.0,118.5,5.0,1.0,104.5,5.0,1.0,287.9,5.0,1.0,138.8,4.0,1.0,341.2,4.0,1.0,1189.0
5.0,3.0,204.5,5.0,3.0,44.8,5.0,2.0,98.8,5.0,2.0,54.0,4.0,2.0,134.5,4.0,2.0,548.0
5.0,4.0,198.7,5.0,4.0,50.9,5.0,4.0,120.0,5.0,3.0,94.2,4.0,3.0,236.0,4.0,3.0,1291.0
5.0,6.0,351.8,5.0,6.0,99.9,5.0,6.0,230.0,5.0,6.0,73.9,4.0,6.0,180.1,4.0,5.0,623.5
6.0,2.0,225.4,6.0,1.0,274.8,6.0,1.0,528.7,6.0,1.0,245.7,6.0,1.0,941.8,5.0,1.0,3229.0
6.0,3.0,470.9,6.0,3.0,196.5,6.0,2.0,342.5,6.0,2.0,137.4,6.0,2.0,354.5,5.0,2.0,747.2
6.0,4.0,355.9,6.0,4.0,185.6,6.0,4.0,418.6,6.0,3.0,209.7,6.0,3.0,606.8,5.0,3.0,1391.0
6.0,5.0,717.6,6.0,5.0,226.0,6.0,5.0,458.9,6.0,5.0,156.7,6.0,4.0,353.2,5.0,4.0,685.0
