1,浜先 真範,浜先 真範.1,2,長尾　京志郎,長尾　京志郎.1,3,石田 章央,石田 章央.1,4,林 祐介,林 祐介.1,5,富永 正人,富永 正人.1,6,服部 幸男,服部 幸男.1
2.0,3.0,56.2,1.0,3.0,322.6,1.0,2.0,111.6,1.0,2.0,161.2,1.0,2.0,824.7,1.0,2.0,125.9
2.0,4.0,64.8,1.0,4.0,345.7,1.0,4.0,36.6,1.0,3.0,66.1,1.0,3.0,602.0,1.0,3.0,35.6
2.0,5.0,127.0,1.0,5.0,424.8,1.0,5.0,113.2,1.0,5.0,167.9,1.0,4.0,626.5,1.0,4.0,39.4
2.0,6.0,66.8,1.0,6.0,292.5,1.0,6.0,30.2,1.0,6.0,46.8,1.0,6.0,531.7,1.0,5.0,126.4
3.0,2.0,28.4,3.0,1.0,508.3,2.0,1.0,352.9,2.0,1.0,432.8,2.0,1.0,1099.0,2.0,1.0,325.5
3.0,4.0,7.5,3.0,4.0,816.4,2.0,4.0,469.9,2.0,3.0,663.8,2.0,3.0,1399.0,2.0,3.0,398.6
3.0,5.0,36.9,3.0,5.0,850.8,2.0,5.0,701.3,2.0,5.0,662.5,2.0,4.0,1215.0,2.0,4.0,478.9
3.0,6.0,7.1,3.0,6.0,695.2,2.0,6.0,479.6,2.0,6.0,459.2,2.0,6.0,1154.0,2.0,5.0,488.3
4.0,2.0,43.9,4.0,1.0,636.4,4.0,1.0,101.8,3.0,1.0,134.2,3.0,1.0,871.4,3.0,1.0,76.8
4.0,3.0,13.5,4.0,3.0,934.4,4.0,2.0,350.6,3.0,2.0,493.6,3.0,2.0,1554.0,3.0,2.0,278.9
4.0,5.0,47.7,4.0,5.0,934.4,4.0,5.0,274.9,3.0,5.0,389.0,3.0,4.0,1179.0,3.0,4.0,89.2
4.0,6.0,10.6,4.0,6.0,806.2,4.0,6.0,99.4,3.0,6.0,126.6,3.0,6.0,1053.0,3.0,5.0,247.9
5.0,2.0,181.3,5.0,1.0,625.3,5.0,1.0,397.1,5.0,1.0,450.2,4.0,1.0,1142.0,4.0,1.0,103.8
5.0,3.0,124.7,5.0,3.0,808.2,5.0,2.0,607.7,5.0,2.0,731.4,4.0,2.0,1503.0,4.0,2.0,342.4
5.0,4.0,126.2,5.0,4.0,814.3,5.0,4.0,323.9,5.0,3.0,617.0,4.0,3.0,1308.0,4.0,3.0,120.7
5.0,6.0,124.9,5.0,6.0,773.4,5.0,6.0,440.4,5.0,6.0,384.4,4.0,6.0,820.5,4.0,5.0,240.3
6.0,2.0,40.1,6.0,1.0,520.6,6.0,1.0,61.0,6.0,1.0,84.2,6.0,1.0,800.2,5.0,1.0,398.1
6.0,3.0,10.7,6.0,3.0,698.3,6.0,2.0,237.7,6.0,2.0,227.0,6.0,2.0,1258.0,5.0,2.0,608.8
6.0,4.0,11.5,6.0,4.0,586.7,6.0,4.0,82.2,6.0,3.0,101.7,6.0,3.0,1016.0,5.0,3.0,448.4
6.0,5.0,45.8,6.0,5.0,784.7,6.0,5.0,216.6,6.0,5.0,199.2,6.0,4.0,942.6,5.0,4.0,342.1
