1,鈴木 成美,鈴木 成美.1,2,貫地谷　直人,貫地谷　直人.1,3,渡邊　伸太郎,渡邊　伸太郎.1,4,吉田 俊彦,吉田 俊彦.1,5,山崎 哲司,山崎 哲司.1,6,木下 陽介,木下 陽介.1
2.0,3.0,86.3,1.0,3.0,261.6,1.0,2.0,202.6,1.0,2.0,61.6,1.0,2.0,114.1,1.0,2.0,1415.0
2.0,4.0,59.0,1.0,4.0,176.8,1.0,4.0,77.6,1.0,3.0,52.5,1.0,3.0,64.0,1.0,3.0,1315.0
2.0,5.0,78.8,1.0,5.0,232.5,1.0,5.0,71.2,1.0,5.0,19.3,1.0,4.0,38.4,1.0,4.0,969.9
2.0,6.0,267.7,1.0,6.0,450.7,1.0,6.0,285.2,1.0,6.0,51.7,1.0,6.0,87.0,1.0,5.0,881.7
3.0,2.0,84.1,3.0,1.0,397.3,2.0,1.0,371.4,2.0,1.0,107.2,2.0,1.0,227.1,2.0,1.0,1870.0
3.0,4.0,33.8,3.0,4.0,268.8,2.0,4.0,221.7,2.0,3.0,144.2,2.0,3.0,218.7,2.0,3.0,2219.0
3.0,5.0,34.8,3.0,5.0,372.5,2.0,5.0,246.3,2.0,5.0,62.4,2.0,4.0,131.6,2.0,4.0,1322.0
3.0,6.0,156.7,3.0,6.0,820.9,2.0,6.0,685.5,2.0,6.0,131.9,2.0,6.0,274.2,2.0,5.0,1587.0
4.0,2.0,46.8,4.0,1.0,203.0,4.0,1.0,91.4,3.0,1.0,76.7,3.0,1.0,99.3,3.0,1.0,1769.0
4.0,3.0,30.7,4.0,3.0,216.0,4.0,2.0,157.8,3.0,2.0,136.6,3.0,2.0,159.8,3.0,2.0,2078.0
4.0,5.0,19.8,4.0,5.0,147.9,4.0,5.0,48.2,3.0,5.0,37.5,3.0,4.0,46.8,3.0,4.0,1252.0
4.0,6.0,64.0,4.0,6.0,356.7,4.0,6.0,151.4,3.0,6.0,100.5,3.0,6.0,115.1,3.0,5.0,1356.0
5.0,2.0,69.2,5.0,1.0,406.6,5.0,1.0,108.0,5.0,1.0,14.0,4.0,1.0,31.3,4.0,1.0,678.4
5.0,3.0,40.6,5.0,3.0,385.6,5.0,2.0,171.9,5.0,2.0,30.9,4.0,2.0,54.2,4.0,2.0,1022.0
5.0,4.0,27.1,5.0,4.0,209.5,5.0,4.0,57.3,5.0,3.0,19.5,4.0,3.0,32.2,4.0,3.0,977.1
5.0,6.0,82.6,5.0,6.0,490.4,5.0,6.0,166.5,5.0,6.0,11.1,4.0,6.0,28.5,4.0,5.0,278.0
6.0,2.0,535.5,6.0,1.0,995.7,6.0,1.0,709.6,6.0,1.0,90.3,6.0,1.0,141.4,5.0,1.0,750.3
6.0,3.0,496.9,6.0,3.0,1229.0,6.0,2.0,966.3,6.0,2.0,138.0,6.0,2.0,211.3,5.0,2.0,1086.0
6.0,4.0,244.7,6.0,4.0,834.0,6.0,4.0,481.3,6.0,3.0,138.5,6.0,3.0,167.0,5.0,3.0,915.6
6.0,5.0,255.4,6.0,5.0,935.2,6.0,5.0,461.8,6.0,5.0,44.1,6.0,4.0,76.1,5.0,4.0,298.2
