1,大場 敏,大場 敏.1,2,牧山 敦也,牧山 敦也.1,3,大谷 直弘,大谷 直弘.1,4,村上 彰一,村上 彰一.1,5,梅木 敬太,梅木 敬太.1,6,畑田 希咲,畑田 希咲.1
2.0,3.0,7.1,1.0,3.0,50.8,1.0,2.0,34.5,1.0,2.0,123.6,1.0,2.0,147.2,1.0,2.0,1585.0
2.0,4.0,13.0,1.0,4.0,86.3,1.0,4.0,31.7,1.0,3.0,85.1,1.0,3.0,92.0,1.0,3.0,3054.0
2.0,5.0,22.5,1.0,5.0,145.2,1.0,5.0,40.5,1.0,5.0,118.1,1.0,4.0,119.6,1.0,4.0,2774.0
2.0,6.0,254.5,1.0,6.0,660.7,1.0,6.0,374.1,1.0,6.0,727.0,1.0,6.0,509.9,1.0,5.0,3872.0
3.0,2.0,5.7,3.0,1.0,97.2,2.0,1.0,86.6,2.0,1.0,281.0,2.0,1.0,308.3,2.0,1.0,2541.0
3.0,4.0,5.4,3.0,4.0,245.9,2.0,4.0,240.7,2.0,3.0,503.0,2.0,3.0,539.6,2.0,3.0,3580.0
3.0,5.0,10.1,3.0,5.0,359.6,2.0,5.0,268.9,2.0,5.0,591.4,2.0,4.0,655.5,2.0,4.0,4111.0
3.0,6.0,170.6,3.0,6.0,1228.0,2.0,6.0,1081.0,2.0,6.0,1743.0,2.0,6.0,1698.0,2.0,5.0,3964.0
4.0,2.0,19.4,4.0,1.0,248.6,4.0,1.0,116.4,3.0,1.0,210.0,3.0,1.0,199.7,3.0,1.0,3432.0
4.0,3.0,12.7,4.0,3.0,418.8,4.0,2.0,252.0,3.0,2.0,523.5,3.0,2.0,480.5,3.0,2.0,3542.0
4.0,5.0,26.6,4.0,5.0,616.6,4.0,5.0,208.9,3.0,5.0,459.3,3.0,4.0,422.5,3.0,4.0,3964.0
4.0,6.0,261.1,4.0,6.0,1342.0,4.0,6.0,1215.0,3.0,6.0,2190.0,3.0,6.0,1168.0,3.0,5.0,5370.0
5.0,2.0,38.7,5.0,1.0,396.8,5.0,1.0,148.6,5.0,1.0,169.0,4.0,1.0,192.3,4.0,1.0,4060.0
5.0,3.0,24.9,5.0,3.0,667.3,5.0,2.0,316.5,5.0,2.0,370.8,4.0,2.0,494.7,4.0,2.0,4826.0
5.0,4.0,39.4,5.0,4.0,912.3,5.0,4.0,325.1,5.0,3.0,341.8,4.0,3.0,351.6,4.0,3.0,4757.0
5.0,6.0,407.5,5.0,6.0,1690.0,5.0,6.0,1172.0,5.0,6.0,914.8,4.0,6.0,1015.0,4.0,5.0,4624.0
6.0,2.0,739.9,6.0,1.0,2068.0,6.0,1.0,1809.0,6.0,1.0,2190.0,6.0,1.0,1410.0,5.0,1.0,4561.0
6.0,3.0,699.5,6.0,3.0,3141.0,6.0,2.0,2413.0,6.0,2.0,2870.0,6.0,2.0,2430.0,5.0,2.0,4162.0
6.0,4.0,781.6,6.0,4.0,2946.0,6.0,4.0,3027.0,6.0,3.0,2973.0,6.0,3.0,2503.0,5.0,3.0,5122.0
6.0,5.0,982.2,6.0,5.0,3264.0,6.0,5.0,2466.0,6.0,5.0,2622.0,6.0,4.0,2448.0,5.0,4.0,4060.0
