1,長畑 友輔,長畑 友輔.1,2,森 智也,森 智也.1,3,佐藤 旭,佐藤 旭.1,4,森安 弘雅,森安 弘雅.1,5,松尾 祭,松尾 祭.1,6,伊藤 誠二,伊藤 誠二.1
2.0,3.0,8.2,1.0,3.0,22.9,1.0,2.0,48.2,1.0,2.0,151.0,1.0,2.0,255.3,1.0,2.0,444.7
2.0,4.0,12.6,1.0,4.0,29.4,1.0,4.0,64.5,1.0,3.0,141.3,1.0,3.0,222.1,1.0,3.0,376.8
2.0,5.0,27.3,1.0,5.0,56.1,1.0,5.0,73.0,1.0,5.0,181.5,1.0,4.0,347.3,1.0,4.0,579.8
2.0,6.0,23.0,1.0,6.0,39.2,1.0,6.0,73.2,1.0,6.0,148.3,1.0,6.0,239.1,1.0,5.0,569.9
3.0,2.0,11.5,3.0,1.0,51.9,2.0,1.0,68.8,2.0,1.0,197.3,2.0,1.0,468.9,2.0,1.0,528.9
3.0,4.0,16.7,3.0,4.0,70.4,2.0,4.0,80.4,2.0,3.0,224.0,2.0,3.0,361.9,2.0,3.0,433.8
3.0,5.0,24.1,3.0,5.0,102.2,2.0,5.0,114.6,2.0,5.0,277.6,2.0,4.0,480.1,2.0,4.0,506.7
3.0,6.0,28.0,3.0,6.0,79.0,2.0,6.0,75.4,2.0,6.0,210.4,2.0,6.0,359.8,2.0,5.0,599.4
4.0,2.0,28.3,4.0,1.0,82.8,4.0,1.0,103.3,3.0,1.0,205.3,3.0,1.0,310.8,3.0,1.0,610.3
4.0,3.0,31.5,4.0,3.0,108.5,4.0,2.0,133.1,3.0,2.0,255.5,3.0,2.0,357.2,3.0,2.0,480.8
4.0,5.0,59.9,4.0,5.0,179.6,4.0,5.0,145.3,3.0,5.0,322.4,3.0,4.0,483.9,3.0,4.0,606.6
4.0,6.0,52.0,4.0,6.0,113.0,4.0,6.0,117.4,3.0,6.0,233.1,3.0,6.0,248.1,3.0,5.0,411.9
5.0,2.0,72.6,5.0,1.0,188.8,5.0,1.0,125.7,5.0,1.0,197.4,4.0,1.0,457.5,4.0,1.0,765.2
5.0,3.0,67.0,5.0,3.0,194.2,5.0,2.0,170.9,5.0,2.0,245.5,4.0,2.0,426.4,4.0,2.0,569.9
5.0,4.0,133.3,5.0,4.0,275.3,5.0,4.0,218.1,5.0,3.0,283.9,4.0,3.0,535.5,4.0,3.0,647.0
5.0,6.0,98.1,5.0,6.0,193.0,5.0,6.0,111.9,5.0,6.0,147.5,4.0,6.0,308.6,4.0,5.0,564.6
6.0,2.0,78.0,6.0,1.0,145.3,6.0,1.0,145.6,6.0,1.0,238.7,6.0,1.0,346.9,5.0,1.0,717.8
6.0,3.0,91.5,6.0,3.0,171.5,6.0,2.0,136.5,6.0,2.0,237.0,6.0,2.0,362.8,5.0,2.0,621.6
6.0,4.0,135.8,6.0,4.0,196.6,6.0,4.0,158.1,6.0,3.0,279.1,6.0,3.0,316.0,5.0,3.0,500.8
6.0,5.0,142.1,6.0,5.0,250.6,6.0,5.0,177.0,6.0,5.0,230.5,6.0,4.0,392.0,5.0,4.0,576.5
