1,瓜生 正義,瓜生 正義.1,2,尾嶋 一広,尾嶋 一広.1,3,末永 和也,末永 和也.1,4,柳生 泰二,柳生 泰二.1,5,井上 一輝,井上 一輝.1,6,三浦 永理,三浦 永理.1
2.0,3.0,11.4,1.0,3.0,143.8,1.0,2.0,60.5,1.0,2.0,198.3,1.0,2.0,103.9,1.0,2.0,1633.0
2.0,4.0,17.7,1.0,4.0,182.0,1.0,4.0,27.5,1.0,3.0,141.2,1.0,3.0,56.7,1.0,3.0,1139.0
2.0,5.0,21.4,1.0,5.0,171.8,1.0,5.0,22.9,1.0,5.0,103.6,1.0,4.0,82.1,1.0,4.0,1732.0
2.0,6.0,52.9,1.0,6.0,364.4,1.0,6.0,72.8,1.0,6.0,193.1,1.0,6.0,107.4,1.0,5.0,1689.0
3.0,2.0,11.1,3.0,1.0,316.2,2.0,1.0,205.7,2.0,1.0,423.6,2.0,1.0,267.6,2.0,1.0,2398.0
3.0,4.0,7.8,3.0,4.0,603.3,2.0,4.0,423.4,2.0,3.0,807.9,2.0,3.0,504.3,2.0,3.0,2969.0
3.0,5.0,7.6,3.0,5.0,578.3,2.0,5.0,367.0,2.0,5.0,536.3,2.0,4.0,735.2,2.0,4.0,3062.0
3.0,6.0,32.2,3.0,6.0,1128.0,2.0,6.0,697.1,2.0,6.0,768.1,2.0,6.0,605.9,2.0,5.0,3728.0
4.0,2.0,23.3,4.0,1.0,473.7,4.0,1.0,89.8,3.0,1.0,247.6,3.0,1.0,111.1,3.0,1.0,1423.0
4.0,3.0,15.9,4.0,3.0,944.8,4.0,2.0,314.5,3.0,2.0,762.1,3.0,2.0,373.8,3.0,2.0,3748.0
4.0,5.0,22.3,4.0,5.0,955.3,4.0,5.0,134.7,3.0,5.0,303.9,3.0,4.0,243.0,3.0,4.0,3076.0
4.0,6.0,57.0,4.0,6.0,1211.0,4.0,6.0,322.3,3.0,6.0,482.7,3.0,6.0,306.2,3.0,5.0,3021.0
5.0,2.0,29.2,5.0,1.0,496.7,5.0,1.0,68.2,5.0,1.0,128.0,4.0,1.0,144.8,4.0,1.0,2123.0
5.0,3.0,15.3,5.0,3.0,846.8,5.0,2.0,245.6,5.0,2.0,271.2,4.0,2.0,349.9,4.0,2.0,3517.0
5.0,4.0,29.9,5.0,4.0,1037.0,5.0,4.0,141.5,5.0,3.0,250.0,4.0,3.0,275.0,4.0,3.0,3175.0
5.0,6.0,56.9,5.0,6.0,1329.0,5.0,6.0,250.8,5.0,6.0,193.4,4.0,6.0,219.0,4.0,5.0,2743.0
6.0,2.0,204.5,6.0,1.0,1405.0,6.0,1.0,461.2,6.0,1.0,403.7,6.0,1.0,318.4,5.0,1.0,2110.0
6.0,3.0,143.8,6.0,3.0,2219.0,6.0,2.0,1240.0,6.0,2.0,618.5,6.0,2.0,775.0,5.0,2.0,3629.0
6.0,4.0,196.9,6.0,4.0,2398.0,6.0,4.0,1010.0,6.0,3.0,580.3,6.0,3.0,565.9,5.0,3.0,2944.0
6.0,5.0,194.5,6.0,5.0,2241.0,6.0,5.0,893.1,6.0,5.0,548.3,6.0,4.0,625.8,5.0,4.0,2449.0
