1,多田 有佑,多田 有佑.1,2,桂林 寛,桂林 寛.1,3,黒井 達矢,黒井 達矢.1,4,三原 司,三原 司.1,5,中越 博紀,中越 博紀.1,6,岡村 慶太,岡村 慶太.1
2.0,3.0,37.4,1.0,3.0,51.3,1.0,2.0,48.4,1.0,2.0,259.9,1.0,2.0,333.4,1.0,2.0,182.3
2.0,4.0,68.9,1.0,4.0,109.8,1.0,4.0,48.7,1.0,3.0,207.0,1.0,3.0,177.3,1.0,3.0,118.2
2.0,5.0,74.2,1.0,5.0,109.5,1.0,5.0,28.4,1.0,5.0,238.8,1.0,4.0,409.7,1.0,4.0,286.2
2.0,6.0,49.0,1.0,6.0,58.8,1.0,6.0,20.2,1.0,6.0,187.6,1.0,6.0,191.0,1.0,5.0,192.9
3.0,2.0,29.2,3.0,1.0,70.5,2.0,1.0,71.7,2.0,1.0,452.6,2.0,1.0,581.0,2.0,1.0,233.1
3.0,4.0,34.0,3.0,4.0,94.6,2.0,4.0,77.8,2.0,3.0,299.4,2.0,3.0,287.8,2.0,3.0,145.6
3.0,5.0,23.6,3.0,5.0,72.8,2.0,5.0,61.6,2.0,5.0,367.2,2.0,4.0,640.8,2.0,4.0,362.9
3.0,6.0,17.6,3.0,6.0,40.8,2.0,6.0,30.0,2.0,6.0,261.2,2.0,6.0,313.3,2.0,5.0,276.1
4.0,2.0,102.6,4.0,1.0,225.3,4.0,1.0,89.2,3.0,1.0,276.5,3.0,1.0,184.7,3.0,1.0,106.1
4.0,3.0,70.9,4.0,3.0,178.5,4.0,2.0,118.1,3.0,2.0,254.8,3.0,2.0,242.9,3.0,2.0,116.0
4.0,5.0,118.7,4.0,5.0,232.4,4.0,5.0,65.8,3.0,5.0,191.5,3.0,4.0,382.6,3.0,4.0,137.9
4.0,6.0,84.6,4.0,6.0,152.5,4.0,6.0,36.4,3.0,6.0,117.5,3.0,6.0,93.0,3.0,5.0,77.1
5.0,2.0,131.0,5.0,1.0,314.5,5.0,1.0,54.9,5.0,1.0,329.2,4.0,1.0,492.7,4.0,1.0,407.6
5.0,3.0,69.5,5.0,3.0,162.0,5.0,2.0,83.2,5.0,2.0,392.2,4.0,2.0,643.4,4.0,2.0,388.3
5.0,4.0,167.6,5.0,4.0,340.7,5.0,4.0,103.4,5.0,3.0,235.9,4.0,3.0,474.7,4.0,3.0,203.0
5.0,6.0,74.5,5.0,6.0,172.6,5.0,6.0,22.5,5.0,6.0,174.3,4.0,6.0,324.4,4.0,5.0,329.2
6.0,2.0,81.2,6.0,1.0,136.7,6.0,1.0,31.2,6.0,1.0,238.4,6.0,1.0,163.0,5.0,1.0,257.8
6.0,3.0,36.3,6.0,3.0,81.7,6.0,2.0,41.5,6.0,2.0,260.4,6.0,2.0,280.0,5.0,2.0,302.3
6.0,4.0,112.0,6.0,4.0,159.0,6.0,4.0,42.7,6.0,3.0,139.9,6.0,3.0,90.9,5.0,3.0,107.8
6.0,5.0,71.1,6.0,5.0,148.8,6.0,5.0,20.1,6.0,5.0,172.6,6.0,4.0,332.7,5.0,4.0,346.0
