1,榮田 将彦,榮田 将彦.1,2,廣中 良一,廣中 良一.1,3,檀 将太,檀 将太.1,4,松本 弓雄,松本 弓雄.1,5,宮地 元輝,宮地 元輝.1,6,丸岡 正典,丸岡 正典.1
2.0,3.0,72.0,1.0,3.0,157.5,1.0,2.0,418.7,1.0,2.0,204.8,1.0,2.0,53.3,1.0,2.0,279.4
2.0,4.0,50.3,1.0,4.0,115.1,1.0,4.0,532.5,1.0,3.0,455.2,1.0,3.0,147.3,1.0,3.0,488.3
2.0,5.0,26.8,1.0,5.0,70.4,1.0,5.0,294.6,1.0,5.0,70.7,1.0,4.0,34.3,1.0,4.0,232.8
2.0,6.0,39.2,1.0,6.0,96.7,1.0,6.0,459.7,1.0,6.0,105.3,1.0,6.0,21.1,1.0,5.0,93.4
3.0,2.0,105.9,3.0,1.0,360.9,2.0,1.0,468.8,2.0,1.0,299.6,2.0,1.0,112.2,2.0,1.0,431.6
3.0,4.0,113.1,3.0,4.0,423.8,2.0,4.0,578.4,2.0,3.0,784.0,2.0,3.0,270.3,2.0,3.0,973.3
3.0,5.0,60.9,3.0,5.0,336.0,2.0,5.0,520.7,2.0,5.0,146.5,2.0,4.0,108.3,2.0,4.0,502.2
3.0,6.0,100.0,3.0,6.0,431.6,2.0,6.0,569.0,2.0,6.0,194.1,2.0,6.0,57.2,2.0,5.0,207.8
4.0,2.0,62.0,4.0,1.0,198.5,4.0,1.0,695.2,3.0,1.0,876.6,3.0,1.0,300.9,3.0,1.0,1022.0
4.0,3.0,112.7,4.0,3.0,396.4,4.0,2.0,871.1,3.0,2.0,1015.0,3.0,2.0,297.1,3.0,2.0,1227.0
4.0,5.0,25.5,4.0,5.0,103.0,4.0,5.0,613.6,3.0,5.0,616.3,3.0,4.0,430.2,3.0,4.0,1061.0
4.0,6.0,36.8,4.0,6.0,138.9,4.0,6.0,698.6,3.0,6.0,662.5,3.0,6.0,168.8,3.0,5.0,605.7
5.0,2.0,25.3,5.0,1.0,88.0,5.0,1.0,336.8,5.0,1.0,50.8,4.0,1.0,42.0,4.0,1.0,262.3
5.0,3.0,53.0,5.0,3.0,242.9,5.0,2.0,524.6,5.0,2.0,81.1,4.0,2.0,79.8,4.0,2.0,406.7
5.0,4.0,22.3,5.0,4.0,88.4,5.0,4.0,573.7,5.0,3.0,281.7,4.0,3.0,275.1,4.0,3.0,1030.0
5.0,6.0,12.8,5.0,6.0,58.7,5.0,6.0,268.8,5.0,6.0,22.0,4.0,6.0,16.5,4.0,5.0,82.0
6.0,2.0,71.1,6.0,1.0,175.3,6.0,1.0,635.7,6.0,1.0,127.2,6.0,1.0,21.4,5.0,1.0,71.0
6.0,3.0,147.1,6.0,3.0,409.0,6.0,2.0,788.4,6.0,2.0,172.5,6.0,2.0,41.9,5.0,2.0,123.5
6.0,4.0,58.2,6.0,4.0,167.8,6.0,4.0,830.1,6.0,3.0,411.4,6.0,3.0,114.5,5.0,3.0,277.2
6.0,5.0,25.8,6.0,5.0,99.4,6.0,5.0,389.8,6.0,5.0,49.2,6.0,4.0,16.9,5.0,4.0,61.3
