1,清水 愛海,清水 愛海.1,2,赤井 睦,赤井 睦.1,3,廣中　智紗衣,廣中　智紗衣.1,4,實森 美祐,實森 美祐.1,5,福島 陽子,福島 陽子.1,6,金田 幸子,金田 幸子.1
2.0,3.0,14.7,1.0,3.0,53.4,1.0,2.0,40.0,1.0,2.0,85.7,1.0,2.0,1493.0,1.0,2.0,694.3
2.0,4.0,21.3,1.0,4.0,69.2,1.0,4.0,15.8,1.0,3.0,36.7,1.0,3.0,1144.0,1.0,3.0,319.9
2.0,5.0,142.8,1.0,5.0,326.5,1.0,5.0,83.4,1.0,5.0,152.8,1.0,4.0,1493.0,1.0,4.0,477.3
2.0,6.0,54.4,1.0,6.0,140.8,1.0,6.0,28.8,1.0,6.0,63.2,1.0,6.0,1531.0,1.0,5.0,1473.0
3.0,2.0,11.0,3.0,1.0,101.2,2.0,1.0,104.2,2.0,1.0,161.6,2.0,1.0,1991.0,2.0,1.0,983.0
3.0,4.0,5.7,3.0,4.0,132.6,2.0,4.0,119.9,2.0,3.0,174.5,2.0,3.0,2020.0,2.0,3.0,1116.0
3.0,5.0,45.9,3.0,5.0,493.7,2.0,5.0,375.9,2.0,5.0,408.7,2.0,4.0,2313.0,2.0,4.0,1348.0
3.0,6.0,12.8,3.0,6.0,200.3,2.0,6.0,171.8,2.0,6.0,240.1,2.0,6.0,2745.0,2.0,5.0,2678.0
4.0,2.0,23.3,4.0,1.0,140.2,4.0,1.0,27.0,3.0,1.0,51.7,3.0,1.0,1501.0,3.0,1.0,340.6
4.0,3.0,10.2,4.0,3.0,159.1,4.0,2.0,78.9,3.0,2.0,145.5,3.0,2.0,2157.0,3.0,2.0,749.8
4.0,5.0,79.1,4.0,5.0,576.5,4.0,5.0,113.9,3.0,5.0,222.9,3.0,4.0,1518.0,3.0,4.0,336.8
4.0,6.0,22.6,4.0,6.0,250.8,4.0,6.0,36.6,3.0,6.0,77.5,3.0,6.0,2174.0,3.0,5.0,1642.0
5.0,2.0,370.0,5.0,1.0,1037.0,5.0,1.0,350.5,5.0,1.0,267.0,4.0,1.0,1657.0,4.0,1.0,586.4
5.0,3.0,232.7,5.0,3.0,1229.0,5.0,2.0,635.0,5.0,2.0,454.9,4.0,2.0,1948.0,4.0,2.0,1216.0
5.0,4.0,291.6,5.0,4.0,1325.0,5.0,4.0,383.3,5.0,3.0,330.8,4.0,3.0,1376.0,4.0,3.0,420.1
5.0,6.0,320.7,5.0,6.0,1348.0,5.0,6.0,398.5,5.0,6.0,268.4,4.0,6.0,1553.0,4.0,5.0,1800.0
6.0,2.0,140.3,6.0,1.0,519.2,6.0,1.0,83.4,6.0,1.0,123.4,6.0,1.0,2448.0,5.0,1.0,2255.0
6.0,3.0,63.1,6.0,3.0,627.7,6.0,2.0,205.4,6.0,2.0,258.6,6.0,2.0,3003.0,5.0,2.0,3106.0
6.0,4.0,82.7,6.0,4.0,686.4,6.0,4.0,85.8,6.0,3.0,123.6,6.0,3.0,2303.0,5.0,3.0,2405.0
6.0,5.0,324.3,6.0,5.0,1580.0,6.0,5.0,297.8,6.0,5.0,275.1,6.0,4.0,2405.0,5.0,4.0,2246.0
