1,木村 光宏,木村 光宏.1,2,桑原 将光,桑原 将光.1,3,守屋 美穂,守屋 美穂.1,4,坂井 滉哉,坂井 滉哉.1,5,貫地谷　直人,貫地谷　直人.1,6,福田 雅一,福田 雅一.1
2.0,3.0,7.6,1.0,3.0,23.8,1.0,2.0,16.2,1.0,2.0,121.7,1.0,2.0,538.6,1.0,2.0,399.8
2.0,4.0,22.6,1.0,4.0,69.7,1.0,4.0,35.0,1.0,3.0,124.0,1.0,3.0,546.9,1.0,3.0,402.1
2.0,5.0,44.2,1.0,5.0,108.1,1.0,5.0,59.3,1.0,5.0,151.4,1.0,4.0,609.0,1.0,4.0,752.9
2.0,6.0,25.0,1.0,6.0,54.9,1.0,6.0,28.1,1.0,6.0,132.0,1.0,6.0,656.5,1.0,5.0,1123.0
3.0,2.0,7.1,3.0,1.0,33.2,2.0,1.0,26.0,2.0,1.0,195.6,2.0,1.0,824.8,2.0,1.0,547.7
3.0,4.0,15.2,3.0,4.0,75.0,2.0,4.0,58.6,2.0,3.0,206.4,2.0,3.0,741.8,2.0,3.0,447.9
3.0,5.0,32.4,3.0,5.0,97.4,2.0,5.0,122.7,2.0,5.0,284.4,2.0,4.0,1050.0,2.0,4.0,1095.0
3.0,6.0,16.7,3.0,6.0,64.5,2.0,6.0,48.4,2.0,6.0,218.5,2.0,6.0,813.5,2.0,5.0,1653.0
4.0,2.0,45.5,4.0,1.0,185.3,4.0,1.0,89.8,3.0,1.0,191.6,3.0,1.0,776.0,3.0,1.0,435.8
4.0,3.0,39.8,4.0,3.0,151.9,4.0,2.0,80.9,3.0,2.0,237.3,3.0,2.0,791.6,3.0,2.0,416.3
4.0,5.0,95.8,4.0,5.0,395.3,4.0,5.0,169.1,3.0,5.0,351.4,3.0,4.0,1102.0,3.0,4.0,875.9
4.0,6.0,74.4,4.0,6.0,268.9,4.0,6.0,109.2,3.0,6.0,199.9,3.0,6.0,936.1,3.0,5.0,1432.0
5.0,2.0,136.5,5.0,1.0,478.2,5.0,1.0,207.1,5.0,1.0,179.9,4.0,1.0,564.3,4.0,1.0,923.9
5.0,3.0,136.0,5.0,3.0,360.7,5.0,2.0,241.8,5.0,2.0,228.8,4.0,2.0,777.7,4.0,2.0,948.7
5.0,4.0,202.4,5.0,4.0,793.4,5.0,4.0,292.4,5.0,3.0,272.8,4.0,3.0,834.6,4.0,3.0,621.9
5.0,6.0,207.9,5.0,6.0,621.9,5.0,6.0,219.1,5.0,6.0,166.7,4.0,6.0,492.1,4.0,5.0,1109.0
6.0,2.0,72.3,6.0,1.0,261.5,6.0,1.0,91.0,6.0,1.0,153.0,6.0,1.0,977.5,5.0,1.0,1769.0
6.0,3.0,70.0,6.0,3.0,196.5,6.0,2.0,90.9,6.0,2.0,166.8,6.0,2.0,961.6,5.0,2.0,1944.0
6.0,4.0,157.0,6.0,4.0,449.0,6.0,4.0,174.3,6.0,3.0,185.7,6.0,3.0,1013.0,5.0,3.0,1955.0
6.0,5.0,252.9,6.0,5.0,667.6,6.0,5.0,252.4,6.0,5.0,218.4,6.0,4.0,746.5,5.0,4.0,1259.0
