1,高野 哲史,高野 哲史.1,2,角 ひとみ,角 ひとみ.1,3,萩原 知哉,萩原 知哉.1,4,石原 翼,石原 翼.1,5,川原 正明,川原 正明.1,6,日高 逸子,日高 逸子.1
2.0,3.0,21.0,1.0,3.0,281.8,1.0,2.0,136.5,1.0,2.0,78.9,1.0,2.0,192.1,1.0,2.0,681.1
2.0,4.0,16.3,1.0,4.0,213.6,1.0,4.0,64.0,1.0,3.0,72.8,1.0,3.0,133.6,1.0,3.0,723.0
2.0,5.0,38.5,1.0,5.0,413.5,1.0,5.0,79.4,1.0,5.0,50.4,1.0,4.0,113.0,1.0,4.0,367.5
2.0,6.0,42.5,1.0,6.0,407.4,1.0,6.0,129.9,1.0,6.0,57.5,1.0,6.0,116.0,1.0,5.0,547.6
3.0,2.0,17.2,3.0,1.0,562.4,2.0,1.0,349.6,2.0,1.0,223.7,2.0,1.0,568.9,2.0,1.0,996.3
3.0,4.0,7.9,3.0,4.0,882.4,2.0,4.0,525.0,2.0,3.0,395.2,2.0,3.0,1059.0,2.0,3.0,1866.0
3.0,5.0,14.2,3.0,5.0,1243.0,2.0,5.0,662.7,2.0,5.0,416.2,2.0,4.0,893.3,2.0,4.0,1411.0
3.0,6.0,24.7,3.0,6.0,1433.0,2.0,6.0,811.5,2.0,6.0,388.8,2.0,6.0,903.8,2.0,5.0,2051.0
4.0,2.0,12.1,4.0,1.0,425.2,4.0,1.0,116.2,3.0,1.0,166.3,3.0,1.0,308.3,3.0,1.0,1134.0
4.0,3.0,9.1,4.0,3.0,828.9,4.0,2.0,327.8,3.0,2.0,402.1,3.0,2.0,830.8,3.0,2.0,2252.0
4.0,5.0,11.5,4.0,5.0,1156.0,4.0,5.0,196.6,3.0,5.0,276.1,3.0,4.0,478.9,3.0,4.0,1344.0
4.0,6.0,14.5,4.0,6.0,941.6,4.0,6.0,258.7,3.0,6.0,304.5,3.0,6.0,441.9,3.0,5.0,1246.0
5.0,2.0,42.8,5.0,1.0,1045.0,5.0,1.0,182.5,5.0,1.0,88.9,4.0,1.0,184.6,4.0,1.0,481.7
5.0,3.0,27.2,5.0,3.0,1505.0,5.0,2.0,486.4,5.0,2.0,278.9,4.0,2.0,549.5,4.0,2.0,1449.0
5.0,4.0,25.8,5.0,4.0,1476.0,5.0,4.0,278.1,5.0,3.0,249.9,4.0,3.0,409.0,4.0,3.0,1316.0
5.0,6.0,36.9,5.0,6.0,1528.0,5.0,6.0,297.0,5.0,6.0,122.3,4.0,6.0,235.1,4.0,5.0,793.6
6.0,2.0,77.1,6.0,1.0,928.6,6.0,1.0,418.8,6.0,1.0,152.3,6.0,1.0,276.3,5.0,1.0,644.5
6.0,3.0,71.6,6.0,3.0,1810.0,6.0,2.0,1014.0,6.0,2.0,399.6,6.0,2.0,631.0,5.0,2.0,1575.0
6.0,4.0,46.2,6.0,4.0,1336.0,6.0,4.0,607.2,6.0,3.0,396.8,6.0,3.0,468.3,5.0,3.0,989.0
6.0,5.0,75.3,6.0,5.0,1886.0,6.0,5.0,538.6,6.0,5.0,221.3,6.0,4.0,363.9,5.0,4.0,721.6
