1,中谷 朋子,中谷 朋子.1,2,平川 香織,平川 香織.1,3,川野 芽唯,川野 芽唯.1,4,清水 愛海,清水 愛海.1,5,鈴木 成美,鈴木 成美.1,6,原 加央理,原 加央理.1
2.0,3.0,10.6,1.0,3.0,48.7,1.0,2.0,41.3,1.0,2.0,51.9,1.0,2.0,234.8,1.0,2.0,890.7
2.0,4.0,12.6,1.0,4.0,65.5,1.0,4.0,34.1,1.0,3.0,45.6,1.0,3.0,239.6,1.0,3.0,839.2
2.0,5.0,32.9,1.0,5.0,152.8,1.0,5.0,80.0,1.0,5.0,48.7,1.0,4.0,190.0,1.0,4.0,833.8
2.0,6.0,60.9,1.0,6.0,218.9,1.0,6.0,108.1,1.0,6.0,68.5,1.0,6.0,263.2,1.0,5.0,1044.0
3.0,2.0,9.5,3.0,1.0,94.3,2.0,1.0,89.7,2.0,1.0,112.8,2.0,1.0,454.8,2.0,1.0,1335.0
3.0,4.0,7.9,3.0,4.0,151.9,2.0,4.0,127.9,2.0,3.0,164.7,2.0,3.0,679.6,2.0,3.0,1967.0
3.0,5.0,23.8,3.0,5.0,341.2,2.0,5.0,293.2,2.0,5.0,186.3,2.0,4.0,560.5,2.0,4.0,1818.0
3.0,6.0,38.8,3.0,6.0,434.1,2.0,6.0,361.9,2.0,6.0,255.4,2.0,6.0,785.2,2.0,5.0,2137.0
4.0,2.0,15.0,4.0,1.0,136.3,4.0,1.0,59.5,3.0,1.0,77.2,3.0,1.0,423.1,3.0,1.0,1169.0
4.0,3.0,12.9,4.0,3.0,177.8,4.0,2.0,108.0,3.0,2.0,152.7,3.0,2.0,783.8,3.0,2.0,1833.0
4.0,5.0,25.9,4.0,5.0,354.4,4.0,5.0,123.3,3.0,5.0,159.1,3.0,4.0,664.3,3.0,4.0,1301.0
4.0,6.0,38.3,4.0,6.0,432.3,4.0,6.0,141.3,3.0,6.0,160.0,3.0,6.0,906.6,3.0,5.0,2006.0
5.0,2.0,72.5,5.0,1.0,471.7,5.0,1.0,245.8,5.0,1.0,64.3,4.0,1.0,172.3,4.0,1.0,766.7
5.0,3.0,67.6,5.0,3.0,712.4,5.0,2.0,458.5,5.0,2.0,121.5,4.0,2.0,288.7,4.0,2.0,1282.0
5.0,4.0,62.7,5.0,4.0,707.4,5.0,4.0,315.8,5.0,3.0,149.9,4.0,3.0,366.1,4.0,3.0,1169.0
5.0,6.0,113.9,5.0,6.0,985.7,5.0,6.0,463.1,5.0,6.0,75.7,4.0,6.0,189.9,4.0,5.0,572.4
6.0,2.0,173.9,6.0,1.0,856.5,6.0,1.0,439.7,6.0,1.0,143.5,6.0,1.0,452.6,5.0,1.0,1063.0
6.0,3.0,149.8,6.0,3.0,1171.0,6.0,2.0,786.5,6.0,2.0,247.0,6.0,2.0,665.7,5.0,2.0,1461.0
6.0,4.0,136.6,6.0,4.0,1098.0,6.0,4.0,453.3,6.0,3.0,273.5,6.0,3.0,755.3,5.0,3.0,1558.0
6.0,5.0,192.2,6.0,5.0,1375.0,6.0,5.0,694.5,6.0,5.0,137.9,6.0,4.0,354.4,5.0,4.0,605.0
