1,黒野 元基,黒野 元基.1,2,出畑 孝典,出畑 孝典.1,3,中渡 修作,中渡 修作.1,4,奥田 誠,奥田 誠.1,5,渡邊 哲也,渡邊 哲也.1,6,安河内 将,安河内 将.1
2.0,3.0,19.0,1.0,3.0,55.1,1.0,2.0,241.9,1.0,2.0,334.9,1.0,2.0,1697.0,1.0,2.0,10.0
2.0,4.0,33.5,1.0,4.0,77.0,1.0,4.0,395.9,1.0,3.0,617.8,1.0,3.0,2139.0,1.0,3.0,32.5
2.0,5.0,107.8,1.0,5.0,249.0,1.0,5.0,842.9,1.0,5.0,678.8,1.0,4.0,1708.0,1.0,4.0,27.9
2.0,6.0,6.0,1.0,6.0,15.6,1.0,6.0,188.8,1.0,6.0,244.3,1.0,6.0,1325.0,1.0,5.0,94.0
3.0,2.0,36.9,3.0,1.0,167.3,2.0,1.0,330.1,2.0,1.0,476.7,2.0,1.0,2401.0,2.0,1.0,17.6
3.0,4.0,72.8,3.0,4.0,384.5,2.0,4.0,902.7,2.0,3.0,1298.0,2.0,3.0,3535.0,2.0,3.0,53.4
3.0,5.0,204.4,3.0,5.0,757.6,2.0,5.0,1697.0,2.0,5.0,1743.0,2.0,4.0,3104.0,2.0,4.0,48.1
3.0,6.0,29.7,3.0,6.0,146.8,2.0,6.0,322.2,2.0,6.0,446.6,2.0,6.0,1767.0,2.0,5.0,159.0
4.0,2.0,72.0,4.0,1.0,238.5,4.0,1.0,912.4,3.0,1.0,905.9,3.0,1.0,1899.0,3.0,1.0,101.5
4.0,3.0,121.9,4.0,3.0,413.9,4.0,2.0,1116.0,3.0,2.0,1506.0,3.0,2.0,2926.0,3.0,2.0,119.1
4.0,5.0,264.3,4.0,5.0,915.7,4.0,5.0,2157.0,3.0,5.0,2624.0,3.0,4.0,3916.0,3.0,4.0,231.0
4.0,6.0,56.7,4.0,6.0,229.3,4.0,6.0,1151.0,3.0,6.0,1167.0,3.0,6.0,2495.0,3.0,5.0,421.4
5.0,2.0,411.2,5.0,1.0,939.3,5.0,1.0,1818.0,5.0,1.0,1074.0,4.0,1.0,1653.0,4.0,1.0,51.0
5.0,3.0,448.1,5.0,3.0,1223.0,5.0,2.0,2213.0,5.0,2.0,1805.0,4.0,2.0,3487.0,4.0,2.0,61.4
5.0,4.0,619.3,5.0,4.0,1430.0,5.0,4.0,2860.0,5.0,3.0,2213.0,4.0,3.0,3977.0,4.0,3.0,170.0
5.0,6.0,327.2,5.0,6.0,1018.0,5.0,6.0,1973.0,5.0,6.0,1247.0,4.0,6.0,2103.0,4.0,5.0,146.3
6.0,2.0,5.5,6.0,1.0,23.3,6.0,1.0,221.9,6.0,1.0,252.5,6.0,1.0,1146.0,5.0,1.0,253.8
6.0,3.0,15.7,6.0,3.0,73.1,6.0,2.0,252.2,6.0,2.0,377.6,6.0,2.0,1743.0,5.0,2.0,341.7
6.0,4.0,22.2,6.0,4.0,90.4,6.0,4.0,746.5,6.0,3.0,922.3,6.0,3.0,2471.0,5.0,3.0,537.0
6.0,5.0,92.7,6.0,5.0,287.3,6.0,5.0,1121.0,6.0,5.0,883.9,6.0,4.0,2272.0,5.0,4.0,290.6
