1,富永 修一,富永 修一.1,2,川添 英正,川添 英正.1,3,下河 雅史,下河 雅史.1,4,谷村 啓司,谷村 啓司.1,5,野相 弘司,野相 弘司.1,6,安河内鈴之介,安河内鈴之介.1
2.0,3.0,5.9,1.0,3.0,37.0,1.0,2.0,29.4,1.0,2.0,82.3,1.0,2.0,311.2,1.0,2.0,371.6
2.0,4.0,12.2,1.0,4.0,51.0,1.0,4.0,33.3,1.0,3.0,83.4,1.0,3.0,260.8,1.0,3.0,463.8
2.0,5.0,24.8,1.0,5.0,94.6,1.0,5.0,44.8,1.0,5.0,120.6,1.0,4.0,358.2,1.0,4.0,546.2
2.0,6.0,39.2,1.0,6.0,131.6,1.0,6.0,97.5,1.0,6.0,150.1,1.0,6.0,573.2,1.0,5.0,884.3
3.0,2.0,6.4,3.0,1.0,88.0,2.0,1.0,73.0,2.0,1.0,175.0,2.0,1.0,656.7,2.0,1.0,584.8
3.0,4.0,9.6,3.0,4.0,173.5,2.0,4.0,134.0,2.0,3.0,296.0,2.0,3.0,831.7,2.0,3.0,840.3
3.0,5.0,16.3,3.0,5.0,272.2,2.0,5.0,170.1,2.0,5.0,352.3,2.0,4.0,1109.0,2.0,4.0,803.7
3.0,6.0,34.5,3.0,6.0,372.0,2.0,6.0,282.6,2.0,6.0,382.1,2.0,6.0,1300.0,2.0,5.0,1211.0
4.0,2.0,20.0,4.0,1.0,152.5,4.0,1.0,71.1,3.0,1.0,147.4,3.0,1.0,369.6,3.0,1.0,704.6
4.0,3.0,19.5,4.0,3.0,251.6,4.0,2.0,134.2,3.0,2.0,272.2,3.0,2.0,835.1,3.0,2.0,886.2
4.0,5.0,42.3,4.0,5.0,417.5,4.0,5.0,125.5,3.0,5.0,263.7,3.0,4.0,916.2,3.0,4.0,1159.0
4.0,6.0,54.5,4.0,6.0,406.3,4.0,6.0,243.6,3.0,6.0,394.0,3.0,6.0,1520.0,3.0,5.0,1481.0
5.0,2.0,64.6,5.0,1.0,422.3,5.0,1.0,134.6,5.0,1.0,208.4,4.0,1.0,577.3,4.0,1.0,811.7
5.0,3.0,55.8,5.0,3.0,569.2,5.0,2.0,225.9,5.0,2.0,333.5,4.0,2.0,1030.0,4.0,2.0,1208.0
5.0,4.0,89.5,5.0,4.0,614.9,5.0,4.0,218.8,5.0,3.0,326.0,4.0,3.0,869.1,4.0,3.0,1330.0
5.0,6.0,137.7,5.0,6.0,833.4,5.0,6.0,390.6,5.0,6.0,347.5,4.0,6.0,1115.0,4.0,5.0,1772.0
6.0,2.0,106.3,6.0,1.0,475.2,6.0,1.0,352.0,6.0,1.0,337.9,6.0,1.0,1419.0,5.0,1.0,1146.0
6.0,3.0,114.2,6.0,3.0,726.1,6.0,2.0,550.7,6.0,2.0,508.0,6.0,2.0,1870.0,5.0,2.0,1549.0
6.0,4.0,155.9,6.0,4.0,797.4,6.0,4.0,654.6,6.0,3.0,567.6,6.0,3.0,1828.0,5.0,3.0,2114.0
6.0,5.0,251.1,6.0,5.0,803.7,6.0,5.0,704.6,6.0,5.0,571.6,6.0,4.0,1757.0,5.0,4.0,2601.0
