1,丸尾 義孝,丸尾 義孝.1,2,吉田 翔悟,吉田 翔悟.1,3,山田 佑樹,山田 佑樹.1,4,小林 遼太,小林 遼太.1,5,堀本 裕也,堀本 裕也.1,6,天野 友和,天野 友和.1
2.0,3.0,9.0,1.0,3.0,79.1,1.0,2.0,94.3,1.0,2.0,131.3,1.0,2.0,413.5,1.0,2.0,154.1
2.0,4.0,10.3,1.0,4.0,77.6,1.0,4.0,77.0,1.0,3.0,169.8,1.0,3.0,571.6,1.0,3.0,136.3
2.0,5.0,41.3,1.0,5.0,175.1,1.0,5.0,145.1,1.0,5.0,175.2,1.0,4.0,497.7,1.0,4.0,170.3
2.0,6.0,10.5,1.0,6.0,69.3,1.0,6.0,65.5,1.0,6.0,83.3,1.0,6.0,266.3,1.0,5.0,270.7
3.0,2.0,10.4,3.0,1.0,203.2,2.0,1.0,205.6,2.0,1.0,304.4,2.0,1.0,1044.0,2.0,1.0,350.9
3.0,4.0,13.7,3.0,4.0,381.8,2.0,4.0,262.8,2.0,3.0,451.7,2.0,3.0,1683.0,2.0,3.0,535.8
3.0,5.0,39.5,3.0,5.0,644.5,2.0,5.0,384.6,2.0,5.0,564.3,2.0,4.0,1273.0,2.0,4.0,689.2
3.0,6.0,10.4,3.0,6.0,277.0,2.0,6.0,231.8,2.0,6.0,343.8,2.0,6.0,796.1,2.0,5.0,1136.0
4.0,2.0,18.1,4.0,1.0,281.6,4.0,1.0,175.5,3.0,1.0,299.1,3.0,1.0,1167.0,3.0,1.0,274.8
4.0,3.0,20.5,4.0,3.0,496.1,4.0,2.0,340.8,3.0,2.0,481.4,3.0,2.0,1674.0,3.0,2.0,583.5
4.0,5.0,49.6,4.0,5.0,610.1,4.0,5.0,351.7,3.0,5.0,662.6,3.0,4.0,1540.0,3.0,4.0,545.3
4.0,6.0,16.1,4.0,6.0,349.7,4.0,6.0,202.1,3.0,6.0,322.6,3.0,6.0,1128.0,3.0,5.0,933.6
5.0,2.0,89.3,5.0,1.0,684.6,5.0,1.0,493.7,5.0,1.0,282.9,4.0,1.0,774.1,4.0,1.0,302.0
5.0,3.0,105.1,5.0,3.0,1062.0,5.0,2.0,844.1,5.0,2.0,488.2,4.0,2.0,1116.0,4.0,2.0,648.6
5.0,4.0,106.5,5.0,4.0,997.1,5.0,4.0,677.1,5.0,3.0,597.1,4.0,3.0,1488.0,4.0,3.0,580.2
5.0,6.0,66.4,5.0,6.0,683.1,5.0,6.0,567.4,5.0,6.0,208.3,4.0,6.0,582.4,4.0,5.0,708.3
6.0,2.0,19.7,6.0,1.0,299.1,6.0,1.0,188.6,6.0,1.0,143.3,6.0,1.0,492.9,5.0,1.0,461.9
6.0,3.0,21.4,6.0,3.0,494.5,6.0,2.0,392.5,6.0,2.0,296.2,6.0,2.0,911.5,5.0,2.0,1237.0
6.0,4.0,27.5,6.0,4.0,535.8,6.0,4.0,350.9,6.0,3.0,324.6,6.0,3.0,1069.0,5.0,3.0,1316.0
6.0,5.0,57.9,6.0,5.0,956.8,6.0,5.0,581.3,6.0,5.0,223.2,6.0,4.0,810.8,5.0,4.0,936.5
