1,水摩 敦,水摩 敦.1,2,小川　日紀太,小川　日紀太.1,3,竹井 貴史,竹井 貴史.1,4,原田 雄次,原田 雄次.1,5,國弘 翔平,國弘 翔平.1,6,松崎　祐太郎,松崎　祐太郎.1
2.0,3.0,21.7,1.0,3.0,168.8,1.0,2.0,53.8,1.0,2.0,170.7,1.0,2.0,501.0,1.0,2.0,239.2
2.0,4.0,35.5,1.0,4.0,237.9,1.0,4.0,23.5,1.0,3.0,71.7,1.0,3.0,329.0,1.0,3.0,105.9
2.0,5.0,75.1,1.0,5.0,438.9,1.0,5.0,62.9,1.0,5.0,113.4,1.0,4.0,298.7,1.0,4.0,165.4
2.0,6.0,41.2,1.0,6.0,285.7,1.0,6.0,23.5,1.0,6.0,64.9,1.0,6.0,239.9,1.0,5.0,276.7
3.0,2.0,13.9,3.0,1.0,276.1,2.0,1.0,187.5,2.0,1.0,419.7,2.0,1.0,1096.0,2.0,1.0,648.0
3.0,4.0,5.8,3.0,4.0,518.8,2.0,4.0,260.0,2.0,3.0,621.9,2.0,3.0,1531.0,2.0,3.0,893.2
3.0,5.0,22.3,3.0,5.0,1015.0,2.0,5.0,697.7,2.0,5.0,672.8,2.0,4.0,1352.0,2.0,4.0,1116.0
3.0,6.0,7.2,3.0,6.0,479.8,2.0,6.0,270.5,2.0,6.0,457.4,2.0,6.0,1180.0,2.0,5.0,1608.0
4.0,2.0,37.4,4.0,1.0,551.3,4.0,1.0,85.0,3.0,1.0,139.8,3.0,1.0,639.9,3.0,1.0,158.5
4.0,3.0,13.3,4.0,3.0,804.4,4.0,2.0,307.6,3.0,2.0,534.6,3.0,2.0,1559.0,3.0,2.0,702.5
4.0,5.0,35.6,4.0,5.0,1200.0,4.0,5.0,281.4,3.0,5.0,429.3,3.0,4.0,1197.0,3.0,4.0,387.8
4.0,6.0,17.7,4.0,6.0,877.8,4.0,6.0,110.9,3.0,6.0,189.5,3.0,6.0,796.9,3.0,5.0,804.4
5.0,2.0,102.8,5.0,1.0,1228.0,5.0,1.0,294.1,5.0,1.0,155.1,4.0,1.0,331.1,4.0,1.0,255.6
5.0,3.0,51.5,5.0,3.0,1495.0,5.0,2.0,917.3,5.0,2.0,385.5,4.0,2.0,771.6,4.0,2.0,715.3
5.0,4.0,64.5,5.0,4.0,1593.0,5.0,4.0,520.4,5.0,3.0,332.7,4.0,3.0,768.1,4.0,3.0,427.5
5.0,6.0,56.7,5.0,6.0,1522.0,5.0,6.0,383.7,5.0,6.0,156.9,4.0,6.0,365.8,4.0,5.0,558.6
6.0,2.0,64.1,6.0,1.0,659.8,6.0,1.0,79.3,6.0,1.0,102.0,6.0,1.0,311.1,5.0,1.0,473.5
6.0,3.0,19.3,6.0,3.0,1036.0,6.0,2.0,305.5,6.0,2.0,309.2,6.0,2.0,738.1,5.0,2.0,1240.0
6.0,4.0,31.4,6.0,4.0,1156.0,6.0,4.0,153.8,6.0,3.0,185.3,6.0,3.0,564.8,5.0,3.0,857.1
6.0,5.0,60.8,6.0,5.0,1666.0,6.0,5.0,369.0,6.0,5.0,179.9,6.0,4.0,460.3,5.0,4.0,685.5
