1,山田 祐也,山田 祐也.1,2,前田 将太,前田 将太.1,3,森高 一真,森高 一真.1,4,新田 泰章,新田 泰章.1,5,山口 達也,山口 達也.1,6,毒島 誠,毒島 誠.1
2.0,3.0,7.2,1.0,3.0,20.0,1.0,2.0,64.0,1.0,2.0,507.2,1.0,2.0,59.8,1.0,2.0,110.9
2.0,4.0,25.7,1.0,4.0,63.1,1.0,4.0,119.5,1.0,3.0,781.2,1.0,3.0,94.0,1.0,3.0,184.7
2.0,5.0,16.4,1.0,5.0,33.5,1.0,5.0,91.7,1.0,5.0,825.2,1.0,4.0,183.1,1.0,4.0,422.1
2.0,6.0,8.6,1.0,6.0,19.1,1.0,6.0,67.8,1.0,6.0,541.2,1.0,6.0,99.1,1.0,5.0,283.8
3.0,2.0,13.7,3.0,1.0,56.5,2.0,1.0,77.3,2.0,1.0,600.0,2.0,1.0,68.2,2.0,1.0,141.5
3.0,4.0,51.1,3.0,4.0,209.3,2.0,4.0,344.1,2.0,3.0,1024.0,2.0,3.0,104.5,2.0,3.0,208.2
3.0,5.0,38.0,3.0,5.0,119.5,2.0,5.0,203.4,2.0,5.0,1045.0,2.0,4.0,196.7,2.0,4.0,462.3
3.0,6.0,19.0,3.0,6.0,59.4,2.0,6.0,118.9,2.0,6.0,666.9,2.0,6.0,103.0,2.0,5.0,330.2
4.0,2.0,67.9,4.0,1.0,224.4,4.0,1.0,529.1,3.0,1.0,1006.0,3.0,1.0,215.5,3.0,1.0,316.3
4.0,3.0,93.3,4.0,3.0,350.9,4.0,2.0,566.6,3.0,2.0,1223.0,3.0,2.0,209.0,3.0,2.0,286.1
4.0,5.0,132.3,4.0,5.0,397.0,4.0,5.0,693.6,3.0,5.0,1637.0,3.0,4.0,558.7,3.0,4.0,1002.0
4.0,6.0,92.7,4.0,6.0,223.0,4.0,6.0,513.9,3.0,6.0,1298.0,3.0,6.0,319.5,3.0,5.0,658.9
5.0,2.0,35.5,5.0,1.0,86.2,5.0,1.0,316.0,5.0,1.0,1052.0,4.0,1.0,483.6,4.0,1.0,922.6
5.0,3.0,57.8,5.0,3.0,142.7,5.0,2.0,337.3,5.0,2.0,1009.0,4.0,2.0,409.5,4.0,2.0,695.9
5.0,4.0,148.2,5.0,4.0,303.7,5.0,4.0,821.9,5.0,3.0,1393.0,4.0,3.0,651.5,4.0,3.0,1229.0
5.0,6.0,64.7,5.0,6.0,122.3,5.0,6.0,382.8,5.0,6.0,1075.0,4.0,6.0,535.4,4.0,5.0,1203.0
6.0,2.0,21.6,6.0,1.0,55.9,6.0,1.0,186.6,6.0,1.0,770.8,6.0,1.0,225.3,5.0,1.0,482.5
6.0,3.0,32.5,6.0,3.0,79.2,6.0,2.0,170.9,6.0,2.0,760.1,6.0,2.0,203.6,5.0,2.0,403.3
6.0,4.0,97.4,6.0,4.0,202.0,6.0,4.0,514.2,6.0,3.0,1280.0,6.0,3.0,347.9,5.0,3.0,621.5
6.0,5.0,61.9,6.0,5.0,126.1,6.0,5.0,349.8,6.0,5.0,1275.0,6.0,4.0,509.4,5.0,4.0,1025.0
