1,宮地 秀祈,宮地 秀祈.1,2,船越 健吾,船越 健吾.1,3,松尾 昂明,松尾 昂明.1,4,深川 和仁,深川 和仁.1,5,下田 哲也,下田 哲也.1,6,岩崎 正哉,岩崎 正哉.1
2.0,3.0,29.7,1.0,3.0,64.0,1.0,2.0,44.3,1.0,2.0,146.5,1.0,2.0,524.9,1.0,2.0,505.3
2.0,4.0,49.5,1.0,4.0,106.2,1.0,4.0,24.5,1.0,3.0,86.7,1.0,3.0,253.9,1.0,3.0,271.0
2.0,5.0,68.5,1.0,5.0,138.6,1.0,5.0,28.8,1.0,5.0,105.0,1.0,4.0,423.5,1.0,4.0,346.6
2.0,6.0,71.9,1.0,6.0,135.8,1.0,6.0,25.2,1.0,6.0,91.0,1.0,6.0,295.7,1.0,5.0,346.6
3.0,2.0,21.9,3.0,1.0,83.4,2.0,1.0,81.5,2.0,1.0,243.9,2.0,1.0,828.2,2.0,1.0,819.1
3.0,4.0,14.4,3.0,4.0,81.4,2.0,4.0,66.3,2.0,3.0,197.9,2.0,3.0,571.1,2.0,3.0,598.7
3.0,5.0,22.4,3.0,5.0,130.5,2.0,5.0,89.8,2.0,5.0,226.9,2.0,4.0,772.4,2.0,4.0,662.5
3.0,6.0,17.3,3.0,6.0,102.4,2.0,6.0,70.5,2.0,6.0,163.6,2.0,6.0,696.6,2.0,5.0,961.8
4.0,2.0,65.9,4.0,1.0,197.7,4.0,1.0,35.6,3.0,1.0,77.4,3.0,1.0,317.8,3.0,1.0,216.0
4.0,3.0,34.4,4.0,3.0,127.6,4.0,2.0,59.4,3.0,2.0,118.5,3.0,2.0,510.5,3.0,2.0,360.0
4.0,5.0,76.2,4.0,5.0,215.4,4.0,5.0,29.9,3.0,5.0,60.1,3.0,4.0,279.1,3.0,4.0,155.7
4.0,6.0,57.2,4.0,6.0,136.5,4.0,6.0,21.7,3.0,6.0,46.6,3.0,6.0,262.9,3.0,5.0,234.0
5.0,2.0,132.0,5.0,1.0,419.9,5.0,1.0,79.6,5.0,1.0,144.5,4.0,1.0,460.1,4.0,1.0,266.6
5.0,3.0,69.1,5.0,3.0,295.7,5.0,2.0,126.7,5.0,2.0,212.0,4.0,2.0,683.8,4.0,2.0,474.7
5.0,4.0,124.7,5.0,4.0,414.1,5.0,4.0,57.3,5.0,3.0,113.1,4.0,3.0,273.5,4.0,3.0,172.5
5.0,6.0,94.0,5.0,6.0,468.8,5.0,6.0,59.6,5.0,6.0,85.1,4.0,6.0,235.5,4.0,5.0,258.8
6.0,2.0,135.8,6.0,1.0,346.6,6.0,1.0,53.7,6.0,1.0,98.9,6.0,1.0,528.6,5.0,1.0,556.2
6.0,3.0,64.9,6.0,3.0,269.0,6.0,2.0,98.9,6.0,2.0,139.4,6.0,2.0,828.2,5.0,2.0,887.3
6.0,4.0,102.9,6.0,4.0,235.5,6.0,4.0,38.2,6.0,3.0,70.5,6.0,3.0,346.6,5.0,3.0,354.9
6.0,5.0,85.8,6.0,5.0,477.8,6.0,5.0,57.3,6.0,5.0,78.0,6.0,4.0,318.5,5.0,4.0,340.3
