1,川上 清人,川上 清人.1,2,深川 和仁,深川 和仁.1,3,渡邊 哲也,渡邊 哲也.1,4,下田 哲也,下田 哲也.1,5,山口 達也,山口 達也.1,6,岡瀬 正人,岡瀬 正人.1
2.0,3.0,45.9,1.0,3.0,65.0,1.0,2.0,165.4,1.0,2.0,74.3,1.0,2.0,68.2,1.0,2.0,606.3
2.0,4.0,27.9,1.0,4.0,25.2,1.0,4.0,244.1,1.0,3.0,231.3,1.0,3.0,194.2,1.0,3.0,1329.0
2.0,5.0,29.4,1.0,5.0,25.2,1.0,5.0,208.9,1.0,5.0,55.9,1.0,4.0,59.1,1.0,4.0,707.3
2.0,6.0,69.7,1.0,6.0,88.9,1.0,6.0,473.6,1.0,6.0,111.4,1.0,6.0,95.9,1.0,5.0,707.3
3.0,2.0,82.1,3.0,1.0,105.0,2.0,1.0,210.1,2.0,1.0,73.0,2.0,1.0,69.2,2.0,1.0,664.7
3.0,4.0,75.4,3.0,4.0,61.8,2.0,4.0,145.9,2.0,3.0,131.6,2.0,3.0,137.5,2.0,3.0,1114.0
3.0,5.0,88.9,3.0,5.0,57.6,2.0,5.0,150.9,2.0,5.0,32.1,2.0,4.0,33.6,2.0,4.0,494.8
3.0,6.0,182.0,3.0,6.0,186.7,2.0,6.0,357.1,2.0,6.0,61.2,2.0,6.0,56.7,2.0,5.0,392.7
4.0,2.0,41.7,4.0,1.0,36.6,4.0,1.0,337.4,3.0,1.0,327.4,3.0,1.0,295.0,3.0,1.0,2163.0
4.0,3.0,103.9,4.0,3.0,58.2,4.0,2.0,225.2,3.0,2.0,236.2,3.0,2.0,242.5,3.0,2.0,1622.0
4.0,5.0,38.7,4.0,5.0,15.4,4.0,5.0,251.9,3.0,5.0,205.8,3.0,4.0,199.1,3.0,4.0,1647.0
4.0,6.0,75.7,4.0,6.0,46.7,4.0,6.0,437.8,3.0,6.0,362.9,3.0,6.0,312.6,3.0,5.0,1511.0
5.0,2.0,42.5,5.0,1.0,39.4,5.0,1.0,249.6,5.0,1.0,48.7,4.0,1.0,67.8,4.0,1.0,985.2
5.0,3.0,93.2,5.0,3.0,56.2,5.0,2.0,212.2,5.0,2.0,25.0,4.0,2.0,38.3,4.0,2.0,616.4
5.0,4.0,42.0,5.0,4.0,20.2,5.0,4.0,260.2,5.0,3.0,136.7,4.0,3.0,142.2,4.0,3.0,1451.0
5.0,6.0,76.6,5.0,6.0,48.2,5.0,6.0,399.8,5.0,6.0,28.8,4.0,6.0,35.2,4.0,5.0,277.2
6.0,2.0,239.3,6.0,1.0,265.9,6.0,1.0,1012.0,6.0,1.0,204.7,6.0,1.0,127.5,5.0,1.0,527.9
6.0,3.0,407.1,6.0,3.0,431.0,6.0,2.0,875.7,6.0,2.0,142.7,6.0,2.0,84.0,5.0,2.0,414.8
6.0,4.0,219.8,6.0,4.0,139.6,6.0,4.0,1003.0,6.0,3.0,389.9,6.0,3.0,250.2,5.0,3.0,1199.0
6.0,5.0,222.4,6.0,5.0,142.7,6.0,5.0,771.6,6.0,5.0,77.8,6.0,4.0,64.4,5.0,4.0,234.7
