1,山田 哲也,山田 哲也.1,2,山田 和佐,山田 和佐.1,3,西川　新太郎,西川　新太郎.1,4,桑原 啓,桑原 啓.1,5,竹上 真司,竹上 真司.1,6,泉 具巳,泉 具巳.1
2.0,3.0,6.5,1.0,3.0,90.9,1.0,2.0,56.3,1.0,2.0,403.9,1.0,2.0,892.0,1.0,2.0,803.3
2.0,4.0,14.3,1.0,4.0,225.1,1.0,4.0,69.0,1.0,3.0,242.6,1.0,3.0,594.9,1.0,3.0,578.4
2.0,5.0,29.2,1.0,5.0,356.5,1.0,5.0,104.8,1.0,5.0,471.0,1.0,4.0,1220.0,1.0,4.0,1231.0
2.0,6.0,26.3,1.0,6.0,323.1,1.0,6.0,91.9,1.0,6.0,378.8,1.0,6.0,1188.0,1.0,5.0,1738.0
3.0,2.0,4.5,3.0,1.0,153.2,2.0,1.0,139.3,2.0,1.0,808.3,2.0,1.0,1536.0,2.0,1.0,1393.0
3.0,4.0,5.1,3.0,4.0,566.2,2.0,4.0,461.6,2.0,3.0,1378.0,2.0,3.0,1959.0,2.0,3.0,1936.0
3.0,5.0,12.1,3.0,5.0,739.1,2.0,5.0,552.2,2.0,5.0,1747.0,2.0,4.0,3385.0,2.0,4.0,2824.0
3.0,6.0,10.0,3.0,6.0,804.3,2.0,6.0,556.5,2.0,6.0,1658.0,2.0,6.0,3592.0,2.0,5.0,3439.0
4.0,2.0,21.6,4.0,1.0,609.5,4.0,1.0,231.3,3.0,1.0,391.2,3.0,1.0,909.5,3.0,1.0,694.6
4.0,3.0,15.4,4.0,3.0,999.5,4.0,2.0,555.1,3.0,2.0,1101.0,3.0,2.0,1971.0,3.0,2.0,1953.0
4.0,5.0,44.2,4.0,5.0,1624.0,4.0,5.0,559.9,3.0,5.0,1227.0,3.0,4.0,2536.0,3.0,4.0,2046.0
4.0,6.0,36.2,4.0,6.0,1402.0,4.0,6.0,523.2,3.0,6.0,776.3,3.0,6.0,2360.0,3.0,5.0,3217.0
5.0,2.0,73.6,5.0,1.0,1018.0,5.0,1.0,386.3,5.0,1.0,926.5,4.0,1.0,1977.0,4.0,1.0,2155.0
5.0,3.0,46.2,5.0,3.0,1306.0,5.0,2.0,877.4,5.0,2.0,1692.0,4.0,2.0,3759.0,4.0,2.0,3458.0
5.0,4.0,94.0,5.0,4.0,2120.0,5.0,4.0,853.1,5.0,3.0,1450.0,4.0,3.0,2618.0,4.0,3.0,2966.0
5.0,6.0,98.9,5.0,6.0,2639.0,5.0,6.0,914.7,5.0,6.0,1373.0,4.0,6.0,3064.0,4.0,5.0,4790.0
6.0,2.0,81.6,6.0,1.0,1038.0,6.0,1.0,358.6,6.0,1.0,937.2,6.0,1.0,2020.0,5.0,1.0,2683.0
6.0,3.0,50.1,6.0,3.0,1762.0,6.0,2.0,905.7,6.0,2.0,1811.0,6.0,2.0,4491.0,5.0,2.0,4522.0
6.0,4.0,100.7,6.0,4.0,2207.0,6.0,4.0,877.4,6.0,3.0,1067.0,6.0,3.0,2824.0,5.0,3.0,3849.0
6.0,5.0,138.3,6.0,5.0,2900.0,6.0,5.0,996.4,6.0,5.0,1806.0,6.0,4.0,4016.0,5.0,4.0,4586.0
