1,江夏 満,江夏 満.1,2,古場 輝義,古場 輝義.1,3,牧原 崇,牧原 崇.1,4,外崎 悟,外崎 悟.1,5,村本 大成,村本 大成.1,6,川辺 郭人,川辺 郭人.1
2.0,3.0,6.0,1.0,3.0,64.1,1.0,2.0,58.6,1.0,2.0,38.5,1.0,2.0,832.3,1.0,2.0,1756.0
2.0,4.0,5.0,1.0,4.0,54.0,1.0,4.0,48.5,1.0,3.0,54.5,1.0,3.0,1119.0,1.0,3.0,1418.0
2.0,5.0,53.2,1.0,5.0,304.8,1.0,5.0,235.1,1.0,5.0,100.0,1.0,4.0,674.0,1.0,4.0,1484.0
2.0,6.0,142.4,1.0,6.0,551.7,1.0,6.0,319.6,1.0,6.0,206.0,1.0,6.0,1439.0,1.0,5.0,2486.0
3.0,2.0,6.7,3.0,1.0,170.1,2.0,1.0,143.1,2.0,1.0,80.1,2.0,1.0,1387.0,2.0,1.0,2306.0
3.0,4.0,6.7,3.0,4.0,317.4,2.0,4.0,254.5,2.0,3.0,210.3,2.0,3.0,1840.0,2.0,3.0,3087.0
3.0,5.0,46.3,3.0,5.0,811.2,2.0,5.0,648.9,2.0,5.0,353.8,2.0,4.0,1582.0,2.0,4.0,2622.0
3.0,6.0,116.3,3.0,6.0,1397.0,2.0,6.0,1139.0,2.0,6.0,546.9,2.0,6.0,1636.0,2.0,5.0,3138.0
4.0,2.0,6.4,4.0,1.0,127.1,4.0,1.0,103.6,3.0,1.0,146.3,3.0,1.0,1450.0,3.0,1.0,1595.0
4.0,3.0,8.7,4.0,3.0,301.4,4.0,2.0,197.7,3.0,2.0,258.3,3.0,2.0,1858.0,3.0,2.0,2622.0
4.0,5.0,38.8,4.0,5.0,750.7,4.0,5.0,383.6,3.0,5.0,548.5,3.0,4.0,1507.0,3.0,4.0,1276.0
4.0,6.0,110.7,4.0,6.0,1227.0,4.0,6.0,505.1,3.0,6.0,696.1,3.0,6.0,2587.0,3.0,5.0,3087.0
5.0,2.0,155.0,5.0,1.0,1418.0,5.0,1.0,759.6,5.0,1.0,249.2,4.0,1.0,651.1,4.0,1.0,1694.0
5.0,3.0,151.6,5.0,3.0,1650.0,5.0,2.0,850.8,5.0,2.0,373.9,4.0,2.0,1160.0,4.0,2.0,3138.0
5.0,4.0,151.5,5.0,4.0,1450.0,5.0,4.0,753.7,5.0,3.0,651.1,4.0,3.0,1397.0,4.0,3.0,1519.0
5.0,6.0,511.8,5.0,6.0,2080.0,5.0,6.0,1357.0,5.0,6.0,596.3,4.0,6.0,1284.0,4.0,5.0,2815.0
6.0,2.0,627.6,6.0,1.0,1953.0,6.0,1.0,882.2,6.0,1.0,662.4,6.0,1.0,2151.0,5.0,1.0,2857.0
6.0,3.0,546.9,6.0,3.0,2774.0,6.0,2.0,1338.0,6.0,2.0,971.7,6.0,2.0,2857.0,5.0,2.0,3244.0
6.0,4.0,542.3,6.0,4.0,2486.0,6.0,4.0,866.2,6.0,3.0,1034.0,6.0,3.0,2734.0,5.0,3.0,2945.0
6.0,5.0,874.1,6.0,5.0,2734.0,6.0,5.0,1507.0,6.0,5.0,1167.0,6.0,4.0,2200.0,5.0,4.0,3480.0
