1,野長瀬　正孝,野長瀬　正孝.1,2,大橋　栄里佳,大橋　栄里佳.1,3,坂井 康嗣,坂井 康嗣.1,4,松崎　祐太郎,松崎　祐太郎.1,5,竹上 真司,竹上 真司.1,6,大須賀 友,大須賀 友.1
2.0,3.0,28.8,1.0,3.0,117.3,1.0,2.0,100.2,1.0,2.0,76.4,1.0,2.0,807.6,1.0,2.0,81.9
2.0,4.0,18.1,1.0,4.0,76.7,1.0,4.0,30.9,1.0,3.0,62.0,1.0,3.0,549.9,1.0,3.0,75.8
2.0,5.0,76.3,1.0,5.0,253.0,1.0,5.0,95.2,1.0,5.0,78.6,1.0,4.0,277.1,1.0,4.0,52.9
2.0,6.0,25.3,1.0,6.0,127.9,1.0,6.0,48.8,1.0,6.0,32.5,1.0,6.0,398.5,1.0,5.0,165.3
3.0,2.0,29.9,3.0,1.0,296.2,2.0,1.0,238.9,2.0,1.0,205.1,2.0,1.0,1589.0,2.0,1.0,146.6
3.0,4.0,11.6,3.0,4.0,451.5,2.0,4.0,250.2,2.0,3.0,488.4,2.0,3.0,1973.0,2.0,3.0,332.0
3.0,5.0,42.9,3.0,5.0,923.5,2.0,5.0,554.9,2.0,5.0,444.1,2.0,4.0,1492.0,2.0,4.0,249.4
3.0,6.0,17.2,3.0,6.0,598.3,2.0,6.0,307.0,2.0,6.0,250.2,2.0,6.0,1989.0,2.0,5.0,661.4
4.0,2.0,18.3,4.0,1.0,203.2,4.0,1.0,66.4,3.0,1.0,105.5,3.0,1.0,821.2,3.0,1.0,131.6
4.0,3.0,13.1,4.0,3.0,481.7,4.0,2.0,246.7,3.0,2.0,370.2,3.0,2.0,1882.0,3.0,2.0,353.6
4.0,5.0,33.9,4.0,5.0,659.6,4.0,5.0,156.1,3.0,5.0,243.5,3.0,4.0,799.7,3.0,4.0,178.6
4.0,6.0,9.6,4.0,6.0,341.3,4.0,6.0,83.3,3.0,6.0,112.6,3.0,6.0,1078.0,3.0,5.0,437.0
5.0,2.0,132.2,5.0,1.0,920.0,5.0,1.0,322.4,5.0,1.0,146.1,4.0,1.0,337.0,4.0,1.0,79.6
5.0,3.0,97.4,5.0,3.0,1653.0,5.0,2.0,726.2,5.0,2.0,330.7,4.0,2.0,955.9,4.0,2.0,203.7
5.0,4.0,68.4,5.0,4.0,1050.0,5.0,4.0,283.2,5.0,3.0,272.5,4.0,3.0,728.3,4.0,3.0,186.3
5.0,6.0,93.9,5.0,6.0,1786.0,5.0,6.0,387.2,5.0,6.0,119.3,4.0,6.0,345.1,4.0,5.0,252.5
6.0,2.0,35.1,6.0,1.0,292.0,6.0,1.0,119.8,6.0,1.0,47.7,6.0,1.0,562.5,5.0,1.0,380.0
6.0,3.0,26.4,6.0,3.0,611.8,6.0,2.0,337.5,6.0,2.0,142.0,6.0,2.0,1548.0,5.0,2.0,903.0
6.0,4.0,18.0,6.0,4.0,391.5,6.0,4.0,137.5,6.0,3.0,113.9,6.0,3.0,1078.0,5.0,3.0,779.3
6.0,5.0,71.1,6.0,5.0,1028.0,6.0,5.0,319.9,6.0,5.0,101.3,6.0,4.0,493.4,5.0,4.0,386.6
