1,松崎　祐太郎,松崎　祐太郎.1,2,板橋 侑我,板橋 侑我.1,3,松田 竜馬,松田 竜馬.1,4,森 智哉,森 智哉.1,5,切田 潤二,切田 潤二.1,6,渥美 卓郎,渥美 卓郎.1
2.0,3.0,4.9,1.0,3.0,22.8,1.0,2.0,31.2,1.0,2.0,103.5,1.0,2.0,547.8,1.0,2.0,646.6
2.0,4.0,12.1,1.0,4.0,44.7,1.0,4.0,31.0,1.0,3.0,101.2,1.0,3.0,495.0,1.0,3.0,552.2
2.0,5.0,27.9,1.0,5.0,102.1,1.0,5.0,50.5,1.0,5.0,240.7,1.0,4.0,735.1,1.0,4.0,697.8
2.0,6.0,48.5,1.0,6.0,175.6,1.0,6.0,67.1,1.0,6.0,142.5,1.0,6.0,1052.0,1.0,5.0,1482.0
3.0,2.0,5.3,3.0,1.0,74.2,2.0,1.0,71.6,2.0,1.0,193.0,2.0,1.0,932.3,2.0,1.0,1220.0
3.0,4.0,7.9,3.0,4.0,204.1,2.0,4.0,189.4,2.0,3.0,282.4,2.0,3.0,1162.0,2.0,3.0,1755.0
3.0,5.0,17.0,3.0,5.0,465.5,2.0,5.0,373.1,2.0,5.0,764.5,2.0,4.0,1630.0,2.0,4.0,1965.0
3.0,6.0,27.4,3.0,6.0,692.2,2.0,6.0,505.2,2.0,6.0,497.8,2.0,6.0,2219.0,2.0,5.0,3276.0
4.0,2.0,26.0,4.0,1.0,181.7,4.0,1.0,101.4,3.0,1.0,172.1,3.0,1.0,628.9,3.0,1.0,845.3
4.0,3.0,22.5,4.0,3.0,308.8,4.0,2.0,183.4,3.0,2.0,254.2,3.0,2.0,1150.0,3.0,2.0,1694.0
4.0,5.0,63.0,4.0,5.0,724.2,4.0,5.0,231.5,3.0,5.0,549.5,3.0,4.0,1190.0,3.0,4.0,1228.0
4.0,6.0,59.5,4.0,6.0,875.4,4.0,6.0,229.0,3.0,6.0,343.3,3.0,6.0,1630.0,3.0,5.0,2529.0
5.0,2.0,73.2,5.0,1.0,518.1,5.0,1.0,206.8,5.0,1.0,557.6,4.0,1.0,1150.0,4.0,1.0,741.4
5.0,3.0,60.8,5.0,3.0,695.0,5.0,2.0,438.2,5.0,2.0,813.3,4.0,2.0,1549.0,4.0,2.0,1260.0
5.0,4.0,107.4,5.0,4.0,958.3,5.0,4.0,345.0,5.0,3.0,747.9,4.0,3.0,1392.0,4.0,3.0,958.3
5.0,6.0,149.8,5.0,6.0,1354.0,5.0,6.0,476.5,5.0,6.0,837.0,4.0,6.0,1764.0,4.0,5.0,1880.0
6.0,2.0,144.5,6.0,1.0,929.8,6.0,1.0,302.8,6.0,1.0,258.0,6.0,1.0,2234.0,5.0,1.0,1869.0
6.0,3.0,114.1,6.0,3.0,1427.0,6.0,2.0,637.1,6.0,2.0,393.1,6.0,2.0,3308.0,5.0,2.0,2708.0
6.0,4.0,149.4,6.0,4.0,1457.0,6.0,4.0,426.3,6.0,3.0,396.8,6.0,3.0,2475.0,5.0,3.0,2475.0
6.0,5.0,260.4,6.0,5.0,2150.0,6.0,5.0,868.7,6.0,5.0,801.9,6.0,4.0,2440.0,5.0,4.0,2191.0
