1,奥田 誠,奥田 誠.1,2,桂林 寛,桂林 寛.1,3,小林 遼太,小林 遼太.1,4,山口 亮,山口 亮.1,5,近藤 稔也,近藤 稔也.1,6,峰重 力也,峰重 力也.1
2.0,3.0,8.3,1.0,3.0,29.5,1.0,2.0,40.6,1.0,2.0,84.1,1.0,2.0,182.4,1.0,2.0,254.3
2.0,4.0,12.9,1.0,4.0,34.7,1.0,4.0,45.3,1.0,3.0,116.9,1.0,3.0,217.2,1.0,3.0,467.9
2.0,5.0,19.8,1.0,5.0,61.8,1.0,5.0,55.8,1.0,5.0,111.6,1.0,4.0,249.1,1.0,4.0,548.8
2.0,6.0,37.2,1.0,6.0,74.5,1.0,6.0,81.2,1.0,6.0,137.4,1.0,6.0,253.4,1.0,5.0,528.9
3.0,2.0,9.3,3.0,1.0,60.2,2.0,1.0,74.7,2.0,1.0,127.8,2.0,1.0,275.4,2.0,1.0,374.3
3.0,4.0,13.7,3.0,4.0,91.2,2.0,4.0,94.5,2.0,3.0,204.4,2.0,3.0,470.9,2.0,3.0,480.2
3.0,5.0,18.0,3.0,5.0,127.6,2.0,5.0,104.5,2.0,5.0,214.0,2.0,4.0,570.2,2.0,4.0,608.3
3.0,6.0,35.1,3.0,6.0,141.4,2.0,6.0,143.4,2.0,6.0,219.8,2.0,6.0,467.9,2.0,5.0,752.5
4.0,2.0,25.0,4.0,1.0,87.1,4.0,1.0,97.5,3.0,1.0,167.0,3.0,1.0,311.9,3.0,1.0,629.2
4.0,3.0,27.7,4.0,3.0,140.3,4.0,2.0,122.6,3.0,2.0,211.5,3.0,2.0,574.7,3.0,2.0,506.9
4.0,5.0,43.1,4.0,5.0,195.1,4.0,5.0,140.9,3.0,5.0,233.9,3.0,4.0,588.6,3.0,4.0,869.0
4.0,6.0,62.7,4.0,6.0,165.9,4.0,6.0,179.3,3.0,6.0,354.3,3.0,6.0,752.5,3.0,5.0,890.1
5.0,2.0,37.9,5.0,1.0,170.1,5.0,1.0,150.8,5.0,1.0,145.9,4.0,1.0,279.6,4.0,1.0,793.4
5.0,3.0,42.7,5.0,3.0,242.5,5.0,2.0,167.4,5.0,2.0,202.2,4.0,2.0,378.2,4.0,2.0,768.3
5.0,4.0,60.8,5.0,4.0,350.9,5.0,4.0,207.9,5.0,3.0,254.3,4.0,3.0,439.7,4.0,3.0,1196.0
5.0,6.0,98.6,5.0,6.0,331.8,5.0,6.0,254.3,5.0,6.0,167.8,4.0,6.0,289.6,4.0,5.0,629.2
6.0,2.0,92.5,6.0,1.0,228.8,6.0,1.0,290.8,6.0,1.0,309.3,6.0,1.0,372.4,5.0,1.0,682.2
6.0,3.0,109.9,6.0,3.0,321.5,6.0,2.0,299.1,6.0,2.0,370.5,6.0,2.0,640.3,5.0,2.0,839.0
6.0,4.0,153.0,6.0,4.0,333.3,6.0,4.0,405.5,6.0,3.0,536.7,6.0,3.0,848.7,5.0,3.0,1123.0
6.0,5.0,162.2,6.0,5.0,474.0,6.0,5.0,417.1,6.0,5.0,309.3,6.0,4.0,499.9,5.0,4.0,618.6
