1,大瀧　明日香,大瀧　明日香.1,2,水摩 敦,水摩 敦.1,3,古場 輝義,古場 輝義.1,4,江藤 敦宏,江藤 敦宏.1,5,西丸 敦基,西丸 敦基.1,6,宮本 夏樹,宮本 夏樹.1
2.0,3.0,4.6,1.0,3.0,12.2,1.0,2.0,61.3,1.0,2.0,412.9,1.0,2.0,150.4,1.0,2.0,88.8
2.0,4.0,28.6,1.0,4.0,48.1,1.0,4.0,216.4,1.0,3.0,677.9,1.0,3.0,238.0,1.0,3.0,149.8
2.0,5.0,15.8,1.0,5.0,28.5,1.0,5.0,158.7,1.0,5.0,599.9,1.0,4.0,566.4,1.0,4.0,390.4
2.0,6.0,14.9,1.0,6.0,21.4,1.0,6.0,141.9,1.0,6.0,550.1,1.0,6.0,221.7,1.0,5.0,234.4
3.0,2.0,9.8,3.0,1.0,24.4,2.0,1.0,67.0,2.0,1.0,511.7,2.0,1.0,187.9,2.0,1.0,97.1
3.0,4.0,51.2,3.0,4.0,69.7,2.0,4.0,161.5,2.0,3.0,680.6,2.0,3.0,264.7,2.0,3.0,120.3
3.0,5.0,32.7,3.0,5.0,46.7,2.0,5.0,112.5,2.0,5.0,657.2,2.0,4.0,701.4,2.0,4.0,318.5
3.0,6.0,34.4,3.0,6.0,34.6,2.0,6.0,91.7,2.0,6.0,438.1,2.0,6.0,234.9,2.0,5.0,218.1
4.0,2.0,92.6,4.0,1.0,149.2,4.0,1.0,475.0,3.0,1.0,1018.0,3.0,1.0,459.8,3.0,1.0,304.2
4.0,3.0,146.5,4.0,3.0,158.9,4.0,2.0,405.6,3.0,2.0,961.9,3.0,2.0,447.2,3.0,2.0,242.6
4.0,5.0,195.0,4.0,5.0,233.9,4.0,5.0,667.4,3.0,5.0,1275.0,3.0,4.0,1453.0,3.0,4.0,876.3
4.0,6.0,152.9,4.0,6.0,146.8,4.0,6.0,487.8,3.0,6.0,1107.0,3.0,6.0,552.7,3.0,5.0,649.7
5.0,2.0,46.2,5.0,1.0,95.3,5.0,1.0,348.5,5.0,1.0,844.0,4.0,1.0,1049.0,4.0,1.0,1001.0
5.0,3.0,74.9,5.0,3.0,114.0,5.0,2.0,279.9,5.0,2.0,786.2,4.0,2.0,1009.0,4.0,2.0,667.4
5.0,4.0,229.7,5.0,4.0,278.1,5.0,4.0,686.0,5.0,3.0,1243.0,4.0,3.0,1679.0,4.0,3.0,1247.0
5.0,6.0,101.0,5.0,6.0,123.9,5.0,6.0,406.6,5.0,6.0,721.9,4.0,6.0,975.6,4.0,5.0,1266.0
6.0,2.0,43.6,6.0,1.0,60.1,6.0,1.0,318.2,6.0,1.0,863.1,6.0,1.0,333.7,5.0,1.0,346.1
6.0,3.0,75.1,6.0,3.0,67.9,6.0,2.0,212.1,6.0,2.0,523.3,6.0,2.0,307.4,5.0,2.0,326.1
6.0,4.0,212.3,6.0,4.0,178.9,6.0,4.0,658.4,6.0,3.0,1151.0,6.0,3.0,489.1,5.0,3.0,548.3
6.0,5.0,131.3,6.0,5.0,131.7,6.0,5.0,524.1,6.0,5.0,953.9,6.0,4.0,967.3,5.0,4.0,961.9
