1,待鳥 雄紀,待鳥 雄紀.1,2,瀬川 公則,瀬川 公則.1,3,渡辺 浩司,渡辺 浩司.1,4,東本 勝利,東本 勝利.1,5,川原 愛未,川原 愛未.1,6,作間 章,作間 章.1
2.0,3.0,38.2,1.0,3.0,131.3,1.0,2.0,44.0,1.0,2.0,120.9,1.0,2.0,1717.0,1.0,2.0,719.6
2.0,4.0,52.1,1.0,4.0,160.2,1.0,4.0,7.9,1.0,3.0,29.3,1.0,3.0,1159.0,1.0,3.0,232.5
2.0,5.0,226.6,1.0,5.0,593.7,1.0,5.0,62.8,1.0,5.0,173.3,1.0,4.0,1396.0,1.0,4.0,277.3
2.0,6.0,116.6,1.0,6.0,309.4,1.0,6.0,18.5,1.0,6.0,58.1,1.0,6.0,1506.0,1.0,5.0,1501.0
3.0,2.0,20.6,3.0,1.0,182.3,2.0,1.0,152.3,2.0,1.0,291.8,2.0,1.0,2878.0,2.0,1.0,1209.0
3.0,4.0,4.5,3.0,4.0,307.5,2.0,4.0,162.9,2.0,3.0,303.1,2.0,3.0,3286.0,2.0,3.0,1386.0
3.0,5.0,51.6,3.0,5.0,1107.0,2.0,5.0,582.1,2.0,5.0,846.6,2.0,4.0,3261.0,2.0,4.0,1469.0
3.0,6.0,13.5,3.0,6.0,529.0,2.0,6.0,288.6,2.0,6.0,449.7,2.0,6.0,2641.0,2.0,5.0,3449.0
4.0,2.0,38.3,4.0,1.0,289.0,4.0,1.0,13.8,3.0,1.0,30.4,3.0,1.0,1084.0,3.0,1.0,308.5
4.0,3.0,9.4,4.0,3.0,351.3,4.0,2.0,74.4,3.0,2.0,150.7,3.0,2.0,2641.0,3.0,2.0,917.3
4.0,5.0,85.3,4.0,5.0,1131.0,4.0,5.0,74.3,3.0,5.0,157.3,3.0,4.0,1146.0,3.0,4.0,274.4
4.0,6.0,27.4,4.0,6.0,547.7,4.0,6.0,24.0,3.0,6.0,51.0,3.0,6.0,1439.0,3.0,5.0,1464.0
5.0,2.0,523.7,5.0,1.0,1676.0,5.0,1.0,288.0,5.0,1.0,381.8,4.0,1.0,1710.0,4.0,1.0,396.7
5.0,3.0,247.2,5.0,3.0,2592.0,5.0,2.0,790.5,5.0,2.0,942.2,4.0,2.0,3162.0,4.0,2.0,1033.0
5.0,4.0,312.4,5.0,4.0,2608.0,5.0,4.0,286.6,5.0,3.0,397.5,4.0,3.0,1410.0,4.0,3.0,302.2
5.0,6.0,425.9,5.0,6.0,3069.0,5.0,6.0,350.4,5.0,6.0,422.4,4.0,6.0,1545.0,4.0,5.0,1377.0
6.0,2.0,189.1,6.0,1.0,888.1,6.0,1.0,71.4,6.0,1.0,115.4,6.0,1.0,2782.0,5.0,1.0,2592.0
6.0,3.0,59.6,6.0,3.0,1202.0,6.0,2.0,240.0,6.0,2.0,341.3,6.0,2.0,4052.0,5.0,2.0,3567.0
6.0,4.0,73.3,6.0,4.0,1227.0,6.0,4.0,66.0,6.0,3.0,107.8,6.0,3.0,2306.0,5.0,3.0,2232.0
6.0,5.0,341.3,6.0,5.0,2878.0,6.0,5.0,242.8,6.0,5.0,349.5,6.0,4.0,2129.0,5.0,4.0,1987.0
