1,近藤 稔也,近藤 稔也.1,2,桂林 寛,桂林 寛.1,3,尾上 雅也,尾上 雅也.1,4,後藤 浩,後藤 浩.1,5,河野 大,河野 大.1,6,岡本 猛,岡本 猛.1
2.0,3.0,55.5,1.0,3.0,74.1,1.0,2.0,25.1,1.0,2.0,336.6,1.0,2.0,174.4,1.0,2.0,1473.0
2.0,4.0,128.7,1.0,4.0,123.6,1.0,4.0,28.6,1.0,3.0,197.5,1.0,3.0,92.4,1.0,3.0,695.8
2.0,5.0,102.5,1.0,5.0,121.0,1.0,5.0,14.1,1.0,5.0,229.8,1.0,4.0,267.0,1.0,4.0,2197.0
2.0,6.0,229.3,1.0,6.0,235.4,1.0,6.0,39.2,1.0,6.0,386.5,1.0,6.0,234.5,1.0,5.0,963.4
3.0,2.0,35.5,3.0,1.0,63.4,2.0,1.0,33.3,2.0,1.0,385.3,2.0,1.0,224.4,2.0,1.0,1585.0
3.0,4.0,44.6,3.0,4.0,55.6,2.0,4.0,36.0,2.0,3.0,217.0,2.0,3.0,115.6,2.0,3.0,1170.0
3.0,5.0,30.7,3.0,5.0,40.7,2.0,5.0,17.6,2.0,5.0,248.9,2.0,4.0,258.2,2.0,4.0,1473.0
3.0,6.0,95.3,3.0,6.0,108.5,2.0,6.0,49.5,2.0,6.0,374.9,2.0,6.0,267.0,2.0,5.0,1585.0
4.0,2.0,185.5,4.0,1.0,178.6,4.0,1.0,37.7,3.0,1.0,109.3,3.0,1.0,76.5,3.0,1.0,745.5
4.0,3.0,100.9,4.0,3.0,123.2,4.0,2.0,36.1,3.0,2.0,130.0,3.0,2.0,74.4,3.0,2.0,1079.0
4.0,5.0,127.2,4.0,5.0,167.8,4.0,5.0,14.9,3.0,5.0,65.7,3.0,4.0,79.2,3.0,4.0,920.9
4.0,6.0,324.4,4.0,6.0,334.8,4.0,6.0,36.5,3.0,6.0,131.8,3.0,6.0,89.2,3.0,5.0,424.5
5.0,2.0,140.4,5.0,1.0,180.4,5.0,1.0,19.4,5.0,1.0,226.8,4.0,1.0,298.2,4.0,1.0,2122.0
5.0,3.0,64.6,5.0,3.0,84.0,5.0,2.0,18.8,5.0,2.0,224.8,4.0,2.0,272.2,4.0,2.0,1304.0
5.0,4.0,196.3,5.0,4.0,177.1,5.0,4.0,13.8,5.0,3.0,124.6,4.0,3.0,142.8,4.0,3.0,1215.0
5.0,6.0,258.2,5.0,6.0,269.3,5.0,6.0,19.9,5.0,6.0,195.6,4.0,6.0,245.5,4.0,5.0,1647.0
6.0,2.0,561.6,6.0,1.0,719.7,6.0,1.0,100.6,6.0,1.0,773.1,6.0,1.0,396.3,5.0,1.0,834.9
6.0,3.0,332.2,6.0,3.0,428.9,6.0,2.0,100.5,6.0,2.0,749.9,6.0,2.0,463.8,5.0,2.0,1170.0
6.0,4.0,684.3,6.0,4.0,688.1,6.0,4.0,90.1,6.0,3.0,392.6,6.0,3.0,211.2,5.0,3.0,537.5
6.0,5.0,445.7,6.0,5.0,605.0,6.0,5.0,46.0,6.0,5.0,441.0,6.0,4.0,431.8,5.0,4.0,1527.0
