1,石川 哲秀,石川 哲秀.1,2,西澤　日花里,西澤　日花里.1,3,吉村 誠,吉村 誠.1,4,片岡 大地,片岡 大地.1,5,真庭 明志,真庭 明志.1,6,金田 諭,金田 諭.1
2.0,3.0,52.8,1.0,3.0,79.0,1.0,2.0,51.5,1.0,2.0,223.2,1.0,2.0,200.0,1.0,2.0,368.8
2.0,4.0,85.7,1.0,4.0,154.5,1.0,4.0,34.9,1.0,3.0,140.6,1.0,3.0,81.7,1.0,3.0,192.3
2.0,5.0,82.5,1.0,5.0,122.3,1.0,5.0,21.8,1.0,5.0,103.6,1.0,4.0,125.9,1.0,4.0,353.0
2.0,6.0,91.0,1.0,6.0,125.7,1.0,6.0,26.2,1.0,6.0,120.2,1.0,6.0,70.5,1.0,5.0,185.3
3.0,2.0,39.4,3.0,1.0,127.3,2.0,1.0,100.9,2.0,1.0,433.3,2.0,1.0,447.7,2.0,1.0,695.4
3.0,4.0,32.5,3.0,4.0,182.2,2.0,4.0,101.8,2.0,3.0,404.4,2.0,3.0,315.4,2.0,3.0,473.5
3.0,5.0,21.9,3.0,5.0,136.1,2.0,5.0,79.5,2.0,5.0,358.4,2.0,4.0,485.2,2.0,4.0,741.9
3.0,6.0,30.2,3.0,6.0,132.9,2.0,6.0,72.6,2.0,6.0,333.6,2.0,6.0,260.1,2.0,5.0,512.4
4.0,2.0,121.3,4.0,1.0,313.1,4.0,1.0,54.5,3.0,1.0,147.0,3.0,1.0,92.7,3.0,1.0,170.3
4.0,3.0,60.4,4.0,3.0,319.8,4.0,2.0,122.6,3.0,2.0,296.4,3.0,2.0,214.2,3.0,2.0,273.8
4.0,5.0,69.9,4.0,5.0,335.8,4.0,5.0,30.5,3.0,5.0,83.8,3.0,4.0,104.5,3.0,4.0,192.3
4.0,6.0,81.3,4.0,6.0,319.8,4.0,6.0,32.5,3.0,6.0,87.4,3.0,6.0,45.0,3.0,5.0,84.7
5.0,2.0,106.2,5.0,1.0,208.5,5.0,1.0,34.4,5.0,1.0,104.4,4.0,1.0,147.2,4.0,1.0,392.6
5.0,3.0,50.0,5.0,3.0,239.8,5.0,2.0,84.1,5.0,2.0,227.8,4.0,2.0,296.4,4.0,2.0,638.0
5.0,4.0,85.7,5.0,4.0,291.3,5.0,4.0,34.2,5.0,3.0,110.1,4.0,3.0,163.8,4.0,3.0,275.3
5.0,6.0,51.7,5.0,6.0,207.6,5.0,6.0,18.0,5.0,6.0,64.5,4.0,6.0,99.1,4.0,5.0,197.2
6.0,2.0,134.6,6.0,1.0,285.1,6.0,1.0,50.7,6.0,1.0,179.1,6.0,1.0,82.6,5.0,1.0,163.0
6.0,3.0,84.3,6.0,3.0,296.7,6.0,2.0,99.3,6.0,2.0,321.8,6.0,2.0,176.7,5.0,2.0,306.7
6.0,4.0,151.8,6.0,4.0,353.9,6.0,4.0,49.3,6.0,3.0,139.9,6.0,3.0,52.6,5.0,3.0,86.5
6.0,5.0,84.9,6.0,5.0,269.5,6.0,5.0,22.9,6.0,5.0,91.2,6.0,4.0,83.2,5.0,4.0,151.0
