1,岸 恵子,岸 恵子.1,2,魚谷 香織,魚谷 香織.1,3,松本 怜,松本 怜.1,4,片岡 恵里,片岡 恵里.1,5,池田 紫乃,池田 紫乃.1,6,淺田　千亜希,淺田　千亜希.1
2.0,3.0,17.3,1.0,3.0,39.5,1.0,2.0,207.8,1.0,2.0,120.8,1.0,2.0,90.0,1.0,2.0,68.9
2.0,4.0,9.9,1.0,4.0,25.4,1.0,4.0,357.9,1.0,3.0,363.2,1.0,3.0,321.6,1.0,3.0,350.2
2.0,5.0,8.6,1.0,5.0,21.2,1.0,5.0,313.2,1.0,5.0,169.4,1.0,4.0,244.7,1.0,4.0,199.3
2.0,6.0,8.0,1.0,6.0,18.8,1.0,6.0,357.7,1.0,6.0,150.7,1.0,6.0,100.5,1.0,5.0,138.0
3.0,2.0,35.8,3.0,1.0,112.2,2.0,1.0,272.9,2.0,1.0,166.3,2.0,1.0,128.8,2.0,1.0,87.5
3.0,4.0,71.8,3.0,4.0,176.9,2.0,4.0,432.6,2.0,3.0,474.9,2.0,3.0,537.5,2.0,3.0,407.1
3.0,5.0,68.1,3.0,5.0,252.6,2.0,5.0,498.7,2.0,5.0,254.9,2.0,4.0,352.9,2.0,4.0,209.6
3.0,6.0,70.4,3.0,6.0,250.4,2.0,6.0,453.5,2.0,6.0,193.9,2.0,6.0,150.1,2.0,5.0,165.2
4.0,2.0,23.6,4.0,1.0,83.9,4.0,1.0,691.6,3.0,1.0,676.3,3.0,1.0,576.7,3.0,1.0,770.2
4.0,3.0,79.4,4.0,3.0,239.8,4.0,2.0,614.4,3.0,2.0,635.5,3.0,2.0,847.0,3.0,2.0,704.7
4.0,5.0,50.8,4.0,5.0,164.2,4.0,5.0,870.0,3.0,5.0,917.6,3.0,4.0,1102.0,3.0,4.0,1006.0
4.0,6.0,40.4,4.0,6.0,116.2,4.0,6.0,855.3,3.0,6.0,834.0,3.0,6.0,932.2,3.0,5.0,1030.0
5.0,2.0,22.9,5.0,1.0,73.8,5.0,1.0,429.4,5.0,1.0,206.7,4.0,1.0,347.0,4.0,1.0,357.2
5.0,3.0,88.8,5.0,3.0,277.3,5.0,2.0,668.6,5.0,2.0,242.8,4.0,2.0,418.0,4.0,2.0,302.6
5.0,4.0,68.7,5.0,4.0,205.2,5.0,4.0,1048.0,5.0,3.0,674.4,4.0,3.0,978.8,4.0,3.0,1045.0
5.0,6.0,34.1,5.0,6.0,91.6,5.0,6.0,840.0,5.0,6.0,196.5,4.0,6.0,296.6,4.0,5.0,466.1
6.0,2.0,21.1,6.0,1.0,59.6,6.0,1.0,717.6,6.0,1.0,217.5,6.0,1.0,130.2,5.0,1.0,185.0
6.0,3.0,98.2,6.0,3.0,251.6,6.0,2.0,613.3,6.0,2.0,212.7,6.0,2.0,137.0,5.0,2.0,187.0
6.0,4.0,54.4,6.0,4.0,143.4,6.0,4.0,1001.0,6.0,3.0,730.3,6.0,3.0,611.7,5.0,3.0,820.4
6.0,5.0,46.2,6.0,5.0,104.3,6.0,5.0,1042.0,6.0,5.0,253.3,6.0,4.0,262.1,5.0,4.0,410.7
