1,馬野 耀,馬野 耀.1,2,大西 賢,大西 賢.1,3,田中 辰彦,田中 辰彦.1,4,入海 馨,入海 馨.1,5,向井田　直弥,向井田　直弥.1,6,犬童 千秋,犬童 千秋.1
2.0,3.0,18.1,1.0,3.0,67.5,1.0,2.0,108.6,1.0,2.0,31.4,1.0,2.0,345.6,1.0,2.0,1078.0
2.0,4.0,10.0,1.0,4.0,42.1,1.0,4.0,43.8,1.0,3.0,23.6,1.0,3.0,355.0,1.0,3.0,1255.0
2.0,5.0,36.7,1.0,5.0,129.2,1.0,5.0,120.7,1.0,5.0,31.9,1.0,4.0,206.5,1.0,4.0,726.8
2.0,6.0,69.6,1.0,6.0,199.1,1.0,6.0,185.7,1.0,6.0,53.0,1.0,6.0,358.7,1.0,5.0,1615.0
3.0,2.0,19.1,3.0,1.0,153.8,2.0,1.0,203.3,2.0,1.0,68.6,2.0,1.0,561.4,2.0,1.0,1222.0
3.0,4.0,9.0,3.0,4.0,222.0,2.0,4.0,288.0,2.0,3.0,150.0,2.0,3.0,1091.0,2.0,3.0,2001.0
3.0,5.0,35.1,3.0,5.0,477.0,2.0,5.0,496.7,2.0,5.0,146.3,2.0,4.0,685.3,2.0,4.0,962.4
3.0,6.0,58.5,3.0,6.0,692.2,2.0,6.0,847.2,2.0,6.0,201.4,2.0,6.0,1096.0,2.0,5.0,2734.0
4.0,2.0,8.8,4.0,1.0,77.3,4.0,1.0,72.3,3.0,1.0,51.9,3.0,1.0,619.3,3.0,1.0,1238.0
4.0,3.0,7.3,4.0,3.0,159.3,4.0,2.0,181.3,3.0,2.0,163.7,3.0,2.0,1249.0,3.0,2.0,2970.0
4.0,5.0,15.7,4.0,5.0,225.8,4.0,5.0,172.9,3.0,5.0,121.7,3.0,4.0,667.1,3.0,4.0,1347.0
4.0,6.0,31.5,4.0,6.0,298.2,4.0,6.0,218.0,3.0,6.0,149.5,3.0,6.0,1485.0,3.0,5.0,3288.0
5.0,2.0,82.7,5.0,1.0,432.9,5.0,1.0,397.9,5.0,1.0,62.1,4.0,1.0,203.0,4.0,1.0,667.1
5.0,3.0,76.1,5.0,3.0,888.1,5.0,2.0,750.5,5.0,2.0,129.5,4.0,2.0,427.5,4.0,2.0,812.3
5.0,4.0,50.8,5.0,4.0,522.1,5.0,4.0,415.9,5.0,3.0,142.7,4.0,3.0,425.5,4.0,3.0,1261.0
5.0,6.0,151.0,5.0,6.0,1038.0,5.0,6.0,710.0,5.0,6.0,115.5,4.0,6.0,327.6,4.0,5.0,1347.0
6.0,2.0,231.3,6.0,1.0,726.8,6.0,1.0,711.8,6.0,1.0,133.3,6.0,1.0,645.3,5.0,1.0,1296.0
6.0,3.0,233.8,6.0,3.0,1534.0,6.0,2.0,1160.0,6.0,2.0,261.0,6.0,2.0,1011.0,5.0,2.0,1596.0
6.0,4.0,170.8,6.0,4.0,626.3,6.0,4.0,645.3,6.0,3.0,258.8,6.0,3.0,1290.0,5.0,3.0,1805.0
6.0,5.0,351.8,6.0,5.0,1315.0,6.0,5.0,917.6,6.0,5.0,224.7,6.0,4.0,734.6,5.0,4.0,1340.0
