1,金田 幸子,金田 幸子.1,2,赤澤 文香,赤澤 文香.1,3,大澤 真菜,大澤 真菜.1,4,片岡 恵里,片岡 恵里.1,5,犬童 千秋,犬童 千秋.1,6,中川 りな,中川 りな.1
2.0,3.0,22.6,1.0,3.0,119.9,1.0,2.0,252.7,1.0,2.0,54.9,1.0,2.0,183.6,1.0,2.0,127.8
2.0,4.0,7.6,1.0,4.0,55.0,1.0,4.0,299.2,1.0,3.0,170.9,1.0,3.0,353.3,1.0,3.0,371.0
2.0,5.0,16.9,1.0,5.0,100.0,1.0,5.0,369.2,1.0,5.0,47.5,1.0,4.0,126.7,1.0,4.0,106.2
2.0,6.0,12.1,1.0,6.0,68.8,1.0,6.0,393.8,1.0,6.0,36.3,1.0,6.0,127.5,1.0,5.0,192.8
3.0,2.0,34.1,3.0,1.0,299.7,2.0,1.0,367.6,2.0,1.0,117.5,2.0,1.0,366.3,2.0,1.0,229.0
3.0,4.0,41.6,3.0,4.0,587.1,2.0,4.0,760.3,2.0,3.0,548.7,2.0,3.0,1000.0,2.0,3.0,994.8
3.0,5.0,63.8,3.0,5.0,906.4,2.0,5.0,997.4,2.0,5.0,224.9,2.0,4.0,483.7,2.0,4.0,328.7
3.0,6.0,60.8,3.0,6.0,859.0,2.0,6.0,1027.0,2.0,6.0,147.5,2.0,6.0,474.5,2.0,5.0,712.3
4.0,2.0,10.5,4.0,1.0,119.2,4.0,1.0,554.3,3.0,1.0,451.3,3.0,1.0,761.1,3.0,1.0,921.9
4.0,3.0,42.5,4.0,3.0,525.8,4.0,2.0,897.8,3.0,2.0,708.3,3.0,2.0,1313.0,3.0,2.0,1483.0
4.0,5.0,17.2,4.0,5.0,345.0,4.0,5.0,1037.0,3.0,5.0,701.7,3.0,4.0,1416.0,3.0,4.0,1343.0
4.0,6.0,12.0,4.0,6.0,180.6,4.0,6.0,825.2,3.0,6.0,545.5,3.0,6.0,1187.0,3.0,5.0,1480.0
5.0,2.0,33.6,5.0,1.0,298.0,5.0,1.0,667.0,5.0,1.0,56.0,4.0,1.0,143.4,4.0,1.0,148.8
5.0,3.0,78.1,5.0,3.0,842.7,5.0,2.0,1001.0,5.0,2.0,128.3,4.0,2.0,293.2,4.0,2.0,293.0
5.0,4.0,33.7,5.0,4.0,546.7,5.0,4.0,1284.0,5.0,3.0,317.2,4.0,3.0,703.6,4.0,3.0,875.9
5.0,6.0,33.3,5.0,6.0,549.5,5.0,6.0,1215.0,5.0,6.0,46.0,4.0,6.0,122.0,4.0,5.0,197.0
6.0,2.0,29.4,6.0,1.0,183.1,6.0,1.0,796.4,6.0,1.0,52.6,6.0,1.0,182.1,5.0,1.0,282.9
6.0,3.0,90.8,6.0,3.0,799.8,6.0,2.0,1375.0,6.0,2.0,108.2,6.0,2.0,361.6,5.0,2.0,645.3
6.0,4.0,25.4,6.0,4.0,242.4,6.0,4.0,1229.0,6.0,3.0,341.8,6.0,3.0,686.4,5.0,3.0,998.7
6.0,5.0,46.8,6.0,5.0,627.6,6.0,5.0,1403.0,6.0,5.0,61.0,6.0,4.0,159.7,5.0,4.0,224.7
