1,中田 友也,中田 友也.1,2,向後 龍一,向後 龍一.1,3,福田 宗平,福田 宗平.1,4,永井 源,永井 源.1,5,林 祐介,林 祐介.1,6,小林 遼太,小林 遼太.1
2.0,3.0,18.9,1.0,3.0,23.0,1.0,2.0,66.0,1.0,2.0,55.6,1.0,2.0,516.3,1.0,2.0,1452.0
2.0,4.0,18.6,1.0,4.0,20.8,1.0,4.0,59.0,1.0,3.0,74.5,1.0,3.0,425.0,1.0,3.0,1267.0
2.0,5.0,48.1,1.0,5.0,50.3,1.0,5.0,78.1,1.0,5.0,97.2,1.0,4.0,576.0,1.0,4.0,2403.0
2.0,6.0,173.6,1.0,6.0,126.9,1.0,6.0,158.2,1.0,6.0,147.9,1.0,6.0,749.5,1.0,5.0,1963.0
3.0,2.0,29.4,3.0,1.0,27.1,2.0,1.0,53.9,2.0,1.0,52.1,2.0,1.0,548.8,2.0,1.0,1764.0
3.0,4.0,30.7,3.0,4.0,16.7,2.0,4.0,29.8,2.0,3.0,34.3,2.0,3.0,303.7,2.0,3.0,1315.0
3.0,5.0,55.0,3.0,5.0,39.4,2.0,5.0,40.4,2.0,5.0,44.7,2.0,4.0,232.7,2.0,4.0,1025.0
3.0,6.0,218.5,3.0,6.0,102.8,2.0,6.0,107.4,2.0,6.0,74.1,2.0,6.0,573.7,2.0,5.0,1315.0
4.0,2.0,30.0,4.0,1.0,29.5,4.0,1.0,61.4,3.0,1.0,88.9,3.0,1.0,484.0,3.0,1.0,1834.0
4.0,3.0,41.7,4.0,3.0,17.8,4.0,2.0,34.7,3.0,2.0,49.6,3.0,2.0,321.9,3.0,2.0,1621.0
4.0,5.0,83.7,4.0,5.0,29.7,4.0,5.0,40.6,3.0,5.0,59.1,3.0,4.0,262.5,3.0,4.0,1700.0
4.0,6.0,233.9,4.0,6.0,79.3,4.0,6.0,92.2,3.0,6.0,117.2,3.0,6.0,657.5,3.0,5.0,1764.0
5.0,2.0,150.5,5.0,1.0,146.2,5.0,1.0,155.4,5.0,1.0,105.7,4.0,1.0,412.4,4.0,1.0,2248.0
5.0,3.0,156.6,5.0,3.0,99.3,5.0,2.0,98.5,5.0,2.0,56.9,4.0,2.0,208.3,4.0,2.0,911.1
5.0,4.0,220.9,5.0,4.0,79.3,5.0,4.0,95.4,5.0,3.0,75.8,4.0,3.0,246.3,4.0,3.0,1366.0
5.0,6.0,411.2,5.0,6.0,189.9,5.0,6.0,178.9,5.0,6.0,79.1,4.0,6.0,374.7,4.0,5.0,1380.0
6.0,2.0,466.2,6.0,1.0,405.2,6.0,1.0,472.5,6.0,1.0,350.2,6.0,1.0,923.2,5.0,1.0,1834.0
6.0,3.0,464.7,6.0,3.0,325.7,6.0,2.0,368.8,6.0,2.0,267.0,6.0,2.0,829.8,5.0,2.0,1422.0
6.0,4.0,619.6,6.0,4.0,285.6,6.0,4.0,389.4,6.0,3.0,302.4,6.0,3.0,923.2,5.0,3.0,1834.0
6.0,5.0,585.7,6.0,5.0,376.7,6.0,5.0,371.7,6.0,5.0,267.5,6.0,4.0,876.7,5.0,4.0,1467.0
