1,亀本 勇樹,亀本 勇樹.1,2,伊藤 尚汰,伊藤 尚汰.1,3,片岡 大地,片岡 大地.1,4,藤井 公人,藤井 公人.1,5,吉田 翔悟,吉田 翔悟.1,6,金田 大輔,金田 大輔.1
2.0,3.0,20.1,1.0,3.0,33.1,1.0,2.0,128.1,1.0,2.0,65.5,1.0,2.0,71.3,1.0,2.0,277.6
2.0,4.0,17.4,1.0,4.0,22.7,1.0,4.0,134.3,1.0,3.0,134.9,1.0,3.0,123.5,1.0,3.0,432.0
2.0,5.0,27.9,1.0,5.0,30.6,1.0,5.0,127.6,1.0,5.0,63.1,1.0,4.0,83.2,1.0,4.0,336.0
2.0,6.0,62.3,1.0,6.0,51.0,1.0,6.0,268.3,1.0,6.0,116.4,1.0,6.0,120.0,1.0,5.0,305.7
3.0,2.0,33.1,3.0,1.0,66.5,2.0,1.0,149.8,2.0,1.0,66.3,2.0,1.0,99.6,2.0,1.0,309.1
3.0,4.0,44.6,3.0,4.0,52.2,2.0,4.0,84.7,2.0,3.0,94.1,2.0,3.0,147.8,2.0,3.0,454.9
3.0,5.0,52.5,3.0,5.0,68.1,2.0,5.0,115.9,2.0,5.0,43.4,2.0,4.0,98.5,2.0,4.0,235.5
3.0,6.0,111.5,3.0,6.0,84.4,2.0,6.0,158.9,2.0,6.0,56.2,2.0,6.0,104.4,2.0,5.0,209.5
4.0,2.0,30.9,4.0,1.0,34.3,4.0,1.0,230.2,3.0,1.0,237.5,3.0,1.0,254.3,3.0,1.0,551.2
4.0,3.0,65.1,4.0,3.0,46.2,4.0,2.0,125.0,3.0,2.0,151.4,3.0,2.0,217.7,3.0,2.0,582.8
4.0,5.0,51.7,4.0,5.0,33.8,4.0,5.0,170.8,3.0,5.0,150.2,3.0,4.0,243.8,3.0,4.0,628.6
4.0,6.0,89.8,4.0,6.0,43.1,4.0,6.0,219.8,3.0,6.0,187.4,3.0,6.0,288.4,3.0,5.0,476.2
5.0,2.0,51.9,5.0,1.0,64.7,5.0,1.0,222.0,5.0,1.0,60.8,4.0,1.0,112.0,4.0,1.0,402.5
5.0,3.0,81.8,5.0,3.0,93.1,5.0,2.0,172.6,5.0,2.0,46.9,4.0,2.0,89.8,4.0,2.0,248.6
5.0,4.0,77.4,5.0,4.0,55.0,5.0,4.0,195.3,5.0,3.0,113.1,4.0,3.0,185.5,4.0,3.0,472.1
5.0,6.0,114.1,5.0,6.0,67.7,5.0,6.0,283.3,5.0,6.0,43.9,4.0,6.0,94.5,4.0,5.0,243.2
6.0,2.0,187.1,6.0,1.0,151.6,6.0,1.0,486.5,6.0,1.0,163.8,6.0,1.0,177.6,5.0,1.0,332.0
6.0,3.0,296.8,6.0,3.0,215.6,6.0,2.0,371.7,6.0,2.0,87.7,6.0,2.0,132.5,5.0,2.0,208.3
6.0,4.0,244.8,6.0,4.0,111.1,6.0,4.0,405.4,6.0,3.0,235.5,6.0,3.0,267.7,5.0,3.0,378.0
6.0,5.0,236.0,6.0,5.0,118.7,6.0,5.0,379.3,6.0,5.0,82.2,6.0,4.0,149.0,5.0,4.0,217.7
