1,川原 涼,川原 涼.1,2,高山 敬悟,高山 敬悟.1,3,上野 俊樹,上野 俊樹.1,4,笹木 香吾,笹木 香吾.1,5,山本　稔太朗,山本　稔太朗.1,6,小宮 涼雅,小宮 涼雅.1
2.0,3.0,14.9,1.0,3.0,92.8,1.0,2.0,79.7,1.0,2.0,50.5,1.0,2.0,198.1,1.0,2.0,769.7
2.0,4.0,17.5,1.0,4.0,92.2,1.0,4.0,39.0,1.0,3.0,37.2,1.0,3.0,148.9,1.0,3.0,806.3
2.0,5.0,42.3,1.0,5.0,191.7,1.0,5.0,62.3,1.0,5.0,34.5,1.0,4.0,128.3,1.0,4.0,579.4
2.0,6.0,88.8,1.0,6.0,317.5,1.0,6.0,190.9,1.0,6.0,85.0,1.0,6.0,230.5,1.0,5.0,1145.0
3.0,2.0,14.1,3.0,1.0,152.5,2.0,1.0,160.5,2.0,1.0,102.1,2.0,1.0,339.4,2.0,1.0,1656.0
3.0,4.0,7.4,3.0,4.0,241.5,2.0,4.0,200.0,2.0,3.0,198.6,2.0,3.0,674.3,2.0,3.0,2177.0
3.0,5.0,13.0,3.0,5.0,335.6,2.0,5.0,265.9,2.0,5.0,130.2,2.0,4.0,544.2,2.0,4.0,1604.0
3.0,6.0,47.6,3.0,6.0,609.6,2.0,6.0,502.9,2.0,6.0,218.3,2.0,6.0,486.9,2.0,5.0,2721.0
4.0,2.0,16.8,4.0,1.0,154.4,4.0,1.0,59.2,3.0,1.0,60.5,3.0,1.0,175.9,3.0,1.0,1259.0
4.0,3.0,10.0,4.0,3.0,217.4,4.0,2.0,157.2,3.0,2.0,178.2,3.0,2.0,637.6,3.0,2.0,2087.0
4.0,5.0,16.6,4.0,5.0,288.6,4.0,5.0,95.1,3.0,5.0,103.2,3.0,4.0,296.5,3.0,4.0,996.0
4.0,6.0,46.7,4.0,6.0,417.5,4.0,6.0,217.0,3.0,6.0,233.7,3.0,6.0,781.5,3.0,5.0,1905.0
5.0,2.0,60.1,5.0,1.0,371.7,5.0,1.0,133.2,5.0,1.0,40.9,4.0,1.0,116.7,4.0,1.0,645.7
5.0,3.0,33.3,5.0,3.0,550.1,5.0,2.0,300.5,5.0,2.0,83.9,4.0,2.0,216.1,4.0,2.0,1104.0
5.0,4.0,41.9,5.0,4.0,506.3,5.0,4.0,158.2,5.0,3.0,86.2,4.0,3.0,247.4,4.0,3.0,929.2
5.0,6.0,115.8,5.0,6.0,870.8,5.0,6.0,405.3,5.0,6.0,81.8,4.0,6.0,181.0,4.0,5.0,1411.0
6.0,2.0,236.6,6.0,1.0,781.5,6.0,1.0,583.9,6.0,1.0,131.7,6.0,1.0,683.4,5.0,1.0,1858.0
6.0,3.0,177.4,6.0,3.0,1291.0,6.0,2.0,934.9,6.0,2.0,244.6,6.0,2.0,554.1,5.0,2.0,2498.0
6.0,4.0,169.3,6.0,4.0,886.0,6.0,4.0,590.7,6.0,3.0,256.1,6.0,3.0,964.5,5.0,3.0,2177.0
6.0,5.0,324.9,6.0,5.0,1604.0,6.0,5.0,837.3,6.0,5.0,156.7,6.0,4.0,781.5,5.0,4.0,1858.0
