1,今井 貴士,今井 貴士.1,2,岩崎 正哉,岩崎 正哉.1,3,水摩 敦,水摩 敦.1,4,藤丸 光一,藤丸 光一.1,5,江夏 満,江夏 満.1,6,羽野 諒,羽野 諒.1
2.0,3.0,9.7,1.0,3.0,63.1,1.0,2.0,37.5,1.0,2.0,275.3,1.0,2.0,66.3,1.0,2.0,732.0
2.0,4.0,18.8,1.0,4.0,101.2,1.0,4.0,88.4,1.0,3.0,297.4,1.0,3.0,54.1,1.0,3.0,840.3
2.0,5.0,11.7,1.0,5.0,68.5,1.0,5.0,23.7,1.0,5.0,272.0,1.0,4.0,180.0,1.0,4.0,1157.0
2.0,6.0,38.6,1.0,6.0,158.1,1.0,6.0,63.9,1.0,6.0,509.9,1.0,6.0,84.4,1.0,5.0,868.6
3.0,2.0,11.1,3.0,1.0,141.3,2.0,1.0,97.9,2.0,1.0,461.4,2.0,1.0,145.6,2.0,1.0,1161.0
3.0,4.0,26.7,3.0,4.0,431.3,2.0,4.0,327.2,2.0,3.0,937.4,2.0,3.0,171.5,2.0,3.0,1826.0
3.0,5.0,9.9,3.0,5.0,203.6,2.0,5.0,92.2,2.0,5.0,738.7,2.0,4.0,486.8,2.0,4.0,1613.0
3.0,6.0,47.2,3.0,6.0,486.3,2.0,6.0,192.3,2.0,6.0,954.7,2.0,6.0,240.6,2.0,5.0,1613.0
4.0,2.0,29.9,4.0,1.0,306.7,4.0,1.0,298.8,3.0,1.0,489.7,3.0,1.0,52.5,3.0,1.0,911.8
4.0,3.0,35.5,4.0,3.0,543.1,4.0,2.0,477.3,3.0,2.0,889.0,3.0,2.0,87.5,3.0,2.0,1333.0
4.0,5.0,34.8,4.0,5.0,509.0,4.0,5.0,266.2,3.0,5.0,529.4,3.0,4.0,230.6,3.0,4.0,1721.0
4.0,6.0,80.2,4.0,6.0,648.5,4.0,6.0,453.3,3.0,6.0,1077.0,3.0,6.0,67.1,3.0,5.0,823.3
5.0,2.0,17.5,5.0,1.0,187.1,5.0,1.0,27.5,5.0,1.0,495.7,4.0,1.0,491.0,4.0,1.0,2547.0
5.0,3.0,18.0,5.0,3.0,250.0,5.0,2.0,44.9,5.0,2.0,728.3,4.0,2.0,679.5,4.0,2.0,1965.0
5.0,4.0,42.9,5.0,4.0,500.5,5.0,4.0,131.8,5.0,3.0,616.8,4.0,3.0,563.5,4.0,3.0,2757.0
5.0,6.0,50.4,5.0,6.0,469.8,5.0,6.0,41.0,5.0,6.0,903.1,4.0,6.0,701.3,4.0,5.0,2427.0
6.0,2.0,104.1,6.0,1.0,691.1,6.0,1.0,137.3,6.0,1.0,1245.0,6.0,1.0,196.3,5.0,1.0,976.1
6.0,3.0,138.1,6.0,3.0,1157.0,6.0,2.0,194.3,6.0,2.0,1268.0,6.0,2.0,281.5,5.0,2.0,1318.0
6.0,4.0,192.7,6.0,4.0,1259.0,6.0,4.0,375.9,6.0,3.0,1690.0,6.0,3.0,197.5,5.0,3.0,869.9
6.0,5.0,128.4,6.0,5.0,993.1,6.0,5.0,119.8,6.0,5.0,1385.0,6.0,4.0,597.3,5.0,4.0,1815.0
