1,森林 太,森林 太.1,2,香川 陽太,香川 陽太.1,3,松崎　祐太郎,松崎　祐太郎.1,4,森 晋太郎,森 晋太郎.1,5,津久井　拓也,津久井　拓也.1,6,市川 哲也,市川 哲也.1
2.0,3.0,33.0,1.0,3.0,38.7,1.0,2.0,73.1,1.0,2.0,155.0,1.0,2.0,416.4,1.0,2.0,93.1
2.0,4.0,55.2,1.0,4.0,61.7,1.0,4.0,66.2,1.0,3.0,138.1,1.0,3.0,261.7,1.0,3.0,61.8
2.0,5.0,80.3,1.0,5.0,77.5,1.0,5.0,52.1,1.0,5.0,117.8,1.0,4.0,411.8,1.0,4.0,135.3
2.0,6.0,37.1,1.0,6.0,44.5,1.0,6.0,42.5,1.0,6.0,168.0,1.0,6.0,404.2,1.0,5.0,130.7
3.0,2.0,29.6,3.0,1.0,55.2,2.0,1.0,97.1,2.0,1.0,173.5,2.0,1.0,502.3,2.0,1.0,115.4
3.0,4.0,37.4,3.0,4.0,56.9,2.0,4.0,87.1,2.0,3.0,139.8,2.0,3.0,421.2,2.0,3.0,67.1
3.0,5.0,33.3,3.0,5.0,60.0,2.0,5.0,82.8,2.0,5.0,143.2,2.0,4.0,574.0,2.0,4.0,105.9
3.0,6.0,21.5,3.0,6.0,45.4,2.0,6.0,72.3,2.0,6.0,174.6,2.0,6.0,470.8,2.0,5.0,113.1
4.0,2.0,70.2,4.0,1.0,99.9,4.0,1.0,69.4,3.0,1.0,125.9,3.0,1.0,278.3,3.0,1.0,60.6
4.0,3.0,66.5,4.0,3.0,76.0,4.0,2.0,84.6,3.0,2.0,140.1,3.0,2.0,383.0,3.0,2.0,69.9
4.0,5.0,112.7,4.0,5.0,100.2,4.0,5.0,52.1,3.0,5.0,87.4,3.0,4.0,336.0,3.0,4.0,81.5
4.0,6.0,86.1,4.0,6.0,94.1,4.0,6.0,82.8,3.0,6.0,130.5,3.0,6.0,234.2,3.0,5.0,68.0
5.0,2.0,162.0,5.0,1.0,189.8,5.0,1.0,89.0,5.0,1.0,133.7,4.0,1.0,445.6,4.0,1.0,235.5
5.0,3.0,113.3,5.0,3.0,127.4,5.0,2.0,114.2,5.0,2.0,158.6,4.0,2.0,500.6,4.0,2.0,184.4
5.0,4.0,195.3,5.0,4.0,193.4,5.0,4.0,89.1,5.0,3.0,120.8,4.0,3.0,361.7,4.0,3.0,158.7
5.0,6.0,157.3,5.0,6.0,170.5,5.0,6.0,66.0,5.0,6.0,140.6,4.0,6.0,387.5,4.0,5.0,213.0
6.0,2.0,37.6,6.0,1.0,62.9,6.0,1.0,58.6,6.0,1.0,204.6,6.0,1.0,474.5,5.0,1.0,290.2
6.0,3.0,25.0,6.0,3.0,43.6,6.0,2.0,76.5,6.0,2.0,205.0,6.0,2.0,562.5,5.0,2.0,253.8
6.0,4.0,60.6,6.0,4.0,67.2,6.0,4.0,89.6,6.0,3.0,151.7,6.0,3.0,285.2,5.0,3.0,155.9
6.0,5.0,77.5,6.0,5.0,82.9,6.0,5.0,58.6,6.0,5.0,167.1,6.0,4.0,542.9,5.0,4.0,309.5
