1,表 健太,表 健太.1,2,黒田 剛,黒田 剛.1,3,乙津 康志,乙津 康志.1,4,檀 将太,檀 将太.1,5,大庭 元明,大庭 元明.1,6,多田 有佑,多田 有佑.1
2.0,3.0,15.5,1.0,3.0,31.1,1.0,2.0,29.7,1.0,2.0,254.5,1.0,2.0,144.5,1.0,2.0,827.4
2.0,4.0,52.1,1.0,4.0,69.5,1.0,4.0,53.3,1.0,3.0,206.8,1.0,3.0,68.7,1.0,3.0,516.5
2.0,5.0,40.1,1.0,5.0,47.7,1.0,5.0,15.4,1.0,5.0,231.5,1.0,4.0,293.9,1.0,4.0,1175.0
2.0,6.0,110.0,1.0,6.0,122.2,1.0,6.0,40.0,1.0,6.0,357.4,1.0,6.0,162.7,1.0,5.0,726.5
3.0,2.0,21.3,3.0,1.0,39.0,2.0,1.0,38.5,2.0,1.0,421.5,2.0,1.0,173.8,2.0,1.0,1117.0
3.0,4.0,39.7,3.0,4.0,62.5,2.0,4.0,63.0,2.0,3.0,477.8,2.0,3.0,117.5,2.0,3.0,940.6
3.0,5.0,15.1,3.0,5.0,28.6,2.0,5.0,27.0,2.0,5.0,496.4,2.0,4.0,421.5,2.0,4.0,1514.0
3.0,6.0,40.3,3.0,6.0,57.2,2.0,6.0,60.7,2.0,6.0,616.2,2.0,6.0,219.0,2.0,5.0,1224.0
4.0,2.0,114.2,4.0,1.0,219.5,4.0,1.0,78.2,3.0,1.0,201.2,3.0,1.0,56.7,3.0,1.0,312.4
4.0,3.0,73.1,4.0,3.0,157.6,4.0,2.0,109.7,3.0,2.0,338.4,3.0,2.0,95.4,3.0,2.0,859.2
4.0,5.0,102.7,4.0,5.0,172.5,4.0,5.0,56.5,3.0,5.0,142.5,3.0,4.0,123.9,3.0,4.0,992.9
4.0,6.0,161.8,4.0,6.0,256.0,4.0,6.0,91.3,3.0,6.0,233.3,3.0,6.0,72.0,3.0,5.0,278.3
5.0,2.0,67.1,5.0,1.0,109.6,5.0,1.0,25.2,5.0,1.0,293.9,4.0,1.0,306.0,4.0,1.0,1686.0
5.0,3.0,29.0,5.0,3.0,58.9,5.0,2.0,34.2,5.0,2.0,433.7,4.0,2.0,398.9,4.0,2.0,1489.0
5.0,4.0,100.6,5.0,4.0,153.0,5.0,4.0,49.8,5.0,3.0,195.1,4.0,3.0,194.6,4.0,3.0,1117.0
5.0,6.0,110.1,5.0,6.0,113.1,5.0,6.0,26.5,5.0,6.0,308.1,4.0,6.0,309.2,4.0,5.0,992.9
6.0,2.0,440.2,6.0,1.0,417.5,6.0,1.0,80.8,6.0,1.0,493.7,6.0,1.0,167.9,5.0,1.0,642.8
6.0,3.0,196.3,6.0,3.0,282.7,6.0,2.0,148.1,6.0,2.0,676.9,6.0,2.0,247.5,5.0,2.0,757.3
6.0,4.0,465.4,6.0,4.0,603.7,6.0,4.0,179.4,6.0,3.0,425.5,6.0,3.0,101.7,5.0,3.0,212.7
6.0,5.0,259.7,6.0,5.0,350.4,6.0,5.0,55.7,6.0,5.0,472.8,6.0,4.0,335.9,5.0,4.0,827.4
