1,川原 正明,川原 正明.1,2,桐本 康臣,桐本 康臣.1,3,寺嶋 雄,寺嶋 雄.1,4,川村 正輝,川村 正輝.1,5,門間 雄大,門間 雄大.1,6,大西 隆洋,大西 隆洋.1
2.0,3.0,6.8,1.0,3.0,14.3,1.0,2.0,86.1,1.0,2.0,81.5,1.0,2.0,197.8,1.0,2.0,949.9
2.0,4.0,6.2,1.0,4.0,11.7,1.0,4.0,102.2,1.0,3.0,124.5,1.0,3.0,408.8,1.0,3.0,1536.0
2.0,5.0,12.4,1.0,5.0,22.2,1.0,5.0,156.9,1.0,5.0,120.6,1.0,4.0,374.9,1.0,4.0,1963.0
2.0,6.0,45.0,1.0,6.0,59.1,1.0,6.0,380.4,1.0,6.0,274.5,1.0,6.0,483.8,1.0,5.0,2367.0
3.0,2.0,13.2,3.0,1.0,49.4,2.0,1.0,126.9,2.0,1.0,113.5,2.0,1.0,263.0,2.0,1.0,1247.0
3.0,4.0,19.7,3.0,4.0,76.1,2.0,4.0,172.5,2.0,3.0,201.6,2.0,3.0,609.9,2.0,3.0,2502.0
3.0,5.0,34.5,3.0,5.0,117.0,2.0,5.0,253.2,2.0,5.0,186.5,2.0,4.0,669.5,2.0,4.0,2234.0
3.0,6.0,99.3,3.0,6.0,225.2,2.0,6.0,548.7,2.0,6.0,432.2,2.0,6.0,747.2,2.0,5.0,2075.0
4.0,2.0,16.1,4.0,1.0,50.6,4.0,1.0,198.8,3.0,1.0,255.7,3.0,1.0,804.9,3.0,1.0,2654.0
4.0,3.0,25.6,4.0,3.0,106.4,4.0,2.0,243.4,3.0,2.0,310.7,3.0,2.0,921.9,3.0,2.0,2771.0
4.0,5.0,38.4,4.0,5.0,121.1,4.0,5.0,350.8,3.0,5.0,420.6,3.0,4.0,1717.0,3.0,4.0,3127.0
4.0,6.0,104.1,4.0,6.0,211.7,4.0,6.0,723.8,3.0,6.0,943.7,3.0,6.0,1963.0,3.0,5.0,4092.0
5.0,2.0,28.0,5.0,1.0,91.4,5.0,1.0,429.7,5.0,1.0,190.0,4.0,1.0,610.7,4.0,1.0,2900.0
5.0,3.0,58.4,5.0,3.0,213.4,5.0,2.0,520.0,5.0,2.0,220.9,4.0,2.0,683.1,4.0,2.0,2560.0
5.0,4.0,62.2,5.0,4.0,205.4,5.0,4.0,699.5,5.0,3.0,476.5,4.0,3.0,1303.0,4.0,3.0,3775.0
5.0,6.0,118.8,5.0,6.0,281.7,5.0,6.0,1158.0,5.0,6.0,340.5,4.0,6.0,910.4,4.0,5.0,2958.0
6.0,2.0,226.4,6.0,1.0,291.9,6.0,1.0,1258.0,6.0,1.0,748.5,6.0,1.0,1558.0,5.0,1.0,2136.0
6.0,3.0,403.6,6.0,3.0,581.5,6.0,2.0,1377.0,6.0,2.0,895.5,6.0,2.0,1489.0,5.0,2.0,2146.0
6.0,4.0,405.0,6.0,4.0,557.8,6.0,4.0,2027.0,6.0,3.0,1355.0,6.0,3.0,2531.0,5.0,3.0,4812.0
6.0,5.0,407.3,6.0,5.0,523.1,6.0,5.0,2178.0,6.0,5.0,863.7,6.0,4.0,2432.0,5.0,4.0,3807.0
