1,木下 大將,木下 大將.1,2,鶴田 勇雄,鶴田 勇雄.1,3,川添 英正,川添 英正.1,4,小林 遼太,小林 遼太.1,5,仲本 舜,仲本 舜.1,6,今井 貴士,今井 貴士.1
2.0,3.0,10.6,1.0,3.0,43.9,1.0,2.0,137.3,1.0,2.0,145.3,1.0,2.0,300.2,1.0,2.0,35.0
2.0,4.0,11.5,1.0,4.0,36.7,1.0,4.0,216.4,1.0,3.0,269.5,1.0,3.0,490.4,1.0,3.0,91.3
2.0,5.0,35.4,1.0,5.0,82.0,1.0,5.0,337.4,1.0,5.0,302.2,1.0,4.0,559.0,1.0,4.0,86.0
2.0,6.0,6.7,1.0,6.0,21.2,1.0,6.0,148.0,1.0,6.0,111.5,1.0,6.0,258.2,1.0,5.0,173.2
3.0,2.0,17.0,3.0,1.0,139.3,2.0,1.0,230.2,2.0,1.0,244.1,2.0,1.0,510.4,2.0,1.0,55.7
3.0,4.0,29.2,3.0,4.0,236.2,2.0,4.0,338.3,2.0,3.0,446.5,2.0,3.0,1374.0,2.0,3.0,156.8
3.0,5.0,64.3,3.0,5.0,405.9,2.0,5.0,555.5,2.0,5.0,605.2,2.0,4.0,1244.0,2.0,4.0,137.0
3.0,6.0,18.4,3.0,6.0,141.6,2.0,6.0,241.2,2.0,6.0,187.8,2.0,6.0,625.3,2.0,5.0,321.8
4.0,2.0,27.3,4.0,1.0,138.5,4.0,1.0,451.0,3.0,1.0,571.1,3.0,1.0,897.5,3.0,1.0,266.8
4.0,3.0,46.1,4.0,3.0,311.5,4.0,2.0,475.4,3.0,2.0,587.7,3.0,2.0,1312.0,3.0,2.0,301.5
4.0,5.0,107.2,4.0,5.0,520.4,4.0,5.0,856.7,3.0,5.0,1047.0,3.0,4.0,1507.0,3.0,4.0,462.9
4.0,6.0,24.4,4.0,6.0,127.7,4.0,6.0,406.6,3.0,6.0,478.9,3.0,6.0,1085.0,3.0,5.0,843.0
5.0,2.0,99.2,5.0,1.0,390.9,5.0,1.0,802.0,5.0,1.0,513.3,4.0,1.0,925.9,4.0,1.0,181.2
5.0,3.0,162.1,5.0,3.0,778.4,5.0,2.0,885.5,5.0,2.0,722.9,4.0,2.0,1396.0,4.0,2.0,214.7
5.0,4.0,184.6,5.0,4.0,698.1,5.0,4.0,1147.0,5.0,3.0,1188.0,4.0,3.0,1912.0,4.0,3.0,422.2
5.0,6.0,75.2,5.0,6.0,351.8,5.0,6.0,645.2,5.0,6.0,417.5,4.0,6.0,939.1,4.0,5.0,602.4
6.0,2.0,11.4,6.0,1.0,44.7,6.0,1.0,230.0,6.0,1.0,139.6,6.0,1.0,382.4,5.0,1.0,390.3
6.0,3.0,24.5,6.0,3.0,123.0,6.0,2.0,270.6,6.0,2.0,175.1,6.0,2.0,505.5,5.0,2.0,523.5
6.0,4.0,25.9,6.0,4.0,100.6,6.0,4.0,372.1,6.0,3.0,356.6,6.0,3.0,722.9,5.0,3.0,894.5
6.0,5.0,56.3,6.0,5.0,218.2,6.0,5.0,512.4,6.0,5.0,310.0,6.0,4.0,689.0,5.0,4.0,773.8
