1,宮野 仁,宮野 仁.1,2,和田 拓也,和田 拓也.1,3,石丸 海渡,石丸 海渡.1,4,篠崎 仁志,篠崎 仁志.1,5,山田 佑樹,山田 佑樹.1,6,眞鳥 章太,眞鳥 章太.1
2.0,3.0,12.0,1.0,3.0,20.8,1.0,2.0,60.1,1.0,2.0,50.7,1.0,2.0,454.1,1.0,2.0,3027.0
2.0,4.0,7.6,1.0,4.0,12.7,1.0,4.0,40.5,1.0,3.0,72.9,1.0,3.0,694.7,1.0,3.0,3727.0
2.0,5.0,38.3,1.0,5.0,53.4,1.0,5.0,112.0,1.0,5.0,118.1,1.0,4.0,543.5,1.0,4.0,3398.0
2.0,6.0,116.3,1.0,6.0,172.0,1.0,6.0,259.2,1.0,6.0,304.9,1.0,6.0,1130.0,1.0,5.0,3902.0
3.0,2.0,17.7,3.0,1.0,41.2,2.0,1.0,81.0,2.0,1.0,57.9,2.0,1.0,512.8,2.0,1.0,3672.0
3.0,4.0,13.2,3.0,4.0,25.7,2.0,4.0,45.0,2.0,3.0,56.7,2.0,3.0,742.2,2.0,3.0,3646.0
3.0,5.0,47.4,3.0,5.0,85.8,2.0,5.0,141.2,2.0,5.0,106.3,2.0,4.0,544.7,2.0,4.0,2973.0
3.0,6.0,141.6,3.0,6.0,267.6,2.0,6.0,352.5,2.0,6.0,272.6,2.0,6.0,1580.0,2.0,5.0,4849.0
4.0,2.0,11.1,4.0,1.0,22.8,4.0,1.0,57.6,3.0,1.0,99.2,3.0,1.0,975.6,3.0,1.0,4541.0
4.0,3.0,14.8,4.0,3.0,23.4,4.0,2.0,49.3,3.0,2.0,74.2,3.0,2.0,908.2,3.0,2.0,4061.0
4.0,5.0,37.4,4.0,5.0,55.1,4.0,5.0,106.3,3.0,5.0,170.7,3.0,4.0,769.6,3.0,4.0,2870.0
4.0,6.0,116.3,4.0,6.0,183.7,4.0,6.0,229.9,3.0,6.0,321.8,3.0,6.0,2345.0,3.0,5.0,5429.0
5.0,2.0,109.9,5.0,1.0,224.8,5.0,1.0,351.0,5.0,1.0,209.5,4.0,1.0,704.5,4.0,1.0,3619.0
5.0,3.0,144.3,5.0,3.0,269.7,5.0,2.0,370.2,5.0,2.0,194.9,4.0,2.0,594.6,4.0,2.0,3161.0
5.0,4.0,127.6,5.0,4.0,201.0,5.0,4.0,281.2,5.0,3.0,286.2,4.0,3.0,751.1,4.0,3.0,2904.0
5.0,6.0,331.4,5.0,6.0,820.2,5.0,6.0,708.5,5.0,6.0,357.8,4.0,6.0,1203.0,4.0,5.0,3444.0
6.0,2.0,452.8,6.0,1.0,870.2,6.0,1.0,1135.0,6.0,1.0,661.6,6.0,1.0,2588.0,5.0,1.0,6018.0
6.0,3.0,604.0,6.0,3.0,1067.0,6.0,2.0,1245.0,6.0,2.0,644.5,6.0,2.0,2260.0,5.0,2.0,6018.0
6.0,4.0,484.0,6.0,4.0,792.8,6.0,4.0,874.8,6.0,3.0,833.9,6.0,3.0,3181.0,5.0,3.0,6243.0
6.0,5.0,653.8,6.0,5.0,1287.0,6.0,5.0,1300.0,6.0,5.0,662.4,6.0,4.0,2190.0,5.0,4.0,3813.0
