1,重成 一人,重成 一人.1,2,桑原 将光,桑原 将光.1,3,檀 将太,檀 将太.1,4,酒見 峻介,酒見 峻介.1,5,仲本 舜,仲本 舜.1,6,笹木 香吾,笹木 香吾.1
2.0,3.0,13.7,1.0,3.0,138.8,1.0,2.0,404.9,1.0,2.0,16.5,1.0,2.0,206.8,1.0,2.0,1239.0
2.0,4.0,3.7,1.0,4.0,46.9,1.0,4.0,335.7,1.0,3.0,75.7,1.0,3.0,551.4,1.0,3.0,2088.0
2.0,5.0,20.5,1.0,5.0,130.3,1.0,5.0,636.0,1.0,5.0,23.6,1.0,4.0,185.6,1.0,4.0,740.8
2.0,6.0,42.2,1.0,6.0,226.8,1.0,6.0,968.0,1.0,6.0,35.4,1.0,6.0,302.4,1.0,5.0,1200.0
3.0,2.0,33.1,3.0,1.0,628.5,2.0,1.0,890.0,2.0,1.0,36.6,2.0,1.0,402.4,2.0,1.0,1854.0
3.0,4.0,33.2,3.0,4.0,1024.0,2.0,4.0,808.6,2.0,3.0,228.8,2.0,3.0,1078.0,2.0,3.0,5004.0
3.0,5.0,77.3,3.0,5.0,954.1,2.0,5.0,1153.0,2.0,5.0,82.2,2.0,4.0,510.0,2.0,4.0,2072.0
3.0,6.0,146.8,3.0,6.0,2326.0,2.0,6.0,2980.0,2.0,6.0,134.3,2.0,6.0,893.0,2.0,5.0,2980.0
4.0,2.0,5.1,4.0,1.0,117.6,4.0,1.0,503.3,3.0,1.0,237.2,3.0,1.0,2139.0,3.0,1.0,5304.0
4.0,3.0,21.0,4.0,3.0,477.0,4.0,2.0,1138.0,3.0,2.0,523.1,3.0,2.0,3315.0,3.0,2.0,6980.0
4.0,5.0,16.1,4.0,5.0,358.4,4.0,5.0,924.1,3.0,5.0,430.5,3.0,4.0,2914.0,3.0,4.0,7367.0
4.0,6.0,30.5,4.0,6.0,671.4,4.0,6.0,1647.0,3.0,6.0,615.4,3.0,6.0,4210.0,3.0,5.0,6028.0
5.0,2.0,48.5,5.0,1.0,521.1,5.0,1.0,1780.0,5.0,1.0,35.4,4.0,1.0,194.3,4.0,1.0,826.2
5.0,3.0,159.4,5.0,3.0,1048.0,5.0,2.0,3400.0,5.0,2.0,71.2,4.0,2.0,296.3,4.0,2.0,1894.0
5.0,4.0,53.7,5.0,4.0,872.5,5.0,4.0,2526.0,5.0,3.0,237.2,4.0,3.0,798.9,4.0,3.0,3735.0
5.0,6.0,121.6,5.0,6.0,1245.0,5.0,6.0,3120.0,5.0,6.0,72.5,4.0,6.0,374.1,4.0,5.0,1542.0
6.0,2.0,160.3,6.0,1.0,1091.0,6.0,1.0,3157.0,6.0,1.0,72.3,6.0,1.0,784.7,5.0,1.0,1894.0
6.0,3.0,336.1,6.0,3.0,2734.0,6.0,2.0,4653.0,6.0,2.0,151.3,6.0,2.0,1339.0,5.0,2.0,2980.0
6.0,4.0,131.5,6.0,4.0,1507.0,6.0,4.0,4420.0,6.0,3.0,434.1,6.0,3.0,2600.0,5.0,3.0,4348.0
6.0,5.0,210.1,6.0,5.0,1711.0,6.0,5.0,4348.0,6.0,5.0,131.6,6.0,4.0,1052.0,5.0,4.0,2009.0
